EVTNAME5002;스탠리 컵
EVTOPTA16250;반란군 놈들!
EVTNAME16001;노예제 논쟁
EVTDESC16001;우리 위대한 국가의 건국의 아버지들이 단 한 번도 확실한 결론을 내리지 못한 유일한 문제는 연방 내 노예제의 지위에 관한 것이었습니다. 이 격렬한 논쟁은 혁명 이후 수년 동안 탄력을 받아왔으며, 현재 우리 국가 정치 의제에서 단연 가장 중요한 쟁점입니다. 일부 남부의 급진파는 이 문제에 대해 찾을 수 있는 타협점은 없으며, 워싱턴의 중앙 권력에 의해 강제로 노예 해방을 당하는 것에 대한 유일한 대안은 탈퇴뿐이라고 생각합니다. 만약 상원이 남부에 정치 개혁을 강요할 수 있는 위치, 즉 40퍼센트의 자유주의적 상원이 된다면, 반대 없이 이루어지진 않을 것임이 분명합니다.
EVTOPTA16001;우리는 이 문제가 한동안 계속될 것으로 예상할 수 있다
the_slavery_debate;노예제 논쟁
desc_the_slavery_debate;미국 내에서 노예제에 대한 논쟁이 활발히 진행 중이며, 이 문제에 대한 대중의 의식이 날마다 고조되고 있습니다. 만약 상원에 최소 30퍼센트 이상의 자유주의 의원이 자리 잡게 된다면, 남부는 탈퇴를 결정할지도 모릅니다.
CANCELGIVEMILITARYACCESS_THEY_ACCEPT_HEADER;외무 장관 보고
CANCELGIVEMILITARYACCESS_THEY_ACCEPT_1;§Y$ACTOR$§W
CANCELGIVEMILITARYACCESS_THEY_ACCEPT_2;$MONARCHTITLE$이시여, 우리는 우리 영토에
CANCELGIVEMILITARYACCESS_THEY_ACCEPT_3;§Y$RECIPIENT$§W
CANCELGIVEMILITARYACCESS_THEY_ACCEPT_4;의 군대가 주둔하는 것에 신물을 느꼈기에, 그들에게 베풀었던 군사 통행권을 취소했습니다
CANCELGIVEMILITARYACCESS_THEY_ACCEPT_5;*
CANCELGIVEMILITARYACCESS_THEY_ACCEPT_6;§Y$ACTOR$§W 사람들은 이 소식에 기뻐하고 있습니다.
CANCELGIVEMILITARYACCESS_THEY_ACCEPT_BTN1;확인
CANCELGIVEMILITARYACCESS_THEY_ACCEPT_BTN2;확인
CANCELGIVEMILITARYACCESS_THEY_ACCEPT_BTN3;이동
CANCELGIVEMILITARYACCESS_WE_ACCEPT_HEADER;외무 장관 보고
CANCELGIVEMILITARYACCESS_WE_ACCEPT_1;§Y$ACTOR$§W
CANCELGIVEMILITARYACCESS_WE_ACCEPT_2;$MONARCHTITLE$이시여, 우리는 다음과 같은 사실을 알게 되어 분노하고 있습니다.
CANCELGIVEMILITARYACCESS_WE_ACCEPT_3;§Y$ACTOR$§W 측이
CANCELGIVEMILITARYACCESS_WE_ACCEPT_4;우리가 관대하게 내어준 군사 통행권을 취소했습니다.
CANCELGIVEMILITARYACCESS_WE_ACCEPT_5;*
CANCELGIVEMILITARYACCESS_WE_ACCEPT_6;비록 우리가 먼저 선수쳤어야 했던 일이지만 말입니다.
CANCELGIVEMILITARYACCESS_WE_ACCEPT_BTN1;확인
CANCELGIVEMILITARYACCESS_WE_ACCEPT_BTN2;확인
CANCELGIVEMILITARYACCESS_WE_ACCEPT_BTN3;이동
CANCELGIVEMILITARYACCESS_OTHER_ACCEPT_HEADER;외교부 장관의 보고
CANCELGIVEMILITARYACCESS_OTHER_ACCEPT_1;§Y$ACTOR$§W
CANCELGIVEMILITARYACCESS_OTHER_ACCEPT_2;$MONARCHTITLE$
CANCELGIVEMILITARYACCESS_OTHER_ACCEPT_3;§Y$ACTOR$§W
CANCELGIVEMILITARYACCESS_OTHER_ACCEPT_4;측에서 다음 국가로부터 부여받은 군사 통행권을 취소했습니다:
CANCELGIVEMILITARYACCESS_OTHER_ACCEPT_5;§Y$RECIPIENT$§W
CANCELGIVEMILITARYACCESS_OTHER_ACCEPT_6;문제가 생길 기미가 보입니다. 우리는 여기서 이익을 얻을 수 있습니다.
CANCELGIVEMILITARYACCESS_OTHER_ACCEPT_BTN1;확인
CANCELGIVEMILITARYACCESS_OTHER_ACCEPT_BTN2;확인
CANCELGIVEMILITARYACCESS_OTHER_ACCEPT_BTN3;이동
DECREASERELATIONTITLE;관계도 감소
WARGOALTITLE;전쟁 목표 추가
WARSUBSIDIESTITLE;전쟁 보조금 제공
CANCEL_WARSUBSIDIESTITLE;전쟁 보조금 취소
ASKMILITARYACCESSTITLE;군사 통행권 요청
CANCELASKMILITARYACCESSTITLE;군사 통행권 취소
GIVEMILITARYACCESSTITLE;군사 통행권 제공
CANCELGIVEMILITARYACCESSTITLE;부여한 군사 통행권 취소
CANCELALLIANCETITLE;동맹 파기
CALLALLYTITLE;전쟁에 동맹국 호출
DISCREDITTITLE;열강의 신용 실추
EXPELADVISORSTITLE;열강의 고문단 추방
BANEMBASSYTITLE;열강의 대사관 추방
INCREASEOPINIONTITLE;견해 증가
DECREASEOPINIONTITLE;열강의 견해 감소
ADDTOSPHERETITLE;세력권 편입
REMOVEFROMSPHERETITLE;세력권에서 제외
INCREASERELATION_BUTTON;관계도 개선
DECREASERELATION_BUTTON;관계도 악화
CALLALLY_OFFER;당신의 충실한 동맹국인 $ACTOR$ 국가가 $LIST$에서 당신의 지원을 요청하고 있습니다.
CALLALLY_THEY_ACCEPT_HEADER;외교부 장관의 보고
CALLALLY_THEY_ACCEPT_1;§Y$RECIPIENT$§W
CALLALLY_THEY_ACCEPT_2;$MONARCHTITLE$, 우리는
CALLALLY_THEY_ACCEPT_3;§Y$RECIPIENT$§W
CALLALLY_THEY_ACCEPT_4;국가가 군사 동맹을 존중하여 다음 전쟁에서 무적의 우리 군대와 합류했다는 사실이 놀랍지 않습니다:
CALLALLY_THEY_ACCEPT_5;$VERSUS$
CALLALLY_THEY_ACCEPT_6;*
CALLALLY_THEY_ACCEPT_BTN1;훌륭하군!
CALLALLY_THEY_ACCEPT_BTN2;훌륭하군!
CALLALLY_THEY_ACCEPT_BTN3;이동
CALLALLY_WE_ACCEPT_HEADER;외교부 장관의 보고
CALLALLY_WE_ACCEPT_1;군사 동맹이 존중됨
CALLALLY_WE_ACCEPT_2;$MONARCHTITLE$, 우리는
CALLALLY_WE_ACCEPT_3;§Y$ACTOR$§W
CALLALLY_WE_ACCEPT_4;측이 우리의 지원을 받을 자격이 있다고 판단하여 다음 전쟁에 참전하기로 결정했습니다:
CALLALLY_WE_ACCEPT_5;$VERSUS$
CALLALLY_WE_ACCEPT_6;*
CALLALLY_WE_ACCEPT_BTN1;확인
CALLALLY_WE_ACCEPT_BTN2;확인
CALLALLY_WE_ACCEPT_BTN3;이동
CALLALLY_OTHER_ACCEPT_HEADER;외무 장관 보고
CALLALLY_OTHER_ACCEPT_1;§Y$RECIPIENT$§W
CALLALLY_OTHER_ACCEPT_2;$MONARCHTITLE$이시여, §Y$RECIPIENT$§W에서 다음 국가와의
CALLALLY_OTHER_ACCEPT_3;군사 동맹을 이행하기 위해 참전했습니다:
CALLALLY_OTHER_ACCEPT_4;§Y$ACTOR$§W
CALLALLY_OTHER_ACCEPT_5;이제 이들은 다음 전쟁에 참여합니다:
CALLALLY_OTHER_ACCEPT_6;$VERSUS$
CALLALLY_OTHER_ACCEPT_BTN1;확인
CALLALLY_OTHER_ACCEPT_BTN2;확인
CALLALLY_OTHER_ACCEPT_BTN3;이동
BUILD_CIVILIZED;문명
DIPLOMACY_CANNOT_JOIN_WAR_INVALID_ALLY;이미 §Y$COUNTRY$§W와(과) 전쟁 중이므로, 이 전쟁에서 그들의 편에 참전할 수 없습니다.
DIPLOMACY_CANNOT_JOIN_WAR_INVALID_ENEMY;이미 §Y$COUNTRY$§W와(과) 전쟁 중이므로, 그들을 상대로 또 다른 전쟁을 시작할 수 없습니다.
DIPLOMACY_CANNOT_JOIN_WAR_ALLIED_ENEMY;다른 전쟁에서 §Y$COUNTRY$§W와(과) 동맹을 맺고 있으므로, 그들을 상대로 또 다른 전쟁을 시작할 수 없습니다.
DIPLOMACY_ALREADY_IN_WAR;이미 이 전쟁에 개입 중입니다.
CALLALLY_DESC;동맹국에게 우리의 분쟁을 돕도록 호출합니다.\n$VERSUS$
DECISIONOTHER_1;$ACTOR$
EVTNAME11101;$FROMCOUNTRY_ADJ$ 바람
EVTDESC11101;$MONARCHTITLE$이시여, $FROMCOUNTRY_ADJ$ 대사가 $UNION_ADJ$ 의회의 소식을 전해왔습니다. $FROMCOUNTRY$ 국가가 $UNION_ADJ$ 왕관을 받아들이고 스스로를 유일하고 진정한 $UNION_ADJ$ 국가로 선포했습니다. 이러한 변화의 바람을 거스르기는 어려울 것입니다.
EVTOPTA11101;$UNION_ADJ$ 민족 만세!
EVTOPTB11101;우리의 선조 대대로 이어진 권리를 침해받지 않을 것이다!
die_wacht_am_rhein_title;라인강의 파수꾼
french_military_mission_to_japan_title;샤누안 원정대
french_military_mission_to_japan_desc;1867년, 에도 막부의 요청에 따라 프랑스는 막부군에게 서구식 전술을 훈련시키기 위해 일본에 군사 사절단을 파견했습니다. 이 사절단은 당시 대위였으며 차후 1898년 브리송 정부에서 프랑스 국방 장관이 되는 샤를 샤누안이 이끌었습니다. 일본에 군사 사절단을 파견하면, 이들과의 관계도는 확실히 나아질 것입니다.
schwabing_circles_title;슈바빙의 모임
schwabing_circles_desc;섭정공 루이트폴트 시대에 뮌헨의 슈바빙 지역은, 아마도 대규모 대학과 학생들의 존재 덕분에 지적 활동의 보헤미안 중심지로 알려지게 되었으며 만 형제부터 헨리크 입센, 바실리 칸딘스키에 이르기까지 많은 현대 예술가와 작가들을 끌어들였습니다. 슈바빙의 모임을 지원하여 우리의 위신이 오르는 것을 지켜보십시오.
the_grunderzeit_title;그륀더차이트(창건기) 건축
the_grunderzeit_desc;'창건기'를 뜻하는 '그륀더차이트(Gründerzeit)'는 1840년대부터 1870년대 중반까지 이어지는 시기로, 독일과 동유럽 전역, 특히 빈에서 급격한 경제적 근대화와 산업화가 이루어진 시기를 가리킵니다. 이 시대는 산업화로 인해 가능해진 새로운 건축 양식과 네오 고딕 양식에서 영감을 받은 독특한 건축 스타일뿐만 아니라, 이에 동반된 정치적 자유주의의 물결로도 알려지게 되었습니다. 빈은 이 시대 동안 번영할 것입니다. 이러한 새로운 경향을 지원하여 빈이 꽃피우는 것을 지켜보십시오.
die_wacht_am_rhein_desc;1840년, 당시 프랑스 총리였던 아돌프 티에르는 라인강이 프랑스의 자연적 동부 국경이라 주장하여 훗날 라인 위기라 불릴 사건을 촉발시켰습니다. 이는 독일 내에서 강 서안의 프로이센 영토에 대한 위협으로 인식되었기 때문입니다. 이 사건에 대응하여 시인이자 상인인 막스 슈네켄부르거는 조국에 평정을 유지할 것을 촉구하는 애국시를 남겼습니다. 시 구절에 나오듯 '빠르고 참되게 라인강의 파수꾼이 서 있다'라며, 독일은 모든 (프랑스의) 침략으로부터 강을 방어할 것임을 암시했습니다. 이 시는 1854년에 곡조가 붙여졌고, 1870~71년 보불전쟁 동안 독일에서 엄청난 인기를 얻었습니다.
DIPLOMACY_AGAINST;상대
FOCUS_OWNED_BY;해당 프로빈스가 핵심주를 위한 잠재적 발생지가 아닌 한, 다른 국가의 프로빈스에 국가 중점을 배치할 수 없습니다.
NO_CB_EFFECT;§R우리는 영유권 주장에 적합한 정당성이 부족하므로 악명 불이익을 받을 것입니다.§W
M_GOTO_BUTTON;국가 또는 프로빈스 찾기
INFLUENCE_CHANGE;§Y$PASSIVE$§W에 대한 §Y$ACTIVE$§W의 영향력이 $MUCH$만큼 변동합니다.\n
INFLUENCE_CHANGE_SHORT;§Y$PASSIVE$§W에 대한 영향력이 $MUCH$만큼 변경되었습니다.\n
HAVE_DIPLOMATIC_INFLUENCE;다음 국가보다 외교 영향력이 높음: 
HAVE_LESS_DIPLOMATIC_INFLUENCE;다음 국가보다 외교 영향력이 낮음: 
EVTNAME13356;의화단의 잔혹 행위!
EVTDESC13356;흔히 '의화단'으로 알려진 '의화권'은 아시아 내 유럽의 확장으로 상실되었다고 여겨지는 중국의 독립을 회복하기 위한 운동으로, 중국에 머물던 유럽인 선교사 및 상인들을 대상으로 학살을 자행했습니다. 그들의 눈에 띈 불운한 유럽인들뿐만 아니라 수많은 중국인 기독교 개종자들 역시 잔인하게 학살당했습니다. 중국 정부는 이러한 잔혹 행위에 무관심한 듯 보이며, 항간에서는 대청 제국 정부가 이 운동을 암묵적으로 지원하고 있다는 소문마저 돌고 있습니다.
EVTOPTA13356;격분할 노릇이군!
boxer_rebels_title;의화단
boxer_rebels_name;의화단 반란군
boxer_rebels_desc;서양인들에게 '의화단'으로 알려진 의화권은 실존하는 외국 제국주의의 침략이든 인식상의 위협이든 간에, 중국의 독립 회복에 헌신하는 무리입니다. '더 순수한' 중국이란 목표를 이루기 위해 어떠한 수단도 꺼리지 않는 이 전통주의 운동은 '부청멸양'이라는 구호 아래 틈만 나면 유럽인들과 중국 기독교 개종자들을 학살할 것입니다.
boxer_rebels_army;의화단 반란군
support_boxers_title;의화단 지원!
support_boxers_desc;외국인들이 우리의 위대한 국가에 침략을 단행했던 몇몇 프로빈스에서 의화권이 세력을 형성했습니다. 이 운동을 지지하여 그들이 중국에 영향을 미치는 유럽의 세력을 몰아내길 기대해 봅시다.
support_schaumburgs_title;샤움부르크-리페 가문 지원
support_schaumburgs_desc;1895년 리페-데트몰트의 군주 발데마르가 후사 없이 사망한 것은 리페 가문의 두 분파인 샤움부르크 가문과 비스터펠트 가문 사이에 20년에 걸친 분쟁의 서막을 알렸습니다. 군국을 어느 한쪽으로 물려줌으로써 이 문제가 발생하는 것을 애초에 차단할 수 있을 것입니다.
support_biesterfelds_title;리페-비스터펠트 가문 지원
support_biesterfelds_desc;1895년 리페-데트몰트의 군주 발데마르가 후사 없이 사망한 것은 리페 가문의 두 분파인 샤움부르크 가문과 비스터펠트 가문 사이에 20년에 걸친 분쟁의 서막을 알렸습니다. 군국을 어느 한쪽으로 물려줌으로써 이 문제가 발생하는 것을 애초에 차단할 수 있을 것입니다.
award_order_of_st_francis_title;프란체스코 1세 왕실 훈장
award_order_of_st_francis_desc;1829년 9월 28일에 제정된 프란체스코 1세 왕실 훈장은 양시칠리아 왕국에서 군사적인 공로뿐만 아니라 민간의 공로에도 수여하는 공로 훈장이었습니다. 자격이 충분한 고위 인사에게 훈장을 수여함으로써, 자연스럽게 우리가 의롭고 자비로운 군주국이라는 것을 강국들에게 인식시킬 수 있을 것입니다.
statuto_albertino_title;알베르티노 헌법
statuto_albertino_desc;알베르티노 헌법은 1848년 3월 4일 사르데냐-피에몬테 왕국에서 국가 내 혁명 활동에 대한 우려에 대응하여 제정된 헌법이었습니다. 이 헌법은 사르데냐-피에몬테의 전제군주정을 공식화했으며, 비록 수정된 형태이긴 하지만 1948년까지 이탈리아 헌법의 기초로 사용되었습니다.
RECENT_IMIGRATION_DAYS_LATER_THAN;§Y$DAYS$§W일 동안 이민 유입이 없었습니다.\n
RECENT_IMIGRATION_DAYS;최근 §Y$DAYS$§W일 동안의 이민 유입.\n
HAS_COLONIES;식민 국가입니다.\n
HAS_NO_COLONIES;식민 국가가 아닙니다.\n
IS_NOT_GREAT_NATION;열강이 아닙니다.\n
das_zivilgesetzbuch_title;민법전
das_zivilgesetzbuch_desc;1844년에서 1847년까지 개최된 헤센 대공국의 10대 의회(Landtag)는 마인츠를 포함한 라인헤센 지방에서 사용되던 나폴레옹 민법전과 대공국 내의 다른 지역에서 적용되던 전통적인 독일 법을 통합하는 데 상당한 시간을 쏟았습니다. 이 노력의 결과로 1847년에 출판된 '민법전(Zivilgesetzbuch)'은 대공국의 모든 영토를 공통된 하나의 법체계 아래로 효과적으로 통합했습니다.
PROD_NO_CURRENT_PROJECTS;우리의 §Y$POPTYPE$§W(이)가 현재 진행 중인 프로젝트는 없습니다
niederwald_denkmal_title;니더발트 기념비
niederwald_denkmal_desc;니더발트 기념비는 독일 헤센주의 니더발트 공원에 있는 기념비입니다. 이 기념비의 중심 인물은 독일의 국가적 의인화인 10미터 높이의 게르마니아 동상으로, 되찾은 독일 제국의 왕관을 높이 들고 있으며 양옆에는 각각 전쟁과 평화를 상징하는 두 개의 동상이 서 있습니다. 1871년과 1883년 사이에 세워진 이 기념비는 프로이센-프랑스 전쟁 이후 독일 제국의 건국을 기념하기 위해 건설되었습니다. 오랜 세월을 견뎌낼 기념비를 세워 하나 된 우리 국가의 영광을 함께 기뻐합시다!
build_vittoriano_title;조국의 제단
build_vittoriano_desc;'비토리아노'라고도 불리는 조국의 제단(Altare della Patria)은 1911년 이탈리아 로마에서 개관한 기념비로, 비토리오 에마누엘레 2세에게 헌정되었으며 이탈리아 건국을 기념하여 지어졌습니다. 신생국에 걸맞은 기념비를 세워, 다른 나라들이 새롭게 태어난 로마의 영광을 우러러보게 합시다.
BUDGET_BANK_BIGGEST_INVESTORS;최대 투자자:\n
POLITICS_ALREADY_RULING_PARTY;$PARTY$은(는) 이미 집권당입니다.
POLITICS_CANNOT_SET_RULING_PARTY_RULE;현재의 정부 형태에서는 집권당을 단독으로 임명할 수 없습니다
BANK_OF;$COUNTRY$ 은행
TRADE_STOCKPILE_BUY;우리는 어제 §Y$UNITS$§W 단위의 상품을 구매하는 데 §Y$MONEY$§W¤를 지출했습니다
TRADE_STOCKPILE_SOLD;우리는 어제 §Y$UNITS$§W 단위의 상품을 판매하여 §Y$MONEY$§W¤를 얻었습니다
annals_of_the_fulani_jihad_title;풀라니 지하드 편년사
annals_of_the_fulani_jihad_desc;과안두의 에미르 압둘라히 단 포디오(1766~1828)는 생전에 소코토 형성의 불세례였던 풀라니 지하드에 관한 책을 저술했습니다. 이 훌륭한 역사서의 내용을 널리 알림으로써 우리는 우리 국가의 영광과 명성을 드높일 수 있습니다.
become_negusa_nagast_title;네구사 나가스트
become_negusa_nagast_desc;제메네 메사핀트(Zemene Mesafint), 이른바 '대공들의 시대'는 1769년경부터 1855년 테워드로스 2세의 대관식까지 이어진 에티오피아 역사의 한 시기입니다. 이 기간 동안 에티오피아는 내부의 정치적 다툼으로 인해 크게 조각조각 분열되었고, 황제의 지위는 한낱 꼭두각시 신세로 전락하고 말았습니다. 테워드로스가 '만왕의 왕'이라는 뜻의 '네구사 나가스트'로 즉위하면서 대공들의 시대가 막을 내리고 에티오피아에 근대 제국의 시대가 열렸습니다. 이제 대관식을 치를 때가 된 것 아닙니까?
hellenic_parliament_title;불리 톤 엘리논
hellenic_parliament_desc;현대 그리스 국가의 첫 번째 의회는 1843년에야 설립되었으며, 이 역시 같은 해 일어난 9월 3일 혁명을 통해 사실상 당시 국왕이었던 오톤이 국가 헌법을 승인하도록 압박한 후에야 가능했습니다. 역사적인 첫 번째 '불리 톤 엘리논', 즉 헬라스 의회의 출범은 그리스가 입헌군주정으로 전환한 것을 상징할 뿐만 아니라, 헬라스 땅이 고대 이래 처음으로 맛본 민주정의 순간이기도 합니다.
palais_garnier_title;가르니에 궁 건설
palais_garnier_desc;가르니에 궁(Palais Garnier)은 1875년 개관부터 1989년까지 파리 오페라단의 주 무대였습니다. 샤를 가르니에가 네오바로크 양식으로 설계한 이 오페라 하우스는 당시 현대 건축의 걸작으로 널리 인정받았으며, 서양 전역에서 널리 모방되었습니다. 가르니에 궁은 또한 가스통 르루의 고전 소설 '오페라의 유령'의 영감이 되기도 했습니다.
COUNTRYALERT_IsBuildingFactories;다음 주에서 공장을 건설/확장하고 있습니다:
REMOVE_COUNTRYALERT_HasClosedFactories;다음 주에 폐쇄된 공장이 있습니다:
REMOVE_COUNTRYALERT_HasUnemployedWorkers;다음 주에 실업자가 있습니다:
COUNTRYALERT_CanDoReforms;다음과 같은 개혁을 제정할 수 있습니다:
COUNTRYALERT_CanDoDecisions;다음과 같은 결정을 실행할 수 있습니다:
COUNTRYALERT_IsInElection;현재 우리 국가에서 선거가 진행 중입니다. §Y$DATE$§W까지 새로운 집권당이 선출될 것입니다.
COUNTRYALERT_HaveRebels;우리 국가에 반란군이 봉기했습니다!
REMOVE_COUNTRYALERT_CanIncreaseOpinion;다음 국가(들)에서 우리 국가에 대한 견해를 높일 수 있습니다:
COUNTRYALERT_LoosingGPStatus;우리는 §Y열강§W 지위를 잃고 있습니다! §Y$DAYS$§W까지 되찾지 못한다면, 세계는 더 이상 우리를 §Y열강§W으로 간주하지 않을 것입니다!
COUNTRYALERT_NO_IsBuildingFactories;현재 어떤 공장도 건설/확장하고 있지 않습니다
REMOVE_COUNTRYALERT_NO_HasClosedFactories;우리 국가에는 폐쇄된 공장이 없습니다
COUNTRYALERT_NO_HasUnemployedWorkers;우리 국가에는 실업자가 없습니다
COUNTRYALERT_NO_CanDoReforms;어떠한 개혁도 제정할 수 없습니다
REMOVE_COUNTRYALERT_NO_CanDoDecisions;어떠한 결정도 실행할 수 없습니다
COUNTRYALERT_NO_IsInElection;현재 우리 국가에서 진행 중인 선거가 없습니다
COUNTRYALERT_NO_HaveRebels;우리 국가에는 반란군이 없습니다
REMOVE_COUNTRYALERT_NO_CanIncreaseOpinion;다른 어떤 국가에서도 우리 국가에 대한 견해를 높일 수 없습니다
COUNTRYALERT_NO_LoosingGPStatus;우리는 §Y열강§W 지위를 잃고 있지 않습니다
COUNTRYALERT_NO_GPStatus;우리는 §Y열강§W이 아닙니다
PEACE_DESC;평화를 위한 협상을 진행합니다
TOPBAR_TOP5_GOODS;국내 생산 상위 5개 상품:
TOPBAR_HISTORICAL_INCOME;지난 §Y$DAYS$§W일 동안, 우리의 최고 수입은 $MAX$¤였고 최저 수입은 $MIN$¤였습니다.
TOPBAR_FUNDS;어제 우리는 $YESTERDAY$¤를 벌었습니다. 현재 현금 보유량은 §Y$CASH$§W¤입니다.
TOPBAR_AVG_LITERACY;인구의 평균 §Y문해율§W은 §Y$AVG$§W%입니다.
TOPBAR_AVG_MIL;인구의 평균 §Y투쟁성§W은 §Y$AVG$§W입니다.
TOPBAR_AVG_CON;인구의 평균 §Y의식§W은 §Y$AVG$§W입니다.
REMOVE_TOPBAR_POPULATION;현재 인구는 $CURR$입니다. 어제 이후로 인구가 $CHANGE$만큼 변동했습니다.
TOPBAR_TOP_IMPORTS;상위 §Y$N$§W개 수입 상품:
TOPBAR_TOP_EXPORTS;상위 §Y$N$§W개 수출 상품:
TOPBAR_ARMY_TOOLTIP;우리의 §Y병사§W들이 지원할 수 있는 가능한 §Y$MAX$§W개 여단 중 §Y$CURR$§W개를 배치했습니다.
TOPBAR_SHIP_TOOLTIP;우리 해군은 총 §Y$CURR$§W척의 함선을 보유하고 있습니다.
TOPBAR_MOBILIZE_TOOLTIP;§Y빈곤층§W 시민들을 동원하면 현재 §Y$CURR$§W개 여단을 배치할 수 있습니다.
TOPBAR_LEADERSHIP_TOOLTIP;우리는 총 §Y$CURR$의 지휘력 점수§W를 보유하고 있습니다.
TOPBAR_MOBILIZED;가용한 모든 부대를 동원했습니다!
TOPBAR_DIPLOPOINTS;우리는 총 §Y$CURR$§W의 외교 점수를 보유하고 있습니다.
TOPBAR_GOVERNMENT;현재 정부 형태는 §Y$CURR$§W입니다.
TOPBAR_RULING_PARTY;현재 집권당은 §Y$CURR$§W입니다.
TOPBAR_UNEMPLOYED;$STATE$의 실업 상태인 §Y$TYPE$§W §Y$NUM$§W명 (전체의 $PERC$§W%)
TOPBAR_XINY;$Y$의 §Y$X$§W
TOPBAR_AT_PEACE;평화 상태
TOPBAR_FACTION;§Y$NAME$§W, 총 §Y$STRENGTH$§W 반란군, 평균 조직력: §Y$ORG$§W%
TOPBAR_PROJECTED_INCOME;일일 예상 수입: $VAL$¤
SIDEMENU_menubar_msg_combat;좌클릭 시 모든 §Y전투§W 메시지를 표시합니다. 우클릭 시 모두 닫습니다.
SIDEMENU_menubar_msg_diplo;좌클릭 시 모든 §Y외교§W 메시지를 표시합니다. 우클릭 시 모두 닫습니다.
SIDEMENU_menubar_msg_unit;좌클릭 시 모든 §Y부대§W 메시지를 표시합니다. 우클릭 시 모두 닫습니다.
SIDEMENU_menubar_msg_province;좌클릭 시 모든 §Y프로빈스§W 메시지를 표시합니다. 우클릭 시 모두 닫습니다.
SIDEMENU_menubar_msg_other;좌클릭 시 모든 §Y기타§W 메시지를 표시합니다. 우클릭 시 모두 닫습니다.
SIDEMENU_menubar_msg_event;좌클릭 시 모든 §Y이벤트§W 메시지를 표시합니다. 우클릭 시 모두 닫습니다.
the_scotland_yard_title;스코틀랜드 야드
the_scotland_yard_desc;1829년 수도경찰법에 의해 통합된 수도경찰청은 과거 '그레이트 스코틀랜드 야드'라는 길이 있던 화이트홀 팰리스 4번지에 본부를 두면서 빅토리아 시대 동안 비공식적으로 '스코틀랜드 야드'라고 불리게 되었습니다. 쥘 베른과 아서 코난 도일 등의 작품에서도 언급될 만큼 이 시대 가장 상징적인 경찰 기관 중 하나인 야드는, 우리가 범죄 문제를 해결하는 데 큰 도움을 줄 수 있을 것입니다.
the_yard;스코틀랜드 야드
the_yard_desc;수도경찰청, 즉 스코틀랜드 야드는 셜록 홈즈의 조수 역할을 하며 열심히 일하고 있습니다.
call_geneva_convention_title;제네바 협약
call_geneva_convention_desc;1862년 장 앙리 뒤낭은 솔페리노 전투 직후의 잔혹함과 참상을 목격한 후 자비로 '솔페리노의 회상(Un Souvenir de Solferino)'이라는 전투 목격담을 자비로 출판했습니다. 그는 자신의 경험을 바탕으로 전상자 치료를 전담하는 국제기구 설립에 대한 아이디어를 구상하기 시작했고, 스위스 전역을 순회하며 강연하기도 했습니다. 이러한 아이디어를 배경으로 스위스 의회는 1864년 제네바에서 전쟁 수행에 관한 국제법을 확립하기 위한 국제 협약을 소집했습니다.
EVTNAME31311;제네바 협약
EVTDESC31311;제1조. 구급차와 야전병원은 중립으로 인정되며, 부상병과 환자를 수용하는 한 교전국에 의해 보호받고 존중되어야 한다.'\n\n스위스는 전쟁 수행을 위한 일련의 국제적 규범과 지침을 논의, 공식화 및 합의하기 위해 제네바에서 국제 협약을 소집했습니다. 세계의 모든 문명국들이 훗날 '제네바 협약'으로 알려질 본 협약에 서명하도록 초대받았습니다.
EVTOPTA31311;당연히 이 진보적인 인도주의 문서에 서명할 것이다.
EVTOPTB31311;현시점에서는 이 문서에 서명할 마음이 없다.
signed_the_geneva_convention;제네바 협약
signed_the_geneva_convention_desc;우리 국가는 제네바 협약의 서명국입니다.
sign_the_geneva_convention_title;제네바 협약 서명
sign_the_geneva_convention_desc;우리 국가는 전쟁의 정당한 수행과 전상자 처우를 제한하고 규정하는 제네바 협약에 아직 서명하지 않았습니다. 물론 우리는 여전히 서명할 수 있습니다.
PRODUCTION_SORT_BY_INFRA;기반 시설
BUILD_ESTIMATED_COST;비축량에 없는 상품의 예상 비용: §R$COST$§W¤
PRODUCTION_NEED_TECH;§Y$GOOD$§W을(를) 생산하려면 §Y$TECH$§W을(를) 연구해야 합니다.
PRODUCTION_NEED_FACTORY;§Y$GOOD$§W을(를) 생산하기 위해, §Y$FACTORY$§W을(를) 건설할 수 있습니다.
PRODUCTION_NEED_RGO;§Y$GOOD$§W을(를) 생산하려면, 이를 생산하는 프로빈스를 소유해야 합니다.
pass_folkskolereformen_title;폴크스콜레 개혁
pass_folkskolereformen_desc;'인민 학교' 개혁인 '폴크스콜레(Folkskolereformen)' 개혁은 1842년 스웨덴에서 통과된 법률로, 국가가 제공하는 여러 기초 과목에 대한 모든 스웨덴 아동의 의무 교육을 도입했습니다. '폴크스콜레(Folkskolan)'는 무지와 형편없는 문법을 선호하는 추세에 밀려 안타깝게도 단계적으로 폐지된 1970년대 초반까지 스웨덴 교육 시스템의 기반으로 남아있을 것입니다.
folkis_educates;폴크스콜레
folkis_educates_desc;효율적이고 현대적인 의무 교육 제도가 청소년들에게 여러 가지 기초 과목을 교육하고 있습니다.
the_case_of_edgardo_mortara_title;에드가르도 모르타라
