support_for_blank;$text$ 지지
alice_readme;?GProject Alice에 오신 것을 환영합니다!?W\nProject Alice는 여러분이 가장 좋아하는 빅토리아 시대 게임의 모작입니다(시뮬레이션이 아닙니다!). 저희는 몇몇 메커니즘을 조정하여 신규 플레이어가 더 쉽게 이해할 수 있도록 했고, 게임을 더 역동적이고 더 재미있게 만들었으며, 기존의 버그(예: 위기)를 수정하고 새로운 생활 조건 기능을 구현했습니다.\n?G새 기능!?W\n?Y지구본?W: ?G호평?W과 ?R혹평?W이 엇갈립니다. 마음에 들지 않으면 꺼 버리세요!\n?Y기술 대기열?W: SHIFT+우클릭으로 기술을 연구 대기열에 추가하세요! (우클릭으로 취소)\n?Y국내 투자?W: 개별 프로젝트에 투자하는 대신 한 번에 끝내세요\n?Y성능?W: 초당 틱 수(FPS 아님)가 최소 10배 빨라졌습니다\n?Y검사기?W: 모드에서 덮어쓰기 오류와 경고를 확인하여 버그와 오타를 쉽게 찾아내세요\n?Y부대 템플릿?W: 다양한 병종으로 구성된 부대 템플릿을 저희 부대 템플릿 기능으로 만드세요\n?Y새로운 지도 모드 11종?W: 종교, 요새, 직업 현황 등\n?Y전국 건설?W: SHIFT+우클릭으로 전국에 건설하세요!\n?G조작법?W:\n?YTAB?W: 채팅 창 열기\n?YESC?W: 메인 메뉴와 설정 메뉴 열기\n?Y백틱(` 또는 ~)?W: 콘솔 열기\n?G게임을 즐겨 주세요! =^w^=?W
alice_nf_controls;?Y좌클릭?W으로 선택 또는 대체\n?Y우클릭?W으로 제거
unit_controls_tooltip_1;?Y좌클릭?W 선택(다른 선택 해제)\n?YSHIFT+좌클릭?W 선택에 추가
unit_controls_tooltip_2;?Y한 주를 우클릭?W하여 해당 지역으로 부분 후퇴(?G순환/교대?W)
unit_control_group_tooltip;?YCTRL+1?W부터 ?YCTRL+9?W까지 눌러 이 부대를 제어 그룹에 지정/해제할 수 있으며, ?Y1?W부터 ?Y9?W를 눌러 선택할 수 있습니다
console_button_tooltip;콘솔 열기
demobilize;해산
mobilize;동원
alice_cb_creation_detail_none;$country$에 대한 전쟁 명분 조작을 시작하려면 항목을 선택하세요.
alice_cb_creation_detail;우리는 ?Y$type$?W을 근거로 $country$에 대한 전쟁 명분을 조작할 수 있습니다. 이 과정에는 약 ?Y$days$?W일이 걸리며, 발각되면 ?R$badboy$?W의 악명을 얻게 됩니다.
alice_mob_controls;?Y우클릭?W으로 재동원
alice_mw_create_1;육군 지휘관 임명
alice_mw_create_2;해군 지휘관 임명
alice_mw_create_lpb;한계에 도달하면 ?Y리더십 점수?W를 자동으로 사용해 육군 또는 해군 지휘관을 생성합니다
alice_mw_create_lp;추가하려면 ?R$x$?W?Y리더십 점수?W가 필요합니다
alice_mw_controls_1;?Y우클릭?W하여 가능한 ?G모든?W 육군 지휘관 임명
alice_mw_controls_2;?Y우클릭?W하여 가능한 ?G모든?W 해군 지휘관 임명
alice_daily_leadership_tt;$poptype$이(가) ?G$value$?W의 리더십 점수를 제공합니다(인구의 ?Y$fraction$?W, 최적은 ?Y$optimal$%?W). 초과된 리더십 점수는 자동으로 소비되어 새로운 지휘관을 생성합니다.
unit_current_supply;지난 하루 동안 이 부대는 필요한 보급의 ?Y$val$%?W를 받았습니다.\n현재 보급 소비량으로부터 우리가 얻을 수 있는 양은 다음과 같습니다:
unit_current_supply_high;$what$: ?Y$val$?W/?Y$value$?! ?l(?W?G$total$%?W?l 수요 충족도)
unit_current_supply_mid;$what$: ?Y$val$?!/?Y$value$?! ?l(?O$total$%?W?l 수요 충족도)
unit_current_supply_low;$what$: ?Y$val$?!/?Y$value$?! ?l(?R$total$%?W?l 수요 충족도)
alice_crisis_inactive;현재 사용 가능한 위기가 없습니다
alice_crisis_finding_attacker;현재 위기의 공격 측을 찾는 중
alice_crisis_finding_defender;현재 위기의 방어 측을 찾는 중
alice_crisis_heating_up;위기 고조 중, 현재 ?R$temperature$?W
alice_last_crisis;지난 위기는 $date$에 발생했습니다(위기 사이에는 $time$개월의 냉각 기간이 있습니다)
alice_crisis_par_1;?R공격 측?W:
alice_crisis_par_2;?B방어 측?W:
alice_crisis_par_3;?Y매우 큰 관심 있음(진영 없음)?W:
alice_commodity_cprice;현재 가격: $x$
alice_commodity_cost;비용: $x$
alice_commodity_eprice;유효 가격: $x$
alice_trade_top_producers;상위 ?Y$value$?W개 생산국:
alice_trade_no_producers;?R이 상품을 생산하는 POP이 없습니다?W
alice_political_party_trigger;?Y$date_long_0$?W부터 ?Y$date_long_1$?W까지만 유효하며, 다음 조건을 충족해야 합니다:
alice_political_party_no_trigger;?Y$date_long_0$?W부터 ?Y$date_long_1$?W까지만 유효
alice_ai_decision;AI가 이 결정을 선택할 가능성은 다음에 따라 달라집니다:
alice_mobilized_is_ai_controlled;동원된 부대는 어떤 경우에도 자동으로 AI가 통제합니다
alice_ai_controlled_unit;이 부대의 AI 제어를 활성화/비활성화합니다. 이 부대는:\n- 자동으로 전선에 증원합니다\n- 상황이 안전하면 자동으로 공성합니다\n- 반란군을 추격합니다\n- 우리가 공격할 수 있는 국가에 대해 방어 태세를 취합니다(AI가 자유롭게 판단하며, 평화 시에만 적용됨)\n이 부대가 특정 국가나 지역에 집중하길 원한다면, 먼저 해당 지역이나 국가 근처로 이동시킨 다음 AI 제어를 켜세요. AI는 다시 끌 때까지 당신의 모든 명령을 덮어씁니다
alice_navy_allocation_tt;현재 ?Y$curr$?W척의 선박이 있으며, 총 보급 처리량은 ?Y$tot$?W이고 우리 함대를 보급하는 데 ?Y$req$?W가 필요합니다. 해군의 각 함선별 보급 소비량:
alice_navy_allocation_2;$name$: ?Y$value$?W(?Y$perc$?W)
alice_wg_condition_1;방어 측으로서 현상 유지를 하지 않음
alice_wg_condition_2;우리와 전쟁 중
alice_wg_condition_3;특수 전쟁 목표임(다른 전쟁 목표의 복사본이 아님)
alice_wg_condition_4;우리와 같은 진영이 아님
alice_wg_condition_5;전쟁 목표를 충족함
alice_wg_condition_6;충분한 쇼비니즘(필요: $need$, 현재: $value$)
alice_wg_condition_7;정당화 가능한 전쟁 목표임
alice_tt_wg_infamy_limit;?R이 전쟁 목표는 악명 한도를 초과합니다?W
alice_wg_usage_trigger;다음 발동 조건을 충족해야 사용할 수 있습니다:
province_id;주 ID
nation_tag;국가 태그
alice_rgo_trade_prod_1;RGO 농업 생산: $x$($y$)
alice_rgo_trade_prod_2;RGO 광업 생산: $x$($y$)
alice_rgo_trade_prod_3;RGO 제련 생산: $x$($y$)
alice_artisan_trade_prod;장인 생산: $x$($y$)
alice_factory_trade_prod;공장 생산: $x$($y$)
alice_all_trade_prod;총생산량: $x$
alice_interested_in_alliance;(AI 국가에만 적용) 우리가 이 국가와의 동맹에 관심이 있음을 표시하며, 동맹 제안을 즉시 수락합니다
alice_merge_rally_point_why;집결지 병합은 폐기되었습니다. 이제 집결지는 유닛을 자동으로 병합합니다
alice_mvcap_1;수도를 이곳으로 이전
alice_mvcap_2;진행 중인 위기가 없음
alice_mvcap_3;평화 상태임
alice_mvcap_4;현재 수도가 아님
alice_mvcap_5;식민지가 아님
alice_mvcap_6;현재 수도와 같은 대륙에 있음
alice_mvcap_7;주요 수용 문화
alice_mvcap_8;현지가 포위되지 않음
alice_mvcap_9;현재 수도가 포위되지 않음
alice_mvcap_10;당신이 소유함
alice_mvcap_11;당신이 통제함
alice_mvcap_12;소유자의 코어임
alice_pnt_pops;?Y인구:?! $x$
alice_pnt_rpops;?Y부유층:?! $x$($y$)
alice_pnt_mpops;?Y중산층:?! $x$($y$)
alice_pnt_ppops;?Y빈곤층:?! $x$($y$)
alice_pnt_culture;?Y주요 문화:?!$x$
alice_pnt_religion;?Y국교:?! $x$
alice_pnt_dominant_religion;?Y주요 종교:?! $x$
alice_pnt_dominant_ideology;?Y주요 이념:?! $x$
ledger_ppp_gdp;PPP
ledger_ppp_gdp_per_capita;백만 명당 평균 PPP
make_province_religion;해당 주의 POP을 ?Y$text$?W(으)로 변경
make_pop_religion;?Y$text$?W(으)로 변경
make_pop_culture;?Y$text$?W(으)로 변경
an_assigned_leader;배정된 지휘관
leader_prestige;지도자 위신
chat_player_reload;$playername$ 다시 불러옴
alice_receiving_savegame;호스트로부터 저장 파일을 받는 중
unit_arrival_time_text;($date$에 도착)
macro_new_template;새로 만들기
x_in_y;$x$ / $y$
WARSUBSIDIES_BUTTON;전쟁 보조금
CANCEL_WARSUBSIDIES_BUTTON;원조 취소
CANCEL_WARSUBSIDIES_THEY_ACCEPT_LOG;우리는 이제 $RECIPIENT$에 대한 전쟁 원조를 중단했습니다
CANCEL_WARSUBSIDIES_WE_ACCEPT_LOG;$ACTOR$가 우리에 대한 전쟁 원조를 중단했습니다
CANCEL_WARSUBSIDIES_OTHER_ACCEPT_LOG;$ACTOR$가 $RECIPIENT$에 대한 전쟁 원조를 중단했습니다
CANCEL_WARSUBSIDIES_DESC;이 국가에 대한 자금 원조를 취소합니다
ledger_standard_of_living;생활 수준
alice_ledger_header_gdp_history;구매력(인플레이션 조정) GDP 역사
alice_countryalert_colonialgood_start;우리는 $region$에서 식민화를 시작할 수 있습니다
alice_overseas_mil_description;해외 부대
alice_armygroup_go_to_selection;유닛 추가/제거
alice_battleplanner_travel_destination_order;수송 목적지 전환
alice_battleplanner_travel_origin_order;수송 출발지 전환
alice_battleplanner_defend_order;방어 상태 전환
alice_battleplanner_enforce_control_order;포위 전환
alice_exit_battleplanner_deselection;선택 해제 모드 종료
alice_exit_battleplanner_selection;선택 모드 종료
alice_exit_battleplanner;전투 계획 종료
alice_battleplanner_add_selected;선택 항목 추가
alice_battleplanner_remove_selected;선택 항목 제거
alice_battleplanner_new_army_group;집단군 생성
alice_battleplanner_delete_army_group;집단군 삭제
fab_explain_8;휴전이 없음
alice_reform_support_header;이 개혁의 정치적 지지율(총 지지율이 50% 이상이어야 개혁 가능)
alice_no_current_support;현재 이 개혁은 정치적 지지를 받지 못하고 있습니다
alice_unciv_reform_cost;개혁 비용: $x$
trade_global_data;세계
trade_nation_data;국내
trade_good_stats_global;국가
trade_good_stats_markets;시장
trade_good_name_header;상품
price;가격
supply;공급
demand;수요
balance;수지
market_stockpiles;비축량
national_stockpile;정부 비축
government_need;정부 구매
factory_need;공장 투입
pop_need;수요 부족
rgo_production;RGO 생산
artisan_production;장인 생산
factory_production;공장 생산
artisan_distribution;장인 우선순위
produced_nation;비축
consumed_nation;소비
nation_name;국가
demanded_nation;수요
method_name;이름
method_input;투입 비용
method_output;산출 비용
method_profit;기대 이익
method_margin;이윤율
method_cost;건설 비용
method_payback;투자 회수
change_pname_to;$x$ 정당 이름을 $text$(으)로 변경
change_rpname_to;집권당 이름을 $text$(으)로 변경
change_pposition_to;$x$ 정당 위치를 $text$(으)로 이동
change_rpposition_to;집권당 위치를 $text$(으)로 이동
pname_is;$x$ 정당 이름
rpname_is;집권당 이름
pposition_is;$x$ 정당 위치
rpposition_is;집권당 위치
topbar_budget_warning;우리는 어제의 목표 예산 지출을 감당할 수 없어, 지출을 강제로 삭감했습니다.
rgo_output;생산량
rgo_profit;총량
rgo_expected_profit;현재
rgo_desired_profit;최소
rgo_employment;현재
rgo_max_employment;최대
rgo_saturation;%
rgo_details_header;RGO 세부사항
rgo_employment_header;고용
rgo_profits_header;이익
route_origin;노선 출발지
route_target;노선 도착지
price_origin;출발지 가격
price_target;도착지 가격
trade_distance;노선 거리
volume;용량
actual_volume;현재 판매량
max_throughput;운송 한도
trade_margin;세후 이익
unit_upgrade_desc;다른 병종으로 전환합니다. 이후 전투력은 1%로 감소합니다
unit_upgrade_explain_1;이 부대는 이미 선택되었습니다
unit_upgrade_explain_2;병종 사용 가능
unit_upgrade_explain_3;소형함은 대형함으로 바꿀 수 없습니다
unit_upgrade_explain_4;육군은 전투 중이거나 수송선에 탑승 중일 때는 후퇴하지 않습니다
unit_upgrade_explain_5;해군은 전투 중이거나 육군을 수송 중일 때는 후퇴하지 않습니다
unit_upgrade_explain_6;해군은 충분한 등급의 해군기지에 정박해야 합니다
alice_cb_creation_detail_state;우리는 $country$($state$)에 대해 ?Y$type$?W 명분을 조작할 것입니다. 이 과정은 약 ?Y$days$일?W이 걸리며, 발각되면 ?R$badboy$?W의 악명을 얻게 됩니다.
alice_take_province_1;그중에서 목표 주를 획득
alice_take_province_2;현지 민족주의자는 ?R$val$?W년을 얻게 됨
alice_take_province_3;그곳의 인구는 ?R$val$?W의 투쟁성을 얻게 됨
alice_take_province_4;다른 인구는 ?R$val$?W의 투쟁성을 얻게 됨
alice_take_province_5;플레이어 국가의 것임
alice_take_province_6;전시 상태가 아님
alice_take_province_7;통제 중임
investment_pool;투자금 풀: ?Y$x$?W
investment_pool_income_1;인구 재투자: ?G$x$?W
investment_pool_income_2;$country$에서 옴: ?G$x$?W
investment_pool_income_3;정부 국내 투자: ?G$x$?W
investment_pool_spending_1;일일 손실(0.1%): ?R$x$?W
investment_pool_spending_2;건설 지출: ?R$x$?W
investment_pool_spending_3;이전 대상: ?R$x$?W
DIPLO_RUN_CONFERENCE;회의 개최
unit_reinforcement_needs;증원 물자:
unit_supply_needs;일일 지원:
unit_upgrade_button;병종 변경
subjectpayments_income;수입: ?G$VAL$?W
subjectpayments_income_row;?G$VAL$?W 출처: ?Y$country$?W
subjectpayments_expense;지출: ?R$VAL$?W
alice_unit_builder_apply_button;선택한 주에 건설
unit_macro_template_tooltip;부대 템플릿
alice_factory_type_viewer_priority;전문화 중점
alice_factory_type_viewer_priority_national;국내 전문화 중점:
alice_factory_type_viewer_priority_private;민간 전문화 중점:
alice_factory_type_viewer_priority_bonus;투입(곱셈):
alice_commodity_tab;상품
alice_factory_type_tab;공장 유형
alice_player_date_sync;플레이어 $name$($country$), 마지막 명령: $date$
alice_only_host_speed;호스트만 속도 변경 가능
alice_host_date;호스트 날짜: $date$
alice_budget_gold;금광
alice_budget_construction;건설
alice_budget_army_upkeep;육군 지출
alice_budget_navy_upkeep;해군 지출
alice_budget_domestic_investment;투자 보조금
alice_budget_debt_service;채무 상환
alice_budget_diplo_income;외교
alice_budget_diplo_expenses;외교
alice_budget_taxes;세금
alice_budget_indemnities;전쟁 배상금
alice_budget_subjects;수입 출처
alice_budget_item;항목
alice_budget_amount;수량
alice_budget_minimum_button;최소값 설정
alice_budget_maximum_button;최대값 설정
alice_budget_decrease_button;값 10 감소(shift+로 정밀 조절)
alice_budget_increase_button;값 10 증가(shift+로 정밀 조절)
alice_budget_max;최대 $x$
alice_budget_min;최소 $x$
alice_budget_overlord;종주세
alice_budget_expand_tt;세부사항 표시
alice_budget_contract_tt;세부사항 숨기기
alice_budget_admin_eff1;행정
alice_budget_admin_eff2;효율:
alice_budget_chart_top;100%
alice_budget_chart_bottom;0%
alice_budget_chart_label;복지
alice_budget_chart_laxis;인구
alice_budget_chart_baxis;충족도
alice_budget_debt;부채
alice_budget_total_debt;총계:
alice_budget_max_debt;최고:
alice_budget_debt_enable;활성화
alice_budget_tariffs_import;수입 관세
alice_budget_tariffs_export;수출 관세
alice_budget_overseas_maintanance;식민지
alice_budget_social_spending;복지
potentials;잠재
factory_build_condition_11;지역에 잠재 자원이 있음
factory_upgrade_condition_11;지역에 잠재 자원이 있음
factory_stats_7;규모 처리량: ?G+$val$?!
factory_consumer_count;경공업 공장: ?Y$val$?!
factory_heavy_count;중공업 공장: ?Y$val$?!
factory_military_count;군수 공장: ?Y$val$?!
factory_processing_count;가공 공장: ?Y$val$?!
factory_total_size;공장 총 규모: ?Y$val$?!
state_transfer_explain_7;종속 관계여야 함
alice_loan_size_mod;최대 무이자 대출 수정치: ?G+$x$
capitalists_savings_ratio;자본가 저축률: ?G$x$?!
middle_class_savings_ratio;중산층 저축률: ?G$x$?!
farmers_savings_ratio;농민 저축률: ?G$x$?!
landowners_savings_ratio;지주 저축률: ?G$x$?!
capitalists_investment_ratio;자본가 투자율: ?G$x$?!
middle_class_investment_ratio;중산층 투자율: ?G$x$?!
farmers_investment_ratio;농민 투자율: ?G$x$?!
landowners_investment_ratio;지주 투자율: ?G$x$?!
production_refit_factory_tooltip_1;?Y$what$?!을(를) 다른 생산 라인으로 개조
production_refit_factory_tooltip_2;?Y$what$?!을(를) ?Y$name$?!(으)로 개조
production_refit_factory_tooltip_3;집권당이 공장 건설을 허용함
production_refit_factory_tooltip_4;유형 변경에는 동일한 투입 또는 산출이 필요함
factory_refit_cost;$what$: ?Y$val$?! (?Y$value$?!)
factory_refit_cost_total;총계: ?Y$value$?!
tb_suppression_points;탄압 점수:
aristocrat_reinvestment;장인 재투자율
capitalist_reinvestment;자본가 투자율
middle_class_reinvestment;중산층 재투자율
farmers_reinvestment;농민 재투자율
aristocrat_savings;장인 저축률
capitalist_savings;자본가 저축률
middle_class_savings;중산층 저축률
farmers_savings;농민 저축률
alice_filter_all;전체
alice_filter_none;없음
alice_filter_noncolonial;비식민지
alice_filter_colonial;식민지
alice_open_filters;필터 활성화
alice_reset_filters;필터 초기화
alice_only_show_pops;인구만 표시
alice_job_filter_header;직업
alice_culture_filter_header;문화
alice_religion_filter_header;종교
alice_location_filter_header;위치
alice_pop_show_details;세부사항
alice_demographics_window_header;인구통계
alice_demographics_size_header;규모
alice_demographics_job_header;직업
alice_demographics_religion_header;종교
alice_demographics_location_header;위치
alice_demographics_employment_header;고용
alice_demographics_needs_header;수요
alice_demographics_rebel_header;지지 운동
alice_pop_details_title;인구 세부사항
alice_pop_details_location;위치
alice_pop_details_job;직업：
alice_pop_details_mil;전투성：
alice_pop_details_con;의식도：
alice_pop_details_lit;식자율：
alice_pop_details_religion;종교：
alice_pop_details_culture;문화：
alice_pop_details_employment;고용：
alice_pop_details_income;순수입：
alice_pop_details_growth;증가：
alice_pop_details_assim;동화：
alice_pop_details_ln;필수품
alice_pop_details_en;일상용품
alice_pop_details_lx;사치품
alice_pop_details_need_name_h;이름
alice_pop_details_need_amount_h;수요
alice_pop_details_need_cost_h;비용
alice_pop_details_dest_h;목표
alice_pop_details_table_weight_h;성향
alice_pop_details_table_item_h;항목
alice_pop_details_prom;승진
alice_pop_details_dem;강등
alice_pop_details_amount;수량：
alice_pop_details_ideo;이념
alice_pop_details_iss;정치 견해
alice_pop_details_emm;이민
alice_pop_details_mig;이주
alice_pop_details_i_amount;본토：
alice_pop_details_c_amount;식민지：
pop_emigration_attraction_1;이민 요인：
pop_emigration_attraction_2;국가 수정치：$x$
pop_emigration_attraction_3;목표 요인：$x$
pop_migration_attraction_1;이주 요인：
pop_migration_attraction_2;지역 수정치：$x$
pop_migration_attraction_3;목표 요인：$x$
alice_technology_leadership_points;지도력：
alice_reserve_reg_count;$x$ 현재 ?Y$y$?W 예비대가 전투 중
alice_reinforce_battle_mod_top;?Y$x$?W 예비대 증원 수정치：
alice_reinforce_battle_only_reserve;오직 ?Yreserves?W 만 증원 가능
alice_reinforce_battle_spending_modifier;평균 보급률：?Yx$x$。?W
alice_reinforce_battle_location_modifier;전투 지역 평균 수정치：?Yx$x$。?W
alice_reinforce_battle_national_modifier;국가 및 기술 평균 수정치：?Yx$x$。?W
alice_reinforce_rate_battle_attacker;공격 측은 매월 $x$명의 병사를 증원할 수 있습니다.
alice_reinforce_rate_battle_attacker_none;공격 측은 사용 가능한 증원이 없습니다.
alice_reinforce_rate_battle_defender;방어 측은 매월 $x$명의 병사를 증원할 수 있습니다.
alice_reinforce_rate_battle_defender_none;방어 측은 사용 가능한 증원이 없습니다.
provid;내용 주 ID
used_throughput_tooltip;주 내 경로 총 사용량 ?Y$val$
max_throughput_tooltip;주 내 경로 최대량 ?Y$val$
tariff_rate_origin;판매자 유효 관세율 ?Y$val$
tariff_rate_target;구매자 유효 관세율 ?Y$val$
tariff_paid_origin;판매자 측에서 지불한 관세 ?Y$val$
tariff_paid_target;구매자 측에서 지불한 관세 ?Y$val$
transport_cost_total;총 운송비 ?Y$val$
transport_cost_per_unit;단위당 운송비 ?Y$val$
transportaion_loss;운송 중 손실 ?Y$val$
payment_per_unit;단위당 구매자 지불액 ?Y$val$
payment_received_per_unit;단위당 판매자 수취액 ?Y$val$
merchants_received_per_unit;단위당 판매자 이익 ?Y$val$
disallow_naval_trade;해상 금수조치
disallow_land_trade;육상 금수조치
pop_migration_bureaucracy;유동 관료가 지역을 관리함：$x$
pop_migration_attraction_wage_ratio;임금 격차：$x$
pop_migration_attraction_bureaucracy;관료 기반 매력도：$x$
ask_free_trade_agreement;무역 협정
revoke_trade_rights;무역 권리 철회
msg_trade_rights_revoked;국가 ?Y$y$?W 이(가) ?Y$x$?!의 자국 내 자유무역 권리를 철회했습니다.
trade_rights_desc;무역 권리 또는 불평등 조약은 상대에게 무역상 우대 대우를 부여하여 우리 관세를 무시하게 합니다. 일단 시행되면 ?Y$x$ 년 동안 취소할 수 없습니다.
revoke_trade_rights_explain_1;무역 권리 시행 이후 충분한 시간이 지났습니다
free_trade_desc;상대가 동의하면 무역 협정을 체결하여 ?Y$x$?W 년 동안 양국 사이의 모든 관세를 철폐합니다.
free_trade_explain_1;우리 상인들은 ?G$date$?! 이전까지 그들의 관세를 지불할 필요가 없습니다!
free_trade_explain_2;그들의 상인들은 ?R$date$?! 이전까지 우리의 관세를 지불할 필요가 없습니다!
free_trade_explain_3;우리는 그들에게 금수조치를 시행 중입니다
free_trade_explain_4;그들은 우리에게 금수조치를 시행 중입니다
issue_embargo;금수조치 시행
lift_embargo;금수조치 해제
embargo_desc;금수조치는 양국 간의 모든 시장(영역 및 대상)을 차단합니다. 전쟁 중에는 적에게 자동으로 금수조치가 시행됩니다.
embargo_explain_1;$x$ 및 그 세력과 속국은 $y$ 및 그 세력과 속국을 ?G금수조치?W 합니다.
embargo_explain_2;$x$ 및 그 세력과 속국은 $y$ 및 그 세력과 속국을 ?R금수조치?W 합니다.
embargo_explain_3;우리는 그들의 국가에서 무역 권리가 없습니다
embargo_explain_4;그들은 우리 국가에서 무역 권리가 없습니다
embargo_explain_5;우리는 같은 세력권에 있지 않습니다
embargo_explain_6;그들은 같은 세력권에 있지 않습니다
msg_embargo_issued_title;금수조치 발령됨
msg_embargo_issued;국가 ?Y$y$?! 이(가) ?Y$x$?!와의 무역을 금지하는 금수조치를 발령했습니다.
msg_embargo_lifted_title;금수조치 해제됨
msg_embargo_lifted;국가 ?Y$y$?! 가 ?Y$x$?! 에 대한 무역 금수를 해제했습니다.
msg_free_trade_agreement_signed_title;자유무역협정이 체결되었습니다.
msg_free_trade_agreement_signed;우리 두 나라 $x$ 와 $y$ 는 이미 자유무역협정을 체결했습니다. 이는 양국 간 무역의 모든 관세를 철폐합니다.
state;지역 현황
state_id;지역 현황 ID
state_definition;국가 정의
state_definition_id;국가 정의 ID
nation_id;앨리스 국가 ID
province_colonisation_temperature;지역 이민 열기: ?R$val$?W
alice_unit_target;===> $x$
change_factory_limit_by;$good$ 공장 잠재력을 $value$ 로 변경
build_factory;공장 건설
upgrade_factory;공장 업그레이드
build_province_building;주 건물 건설
resource_potential;잠재 자원
available_potential;현지 자원으로 $what$ 건물의 생산 등급 ?Y$val$?W 허용
factory_level;공장 등급 ?Y$val$
provinceview_goodsprofit;이익: ?Y$value$
provinceview_max_employment;최대 고용 가능 인원: ?Y$value$
province_rgo_efficiency_inputs;투입 효율:
province_rgo_efficiency_input;?Y$good$?W : ?Y$value$
factory_condition_8;식민지에서 허용되는 공장 유형
alice_has_possible_units;일부 유닛을 건설할 수 있습니다.
CANBUILD_FORCEDISARM;국가가 아직 강제 군축 상태에서 벗어나지 못했습니다.
alice_naval_coordination_penalty;$x$ 는 적 함대 규모를 초과하여 ?R$y$?W 의 해군 협동 패널티를 받아 목표 선택이 ?R$val$?W 감소했습니다.
alice_naval_coordination_bonus;$x$ 는 적 함대 규모보다 적어 ?R$y$?W 의 해군 협동 보너스를 받아 목표 선택이 ?R$val$?W 증가했습니다.
alice_naval_stacking_penalty;$x$ 는 중첩 패널티로 인해 피해가 ?R$val$?W 배 증가했습니다.
alice_construction_cost;건설 비용:
alice_factory_construction_explain_3;구매한 상품 가치: ?Y$x$?W
alice_factory_construction_explain_4;예상 총가격: ?Y$x$?W
alice_factory_construction_explain_5;진행도: ?Y$x$?W
ledger_inflation_adjusted_gdp;GDP(물가상승 조정)
ledger_inflation_adjusted_gdp_per_capita;백만 명당 평균 GDP(물가상승 조정)
province_victory_points;승점으로, 전시 점령 점수 계산 시 이 주가 다른 주에 비해 가지는 가치를 나타냅니다.
province_victory_points_base;?G+1 기본 점수?W
province_victory_points_nb;?G+$X$ 해군기지 등급 점수?W
province_victory_points_fcount;?G+$X$ 공장 점수?W
province_victory_points_fortsize;?G+$X$ 요새 점수?W
province_victory_points_mainlandcore;?Gx2 비해외 점수?W
province_victory_points_capital;?Gx3 수도 점수?W
per_nation;국가별
labour_price;임금
labour_price_10k;1만 명당 평균 임금
supply_demand_ratio;수급 비율
alice_labor_no_education;비숙련
alice_labor_basic_education;숙련
alice_labor_high_education;전문가
alice_labor_guild;길드
alice_labor_high_education_and_accepted;동포 전문가
alice_invalid_value;잘못된 값
alice_wages_tab;임금
alice_trade_volume_tab;무역량
economy_scene_embargo;금수!
embargo_reason_war;전쟁
embargo_reason_origin_embargo;원산국이 금수 선언
embargo_reason_origin_join_embargo;원산국이 금수에 참여
embargo_reason_target_embargo;대상국이 금수 선언
embargo_reason_target_join_embargo;대상국이 금수에 참여
alice_no_start_game_invalid_nations;플레이어가 존재하지 않는 국가를 플레이 중일 때는 게임을 시작할 수 없습니다
alice_observer_btn_text;관전
alice_observer_already_observer_tooltip;당신은 이미 관전자입니다.
open_economy_scene;경제 지표 보기
admin_employment;행정 고용 인원: ?Y$value$?W
PROVINCEVIEW_GOODSINCOME;어제 ?Y$GOODS$?W 를 ?Y$x$?W 판매하여 ?Y$VALUE$?W
employment_type_no_education;고용 유형: ?Y무교육?W
employment_type_basic_education;고용 유형: ?Y기본 교육?W
employment_type_high_education_and_accepted;고용 유형: ?Y공인된 고등 교육?W
employment_type_high_education;고용 유형: ?Y고등 교육?W
alice_trade_attractiveness;무역로 매력도
trade_center;무역 중심지
trade_center_desc;무역 중심지는 시장 내부와 국제 시장 사이의 무역을 관리하며, 필요한 재고를 구매하고 잉여 상품을 이웃에게 판매합니다.
trade_center_employment;무역 중심지 고용 인원: ?Y$value$?W
trade_centre_max_throughput;최대 물동량: ?Y$value$?W
local_admin;지방 행정
capital_admin;수도 행정
local_admin_spending;예상 비용: ?Y$value$?W
target_employment;목표 고용: ?Y$value$?W
employment_satisfaction;고용 만족도: ?Y$value$?W
wage;임금: ?Y$value$?W
local_admin_efficiency;지방 행정부는 수도보다 ?Y$value$?W 낮습니다.
tax_collection_rate;징세율: ?Y$value$?W
poor_potential;빈곤층 잠재 세수: ?Y$value$?W
mid_potential;중산층 잠재 세수: ?Y$value$?W
rich_potential;부유층 잠재 세수: ?Y$value$?W
poor_taxes;빈곤층 실제 세율: ?Y$value$?W
mid_taxes;중산층 실제 세율: ?Y$value$?W
rich_taxes;부유층 실제 세율: ?Y$value$?W
factory_employment;공장 고용 인원: ?Y$val$
factory_stats_1;현재 생산 규모: ?Y$val$?W
factory_stats_2;목표 생산 규모: ?Y$val$?W
factory_stats_3;어제 ?Y$val$ $good$?W 를 생산하고 ?Y$x$?W 에 판매했습니다
alice_building_modifier;건물이 다음 효과를 생성합니다:
alice_new_building_modifier;건설 시 다음 효과를 생성합니다:
alice_building_level;건물 등급: ?Y$val$?W
alice_building_conditions;건물에는 다음 조건이 필요합니다:
trade_centre_trade_volume;무역량: ?Y$val$
trade_centre_trade_value;무역 가치: ?Y$val$
trade_centre_imports_volume;수입량: ?Y$val$
trade_centre_imports_value;수입 가치: ?Y$val$
trade_centre_exports_volume;수출량: ?Y$val$
trade_centre_exports_value;수출 가치: ?Y$val$
