PROV1;سيتكا
PROV2339;أسونسيون
PROV2340;بيلار
PROV2341;التجسد
PROV2342;حي سان بيدرو
PROV2343;كونسيبسيون
PROV2344;مونتيفيديو
PROV2345;بايساندو
PROV2346;تاكواريمبو
PROV2347;ميلو
PROV2348;بوينس آيرس
PROV2349;جونين
PROV2350;ازول
PROV2351;لابلاتا
PROV2352;مار ديل بلاتا
PROV2353;ترينك لاوكوين
PROV2354;باهيا بلانكا
PROV2355;كارمن
PROV2356;كورينتس
PROV2357;كوروزو كواتيا
PROV2358;سانتو توماس
PROV2359;كولون
PROV2360;بارانا
PROV2361;سانكتي سبيريتو
PROV2362;الاسترداد
PROV2363;روزاريو
PROV2364;المقاومة
PROV2365;فيلا أنجيلا
PROV2366;فورموزا
PROV2367;Xolotas
PROV2368;سالتا
PROV2369;خوخوي
PROV2370;كوشينوكا
PROV2371;إكيا
PROV2372;ريفادافيا
PROV2373;توكومان
PROV2374;كاتاماركا
PROV2375;فينشينا
PROV2376;سانتياغو ديل استيرو
PROV2377;أناتويا
PROV2378;البريد في
PROV2379;قرطبة الأرجنتين
PROV2380;فيلا نويفا
PROV2381;ريو كوارتو
PROV2382;رينانكو
PROV2383;سان لويس
PROV2384;مرسيدس
PROV2385;لاريوخا
PROV2386;سانتا ريتا
PROV2387;سان خوان
PROV2388;كالينجاستا
PROV2389;ميندوزا
PROV2390;سان رافائيل
PROV2391;نيوكوين
PROV2392;فيدما
PROV2393;تيلين
PROV2394;باريلوتشي
PROV2395;كوراكو
PROV2396;روسون
PROV2397;إسكويل
PROV2398;بويرتو ديسيدو
PROV2399;ريو جاليجوس
PROV2400;ريو غراندي
PROV2401;مارابيتاناس
PROV2402;ماناوس
PROV2403;كاتشويرا
PROV2404;تيفي
PROV2405;بوربا
PROV2406;جزر كوكوس
PROV2407;تاباتينجا
PROV2408;اوريكسيمينا
PROV2409;سانت فنسنت
PROV2410;بيليم
PROV2411;سانتاريم
PROV2412;أوبيدوس
PROV2413;مارابا
PROV2414;أمابا
PROV2415;ماكابا
PROV2416;دورادوس
PROV2417;فيلا بيلا
PROV2418;كويابا
PROV2419;كورومبا
PROV2420;إجواتيمي
PROV2421;فيلا بوا
PROV2422;اجانجا
PROV2423;بالماس
PROV2424;ساو لويس
PROV2425;تشابادا
PROV2426;تيريسينا
PROV2427;أويراس
PROV2428;بارايبا
PROV2429;فورتاليزا
PROV2430;كراتو
PROV2431;ناتال
PROV2432;ريسيفي
PROV2433;كابروبو
PROV2434;ماسيو
PROV2435;أراكاجو
PROV2436;سلفادور دي باهيا
PROV2437;جوازيرو
PROV2438;فيلا دو بارا
PROV2439;بورتو سيجورو
PROV2440;فيتوريا دا كونكويستا
PROV2441;أورو بريتو
PROV2442;سابارا
PROV2443;جانواريا
PROV2444;باراكاتو
PROV2445;أوبيرابا
PROV2446;ساو جواو ديل ري
PROV2447;ريو دي جانيرو
PROV2448;كامبوس
PROV2449;فيتوريا
PROV2450;ساو باولو
PROV2451;سانتوس
PROV2452;كامبيناس
PROV2453;أسيس
PROV2454;فيجي
PROV2455;إغوابي
PROV2456;أراراكورا
PROV2457;كوريتيبا
PROV2458;غوارابوافا
PROV2459;لاجيس
PROV2460;كاسترو
PROV2461;ديسيرو
PROV2462;ساو ميغيل
PROV2463;بورتو أليغري
PROV2464;بيلوتاس
PROV2465;باسو فوندو
PROV2466;سانتا ماريا
PROV2467;ألغريت
PROV2468;سيدني
PROV2469;نيوكاسل
PROV2470;بورت ماكواري
PROV2471;أوفير
PROV2472;عدن
PROV2473;واجا واجا
PROV2474;موري
PROV2475;بروكين هيل
PROV2476;ملبورن
PROV2477;وارمبول
PROV2478;بالارات
PROV2479;أُوكَازيُون
PROV2480;بيتشوورث
PROV2481;سوان هيل
PROV2482;تسمانيا
PROV2483;بريسبان
PROV2484;جلادستون
PROV2485;كليرمونت
PROV2486;توومبا
PROV2487;تاونزفيل
PROV2488;كوكتاون
PROV2489;Longreach
PROV2490;شارلفيل
PROV2491;اديلايد
PROV2492;بورت لينكولن
PROV2493;رداء - روب
PROV2494;ميناء أوغوستا
PROV2495;أودناداتا
PROV2496;تاركولا
PROV2497;بيرث
PROV2498;كوجونوب
PROV2499;جيرالدتون
PROV2500;كالغورلي
PROV2501;بروم
PROV2502;دامبير
PROV2503;ويلونا
PROV2504;الترجي
PROV2505;بالمرستون
PROV2506;تينانت كريك
PROV2507;أليس سبرينغز
PROV2508;جزيرة نورفولك
PROV2509;أوكلاند
PROV2510;نيو بلايموث
PROV2511;نابير
PROV2512;ويلينغتون
PROV2513;دنيدن
PROV2514;هوكيتيكا
PROV2515;كرايستشيرش
PROV2516;نيلسون
PROV2517;غوام
PROV2518;بالاو
PROV2519;ياب
PROV2520;تافيوني
PROV2521;سايبان
PROV2522;جزر مارشال
PROV2523;ناورو
PROV2524;استيقظ
PROV2525;ماركوس
PROV2526;تدمر
PROV2527;جزر جيلبرت
PROV2528;مرفئ مويسبي
PROV2529;كيريما
PROV2530;لاي
PROV2531;مادانج
PROV2532;فورتي ساو يواكيم
PROV2533;تارغو موريس
PROV2534;جزر سليمان
PROV2535;هبريدس الجديدة
PROV2536;جزر سانتا كروز
PROV2537;بريطانيا الجديدة
PROV2538;نوفي ساد
PROV2539;بوغانفيل
PROV2540;تونغا
PROV2541;جزر إليس
PROV2542;واليس وفوتونا
PROV2543;آبيا
PROV2544;باجو باجو
PROV2545;راروتونغا
PROV2546;تونجاريفا
PROV2547;توكيلاو
PROV2548;نيوي
PROV2549;تاراواكا
PROV2550;فورتي دو برينسيبي
PROV2551;ماركيساس
PROV2552;بيتكيرن
PROV2553;تواموتس
PROV2554;بوساداس
PROV2555;أوغستا
PROV2556;أشفيل
PROV2557;إسبجيرج
PROV2558;دي آر
PROV2559;سوهاج
PROV2560;دارمشتات
PROV2561;سيجبورج
PROV2562;تاينان
PROV2563;آسفي
PROV2564;سليمة
PROV2565;سيبو
PROV2566;اجارتالا
PROV2567;جايتا
PROV2568;لوغانو
PROV2569;نيكسيك
PROV2570;بوفيه
PROV2571;تاورانجا
PROV2572;نان
PROV2573;مبول
PROV2574;موتشودي
PROV2575;ايبوه
PROV2576;ناتونا
PROV2577;بلييفليا
PROV2578;تاكنا
PROV2579;شاحنة
PROV2580;ستارا لادوجا
PROV2581;ماتاكا
PROV2582;كوتور
PROV2583;سيتينيي
PROV2584;بيلسكو
PROV2585;ماتان في دور سارة
PROV2586;الأحساء
PROV2587;كولا
PROV2588;أونيجا
PROV2589;شوينا
PROV2590;أوغولنوي
PROV2591;هولستينسبورج
PROV2592;أونغافا
PROV2593;فورت جورج
PROV2594;ورطة
PROV2595;نونافوت
PROV2596;قرار الحصن
PROV2597;فورت الزنجفر
PROV2598;فورت ليارد
PROV2599;فيربانكس
PROV2600;التاميرا
PROV2601;الصحراء الرملية
PROV2602;رويبورن
PROV2603;تانامي
PROV2604;نورمانتون
PROV2605;صحراء جيبسون
PROV2606;زامبيل
PROV2607;لوب نور
PROV2608;خاتجال
PROV2609;عروان
PROV2610;أورالسك
PROV2611;تورغاي
PROV2612;أكتاش
PROV2613;نيدا
PROV2614;موردياخا
PROV2615;كراسنوسيلكوب
PROV2616;تيليشيكي
PROV2617;ساغاليان علا
PROV2618;تالايا
PROV2619;آبي
PROV2620;سياسير
PROV2621;سريدنيكوليمسك
PROV2622;ماركوفو
PROV2623;جزيرة ميدواي
PROV2624;لونغو
PROV2625;بورت هوب سيمبسون
PROV2626;بورت هاريسون
PROV2627;فورت شيمو
PROV2628;أتوابيسكات
PROV2629;نهر بيتون
PROV2630;قرطبة
PROV2631;أوناليكيت
PROV2632;أماساليك
PROV2633;أوسورا
PROV2634;راسفيت
PROV2635;كاريبا
PROV2636;إيجيدسميندي
PROV2637;نوفو مارينسك
PROV2638;أومسوكشان
PROV2639;سوسومان
PROV2640;زيريانكا
PROV2641;ايان
PROV2642;أوست نيرا
PROV2643;هونو
PROV2644;أوليكمينسك
PROV2645;تشيلشي
PROV2646;أسيس إيجان
PROV2647;يانسك
PROV2648;ياكوتسك
PROV2649;زيغانسك
PROV2650;نيوربا
PROV2651;أودانتشني
PROV2652;كولار
PROV2653;ساسكيلا
PROV2654;خاتانغا
PROV2655;تورا
PROV2656;تايمبا
PROV2657;سفيتلوجورسك
PROV2658;خيتا
PROV2659;نابالكوفو
PROV2660;بيرييزوفكا
PROV2661;نيجنكوليمسك
PROV2662;تشيرسكي
PROV2663;كامينسكوي
PROV2664;أويوتوني
PROV2665;تشوكورداخ
PROV2666;بيفيك
PROV2667;بولون
PROV2668;فيرخويانسك
PROV2669;أمجا
PROV2670;تيكسي
PROV2671;زيليندا
PROV2672;بوكروفسك
PROV2673;أولينيوك
PROV2674;إيسي
PROV2675;ييكوندا
PROV2676;كيرينسك
PROV2677;دوتكون
PROV2678;بولجان
PROV2679;خوفد
PROV2680;دودينكا
PROV2681;كيكياكي
PROV2682;أكساركا
PROV2683;بكار
PROV2684;يار بيع
PROV2685;موزي
PROV2686;هو
PROV2687;أديرما
PROV2688;إنتا
PROV2689;مولدا
PROV2690;فيرخني أوفالي
PROV2691;فورجوفو
PROV2692;كوستينو
PROV2693;أوشامي
PROV2694;فانافارا
PROV2695;مختويا
PROV2696;الدان
PROV2697;ماجداجاشي
PROV2698;سلافغورود
PROV2699;إزما
PROV2700;أوسوجورسك
PROV2701;سوريندا
PROV2702;ارالسك
PROV3246;جان ماين
PROV2703;فانيرن
PROV2704;فاتيرن
PROV2705;خليج بوثنيا
PROV2706;أولاندز هاف
PROV2707;خليج فنلندا
PROV2708;بحر البلطيق الغربي
PROV2709;خليج ريغا
PROV2710;جنوب بحر البلطيق
PROV2711;أوريسند
PROV2712;كاتيغات
PROV2713;بيبسي جارف
PROV2714;لادوجا
PROV2715;أونيجا
PROV2716;البحر الأبيض
PROV2717;بحر لوفوتين
PROV2718;بحر النرويج الشمالي
PROV2719;بحر النرويج الجنوبي
PROV2720;سكاجيراك
PROV2721;هيلجولاند بايت
PROV2722;ساحل هولندا
PROV2723;بنك دوجر
PROV2724;مضيق دوفر
PROV2725;القناة
PROV2726;نهاية الأراضي
PROV2727;ساحل بريتاني
PROV2728;خليج كويبيرون
PROV2729;كوت دارجنت
PROV2730;خليج بسكاي
PROV2731;بحر كانتابريا
PROV2732;تاين
PROV2733;فيرث أوف فورث
PROV2734;بحر الشمال
PROV2735;موراي فيرث
PROV2736;قناة الشمال
PROV2737;البحر الأيرلندي
PROV2738;قناة سانت جورج
PROV2739;خليج دونيجال
PROV2740;خليج دينجل
PROV2741;بحر السيلاتك
PROV2742;النهج الغربي
PROV2743;خليج فينيستر
PROV2744;البحر اللوسيتاني
PROV2745;خليج قادس
PROV2746;مضيق جبل طارق
PROV2747;خليج ألميريا
PROV2748;خليج فالنسيا
PROV2749;خليج الأسد
PROV2750;كوت دازور
PROV2751;البحر الليغوري
PROV2752;خليج مايوركا
PROV2753;غرب البحر الأبيض المتوسط
PROV2754;الساحل البربري
PROV2755;كيب بون
PROV2756;البحر التيراني
PROV2757;خليج نابولي
PROV2758;خليج قابس
PROV2759;قناة مالطا
PROV2760;مضيق ميسينا
PROV2761;خليج البندقية
PROV2762;البحر الأدرياتيكي
PROV2763;مضيق أوترانتو
PROV2764;خليج تارانتو
PROV2765;البحر الأيوني
PROV2766;خليج سرت
PROV2767;خليج طبرق
PROV2768;خليج الإسكندرية
PROV2769;الساحل الفلسطيني
PROV2770;خليج قبرص
PROV2771;بحر كريت
PROV2772;بحر ايجه
PROV2773;بحر مرمرة
PROV2774;خليج فارنا
PROV2775;خليج أوديسا
PROV2776;بحر آزوف
PROV2777;شرق البحر الأسود
PROV2778;بحيرة بالاتون
PROV2779;بحر قزوين
PROV2780;بحر آرال
PROV2781;خليج السويس
PROV2782;البحر الاحمر
PROV2783;مضيق أوبوك
PROV2784;بال المندب
PROV2785;ساحل ماسكاتي
PROV2786;ساحل ماسكاتي
PROV2787;مضيق هرمز
PROV2788;الخليج الفارسی
PROV2789;خليج السند
PROV2790;خليج جوجارات
PROV2791;جزر لاكويديف
PROV2792;ساحل مالابار
PROV2793;كومورين كيب
PROV2794;ساحل كارمندل
PROV2795;ساحل أوريسا
PROV2796;دلتا نهر الجانج
PROV2797;خليج أكياب
PROV2798;دلتا إيراوادي
PROV2799;بحر اندامان
PROV2800;أرخبيل ميرغي
PROV2801;مضيق ملقا
PROV2802;جزر نيكوبار
PROV2803;ساحل اتجة
PROV2804;ساحل سومطرة
PROV2805;مضيق سوندا
PROV2806;ساحل جاوة
PROV2807;ساحل سورابايا
PROV2808;مضيق لومبوك
PROV2809;بحر تيمور
PROV2810;جزر الملوك
PROV2811;بحر جافا
PROV2812;مضيق ماكاسار
PROV2813;مضيق كاريماتا
PROV2814;مضيق جوهور
PROV2815;بحر الملايو
PROV2816;ساحل ساراواك
PROV2817;دلتا نهر ميكونغ
PROV2818;خليج سيام
PROV2819;خليج كام رانه
PROV2820;بحر جنوب الصين
PROV2821;ساحل بروناي
PROV2822;ساحل أنام
PROV2823;خليج تونكين
PROV2824;خليج قوانغتشو
PROV2825;مضيق تايوان
PROV2826;دلتا يانغ تسي
PROV2827;البحر الأصفر
PROV2828;خليج كوريا
PROV2829;بحر كوريا الجنوبية
PROV2830;بحر كوريا الشمالية
PROV2831;ساحل أولغا
PROV2832;مضيق التتار
PROV2833;دلتا أمور
PROV2834;خليج أيان
PROV2835;خليج كومينسكوي
PROV2836;ساحل كامتشاتسكا
PROV2837;بحر أوخوتسك
PROV2838;ساحل سخالين
PROV2839;مضيق الصويا
PROV2840;مضيق تسوغارو
PROV2841;بحر اليابان
PROV2842;بحر أماكوسا
PROV2843;سيتو البحر الداخلي
PROV2844;بحر توكاي
PROV2845;جزر ريوكيو
PROV2846;مضيق لوزون
PROV2847;جزر باراسيل
PROV2848;خليج مانيلا
PROV2849;ساحل لوزون
PROV2850;خليج ليتي
PROV2851;بحر سولو
PROV2852;بحر سيليبس
PROV2853;بحر تيرنات
PROV2854;بحر باندا
PROV2855;بحر الفلبين
PROV2856;جزر بالاو
PROV2857;خليج بياك
PROV2858;مضيق فيليان
PROV2859;جزر تروبريان
PROV2860;مضيق توريس
PROV2861;بحر عرفوام
PROV2862;خليج كوليبوم
PROV2863;خليج كاربنتاريا
PROV2864;الحاجز المرجاني العظيم
PROV2865;خليج الجدي
PROV2866;كيب هاو
PROV2867;مضيق الباس
PROV2868;جزيرة الكنغر
PROV2869;الخليج الأسترالي العظيم
PROV2870;كيب ليوين
PROV2871;خليج القرش
PROV2872;شمال غرب كيب
PROV2873;صوت الملك
PROV2874;هضبة تسمان
PROV2875;توجي ريدج
PROV2876;مضيق كوك
PROV2877;شمال بحر تسمان
PROV2878;وداع الرأس
PROV2879;ساحل نيوزيلندا
PROV2880;بحر تسمان الجنوبي
PROV2881;كانتربري بايت
PROV2882;بحر كاليدونيا الجديدة
PROV2883;بحر المرجان
PROV2884;بحر جيلبرت
PROV2885;بحر سليمان
PROV2886;جزيرة ناورو
PROV2887;بحر ميلانيزيا
PROV2888;بحر ميكرونيزيا
PROV2889;الخندق الفلبيني
PROV2890;حوض الفلبين
PROV2891;بحر تينيان
PROV2892;بحر ايو جيما
PROV2893;محيط تايهي
PROV2894;الكوريل
PROV2895;خليج أوكا
PROV2896;خليج أولجوت
PROV2897;خليج أنادير
PROV2898;سهول يكاترينا
PROV2899;القرن الافريقي
PROV2900;ساحل الفلفل
PROV2901;مضيق زنجبار
PROV2902;قناة موزمبيق
PROV2903;خليج دييغو سواريز
PROV2904;بحر العرب الغربي
PROV2905;شرق البحر العربي
PROV2906;سيشيل
PROV2907;ساحل تاماتاف
PROV2908;الماسكاريني
PROV2909;خليج زامبيزي
PROV2910;ساحل ناتال
PROV2911;ساحل ترانسكاي
PROV2912;ساحل سيسكي
PROV2913;رأس الرجاء الصالح
PROV2914;ساحل ناميبيا
PROV2915;ساحل أنغولا
PROV2916;خليج الكونغو
PROV2917;ساحل الكاميرون
PROV2918;خليج بنين
PROV2919;الساحل الذهبي
PROV2920;ساحل العاج
PROV2921;ساحل غينيا
PROV2922;ساحل سينغامبيا
PROV2923;الساحل الموريتاني
PROV2924;بحر الكناري
PROV2925;ساحل المغرب
PROV2926;بحر جان ماين
PROV2927;بحر سبيتزبيرج
PROV2928;البحر الأيسلندي
PROV2929;مضيق شيتلاند
PROV2930;ساحل أيسلندا
PROV2931;شمال شرق المحيط الأطلسي
PROV2932;روكال
PROV2933;مضيق الدنمارك
PROV2934;الساحل الشرقي لجرينلاند
PROV2935;الساحل الغربي لجرينلاند
PROV2936;مضيق لابرادور
PROV2937;خليج بافن
PROV2938;مضيق هدسون
PROV2939;جيمس باي
PROV2940;خليج هدسون الغربي
PROV2941;شرق خليج هدسون
PROV2942;حوض فوكس
PROV2943;خليج سانت لورانس
PROV2944;مضيق كابوت
PROV2945;خليج فندي
PROV2946;مضيق جزيرة بيل
PROV2947;فورتشن باي
PROV2948;خليج نوتردام
PROV2949;بحر لابرادور
PROV2950;بحر جرينلاند
PROV2951;جبل هيكالا البحري
PROV2952;خليج ماساتشوستس
PROV2953;منطقة شيسبيكا
PROV2954;كيب هاتيراس
PROV2955;ساحل كارولينا
PROV2956;ساحل فلوريدا
PROV2957;ساحل جزر البهاما
PROV2958;مضيق فلوريدا
PROV2959;خليج أبالاتشي
PROV2960;خليج موبايل
PROV2961;خليج جالفستون
PROV2962;خليج تامبيكو
PROV2963;بحر يوكاتان
PROV2964;خليج المكسيك
PROV2965;قناة يوكاتان
PROV2966;خليج بليز
PROV2967;ساحل البعوض
PROV2968;خليج دارين
PROV2969;قناة جامايكا
PROV2970;منطقة البحر الكاريبي الوسطى
PROV2971;شمال غرب البحر الكاريبي
PROV2972;الخليج الفنزويلي
PROV2973;البحر الفنزويلي
PROV2974;شرق البحر الكاريبي
PROV2975;جزر مهب الريح
PROV2976;جزر الأنتيل الصغرى
PROV2977;بحر تركس وكايكوس
PROV2978;ساحل كوبا
PROV2979;ساحل هيسبانيولا
PROV2980;ساحل غيانا
PROV2981;ساحل أمابا
PROV2982;خليج الأمازون
PROV2983;ساحل البرازيل
PROV2984;ساحل ريسيفي
PROV2985;ساحل بيرنامبوكو
PROV2986;خليج تودوس أوس سانتوس
PROV2987;ريو دي جانيرو
PROV2988;بايا باراناغوا
PROV2989;ريو دي لا بلاتا
PROV2990;باهيا بلانكا
PROV2991;ساحل باتاغونيا
PROV2992;مضيق ماجلان
PROV2993;الساحل الجنوبي لتشيلي
PROV2994;ساحل تشيلي
PROV2995;ساحل أتاكاما
PROV2996;ساحل أنتوفاجاستا
PROV2997;خليج أريكويبا
PROV2998;ساحل بيرو
PROV2999;خليج غواياكيل
PROV3000;ساحل الإكوادور
PROV3001;خليج بنما
PROV3002;خليج كوستاريكا
PROV3003;خليج أكابولكو
PROV3004;خليج مانزانيلا
PROV3005;خليج مازاتلان
PROV3006;خليج كاليفورنيا
PROV3007;ساحل باجا
PROV3008;ساحل كاليفورنيا
PROV3009;جزر سانتا كاتالينا
PROV3010;ساحل ولاية أوريغون
PROV3011;ساحل كولومبيا
PROV3012;مضيق هيكات
PROV3013;خليج ألاسكا
PROV3014;ساحل ألاسكا
PROV3015;خليج كوسكوويم
PROV3016;بنك هاتون
PROV3017;كسر جيبس ​​​​الشرقي
PROV3018;كسر جيبس ​​​​الغربي
PROV3019;الجرف الايبيري
PROV3020;بحر الأزور
PROV3021;الجبال البحرية الزاوية
PROV3022;جبال نيو إنجلاند البحرية
PROV3023;بنك جزيرة سابل
PROV3024;هضبة بليك
PROV3025;بحر برمودا الغربي
PROV3026;شرق بحر برمودا
PROV3027;تيار الكناري
PROV3028;حوض غيانا الشمالي
PROV3029;حوض غيانا
PROV3030;حوض جويانا الجنوبي
PROV3031;نهج الكناري
PROV3032;نهج الرأس الأخضر
PROV3033;حامل الطاولة كروزر
PROV3034;منطقة صدع باراكودا
PROV3035;شرق بحر سارجاسو
PROV3036;وسط بحر سارجاسو
PROV3037;الفجوة الرومانسية
PROV3038;حوض شرق غينيا
PROV3039;حوض غينيا الغربية
PROV3040;البحر الأرجنتيني
PROV3041;صعود الأرجنتين
PROV3042;بنك كورنيت
PROV3043;قناة فيما
PROV3044;حوض جنوب البرازيل
PROV3045;سهل زابيولا
PROV3046;حوض الأرجنتين
PROV3047;هضبة فوكلاند
PROV3048;ساحل جزر فوكلاند
PROV3049;جزر فرناندو دي نورونها
PROV3050;حوض شمال البرازيل
PROV3051;حوض سيراليون
PROV3052;مارتن فاز ريدج
PROV3053;الساحل الغربي للصعود
PROV3054;الساحل الشرقي للصعود
PROV3055;والفيس ريدج
PROV3056;كيب بلين
PROV3057;جزيرة غوف
PROV3058;ساحل تريستان دا كونها
PROV3059;سان مارين غاب
PROV3060;جزر ساندويتش الجنوبية
PROV3061;جزيرة لا يمكن الوصول إليها
PROV3062;جزيرة بوفيه
PROV3063;رأس العواصف
PROV3064;خليج البنغال
PROV3065;شمال خليج البنغال
PROV3066;جنوب خليج البنغال
PROV3067;بحر سيلان
PROV3068;ساحل جزر المالديف
PROV3069;قناة الدرجة الثامنة
PROV3070;صعود مادينجلي
PROV3071;الحوض العربي
PROV3072;قناة درجة ونصف
PROV3073;أرخبيل تشاغوس
PROV3074;حوض كوكوس
PROV3075;خندق سومطرة الجنوبي
PROV3076;ساحل كيلينغز
PROV3077;خندق جافا
PROV3078;جزر الأمير إدوارد
PROV3079;صعود ديل كانو
PROV3080;كيب سانت ماري
PROV3081;جزيرة كروزيت
PROV3082;ماسكارين عادي
PROV3083;جزيرة رودريجويز
PROV3084;حوض جنوب غرب الهند
PROV3085;جزر كيرجولين
PROV3086;جزيرة سانت بول
PROV3087;بروكين ريدج
PROV3088;حوض جنوب أستراليا
PROV3089;منطقة صدع إيجيريا
PROV3090;منطقة أرجو
PROV3091;حوض كوفييه
PROV3092;هضبة والابي
PROV3093;تسعون شرق ريدج
PROV3094;روا رايز
PROV3095;جبال فينينج-ماينز البحرية
PROV3096;حوض وارتون
PROV3097;هضبة كوكوس الشمالية
PROV3098;هضبة كوكوس الجنوبية
PROV3099;جزيرة أمستردام
PROV3100;منطقة صدع ماري سيليست
PROV3101;بحيرة تشاد
PROV3102;بحيرة فيكتوريا
PROV3103;بحيرة تنجانيقا
PROV3104;بحيرة ملاوي
PROV3105;جبل جولدن-دراك البحري
PROV3106;بحيرة بالشاسج
PROV3107;بحيرة بجكال
PROV3108;بحيرة دونجتينج
PROV3109;بحيرة تيتيكاكا
PROV3110;بحيرة نيكاراغوا
PROV3111;حوض سيدنا
PROV3112;بحيرة أونتاريو
PROV3113;بحيرة إيري
PROV3114;بحيرة هورون
PROV3115;بحيرة ميشيغان
PROV3116;بحيرة سوبيريور
PROV3117;بحيرة نيبيجون
PROV3118;بحيرة وينيبيج
PROV3119;كورسكييف جولتش
PROV3120;بنك أورسوفا
PROV3121;سهل نوفارسك
PROV3122;سهول سورفسكيا
PROV3123;يامارا جولتش
PROV3124;حوض شمال غرب المحيط الهادئ
PROV3125;سيفرانس شولز
PROV3126;ساحل جزيرة ماركوس
PROV3127;ساحل جزر ماريانا
PROV3128;شقق ميسديل
PROV3129;قطرة إيزامو
PROV3130;شمال بحر بيرينغ
PROV3131;جنوب بحر بيرينغ
PROV3132;جزر ألوشيان الغربية
PROV3133;جزر بريبيلوف
PROV3134;جزر ألوشيان الشرقية
PROV3135;ممر أوميناك
PROV3136;بحر ألوشيان الغربي
PROV3137;جبل بيكر البحري
PROV3138;سهل ألاسكا
PROV3139;بحر ألوشيان الشرقي
PROV3140;خندق المستكشف
PROV3141;الجبال البحرية بدون قمر
PROV3142;حوض شينوك
PROV3143;حوض أولتشي
PROV3144;حوض جينجو
PROV3145;حوض شينوك
PROV3146;جبل ستانلي البحري
PROV3147;جرف ميندوسينو
PROV3148;كاليفورنيا البحرية
PROV3149;منطقة صدع موراي
PROV3150;ساحل هاواي
PROV3151;جبل أرغو البحري
PROV3152;الموسيقيين الجبال البحرية
PROV3153;ساحل جزيرة ميدواي
PROV3154;كيبلر عادي
PROV3155;جالوا عادي
PROV3156;صعود أوجورمان
PROV3157;ساحل جزر غالاباغوس
PROV3158;سهول لابيرا
PROV3159;ساحل جزر كوك
PROV3160;جزيرة كليبرتون
PROV3161;جبل هندرسون البحري
PROV3162;ماديجيرا ريدج
PROV3163;حوض باور
PROV3164;حوض شمال شرق المحيط الهادئ
PROV3165;مكتشف الجبال البحرية
PROV3166;شقق تاسافولو
PROV3167;قوس هاواي
PROV3168;حوض رادفورد
PROV3169;جزر الخط الشمالي
PROV3170;ساحل جزر المجتمع
PROV3171;حوض بيرو
PROV3172;حوض يوبانكي
PROV3173;سهول سيفيرانس
PROV3174;سهول التاميرا
PROV3175;جزر الخط الجنوبي
PROV3176;حوض وسط المحيط الهادئ
PROV3177;ساحل ساموا
PROV3178;جونستون أتول
PROV3179;ساحل تونغا
PROV3180;ساحل الماركيز
PROV3181;شقق القرار
PROV3182;ساحل تواموتس
PROV3183;تيتوس ريدج
PROV3184;جزر تشاتام
PROV3185;حوض جنوب غرب المحيط الهادئ
PROV3186;لودوفيكو جولتش
PROV3187;ساحل جزيرة بيتكيرن
PROV3188;حوض روجفين
PROV3189;منطقة صدع مينارد
PROV3190;ساحل جزيرة الفصح
PROV3191;ساحل جزر إليس
PROV3192;حوض كاليدونيا الجديدة
PROV3193;جزر خوان فرنانديز
PROV3194;صعود سيلكيرك
PROV3195;سهول كاراسيف
PROV3196;تيمكين عادي
PROV3197;سيروس ريف
PROV3198;سهول هومبولت
PROV3199;شقق فالديفيا
PROV3200;ساحل جورجيا الجنوبية
PROV3201;سهل الأرجنتيني
PROV3202;جبل زابيولا البحري
PROV3203;الساحل الغربي لسانت هيلانة
PROV3204;منطقة كسر مور
PROV3205;سهل ديميرارا الغربي
PROV3206;سهل ديميرارا الشرقي
PROV3207;حوض الرأس الأخضر
PROV3208;ناريس عادي
PROV3209;حوض جزر البهاما
PROV3210;بحر سارجاسو الغربي
PROV3211;نهج برمودا
PROV3212;سهل سيلان
PROV3213;خندق سوندا
PROV3214;خندق سومطرة الشمالية
PROV3215;الحوض الهندي الأوسط
PROV3216;حوض فيجي
PROV3217;شقق العزاء
PROV3218;ممر بيساروس
PROV3219;ساحل فيجي
PROV3220;ساحل جزيرة نورفولك
PROV3221;ساحل جزر جيلبرت
PROV3222;ماينو ريف
PROV3223;بنك توسي
PROV3224;بحيرة تانا
PROV3225;بحيرة الملح الكبرى
PROV3226;سهل جنوب أستراليا
PROV3227;بحيرة العبيد الكبرى
PROV3228;بحيرة أثاباسكا
PROV3229;بحيرة الرنة
PROV3230;خليج أوب
PROV3231;بحيرة فان
PROV3232;بحيرة أورميا
PROV3233;إيسيك كول
PROV3234;بحيرة تشينغهاى
PROV3235;بحيرة بويانج
PROV3236;بحيرة رودولف
PROV3237;سهل سوم
PROV3238;بحيرة مويرو
PROV3239;بحيرة شامبلين
PROV3240;بحيرة بوبو
PROV3241;المحيط المتجمد الشمالي
PROV3242;قناة بحر موري
PROV3243;حوض جنوب شرق المحيط الهادئ
PROV3244;ممر جالويت
PROV3245;سهول ماركوف
PROV3247;غرب هاواي
PROV3248;مضيق ماجلان الغربي
