support_for_blank;دعم النص $
tt_can_use_nation;الشروط اللازمة للسماح باستخدام هذا الهدف الحربي:
et_on_add;الآثار المترتبة على إضافة هذا الهدف الحربي إلى الحرب:
et_on_po_accepted;الآثار المترتبة على قبول عرض السلام بهذا الهدف الحربي:
alice_no_possible_units;لا يمكن بناء وحدات محتملة، ولا توجد وحدات قيد الإنشاء.
alice_debt_spending;تمكين/تعطيل الإنفاق على الديون
alice_loan_size;الحد الأقصى الحالي لقرضنا هو $x$. الديون الأكبر من ذلك ستؤدي إلى إفلاسنا
alice_currently_bankrupt;نحن مفلسون (حتى $x$)
alice_no_loans_possible;نحن حاليا غير قادرين على الحصول على القروض
alice_rf_demands_enforced_trigger;ولن ينفذ المتمردون مطالبهم إلا إذا:
alice_rf_demands_enforced_effect;وبمجرد أن ينفذ المتمردون مطالبهم فسوف يطبقون التأثير التالي:
alice_rf_siege_won_trigger;إذا فاز أحد المتمردين بالحصار، يتم التحقق مما يلي، على سبيل المثال في عاصمتك $x$:
alice_rf_siege_won_effect;وإذا كان كل ما سبق صحيحا، تنطبق التأثيرات التالية، على سبيل المثال في رأس مالك $x$:
may_month_name;يمكن
alice_ca_cant_influence;نحن حاليا غير قادرين على زيادة أو تقليل رأي الدول الأخرى في الوقت الراهن
alice_gp_status_regain_expiration;إذا لم نصبح في المرتبة ?Y$x$?W أو أعلى، فسوف نفقد ?Ygreat power?W الحالة بحلول ?Y$date?W!
alice_mil_decay_description;الاضمحلال الطبيعي؟G-$x$
alice_con_decay_description;الاضمحلال الطبيعي؟R-$x$
x_from_y;$x$ من $y$
reinforce_rate;يمكن لهذا الفوج تعزيز ما يصل إلى $x$ من الجنود شهريًا.
reinforce_rate_none;لا يمكن تعزيز هذا الفوج حاليًا.
alice_domestic_investment_button;"الاستثمار في المشاريع الفردية أمر مهمل، استخدم شريط التمرير ""الاستثمار المحلي"" على شاشة الميزانية بدلاً من ذلك"
alice_domestic_investment_pops;لدينا رأسماليون $x$ يمكننا تقديم تبرعات سخية لهم بشكل غير مباشر
alice_domestic_investment_needs;إنهم يحتاجون إلى $ x $ كل يوم لإرضاء أسلوب حياتهم الفاخر
alice_budget_scaled_inc;الدخل: ؟G$value$
alice_budget_scaled_1;ضريبة الفقراء: ؟G$value$
alice_budget_scaled_2;الضريبة المتوسطة: ؟G$value$
alice_budget_scaled_3;الضريبة الغنية: ؟G$value$
alice_budget_scaled_4;التعريفات: ?G$value$
alice_budget_scaled_exp;النفقات: ؟R$قيمة$
alice_budget_scaled_5;صيانة الجيش:؟ قيمة $ R $
alice_budget_scaled_6;صيانة البحرية:؟R$قيمة$
alice_budget_scaled_7;البناء: ؟R$قيمة$
alice_budget_scaled_8;التعليم: ?R$قيمة$
alice_budget_scaled_9;الإدارة: ؟R$قيمة$
alice_budget_scaled_10;الإنفاق الاجتماعي: ?R$value$
alice_budget_scaled_11;الإنفاق العسكري: ?R$value$
alice_budget_scaled_12;الاستثمارات المحلية: ?R$value$
alice_budget_scaled_13;الإنفاق في الخارج: ?R$value$
alice_budget_scaled_14;ملء المخزون: ?R$value$
alice_budget_scaled_15;إعانات الحرب: ?R$value$
alice_budget_scaled_16;المصلحة الدبلوماسية:؟G$value$
alice_budget_scaled_17;إنتاج الذهب: ؟G$value$
alice_budget_scaled_net;صافي الإيرادات: ?Y$value$
alice_budget_setting_percent;تم تعيينه عند $perc$.
alice_spending_land_construction;بناء الأراضي في $name$: ?R$cost$?W
alice_spending_naval_construction;البناء البحري في $name$: ?R$cost$?W
alice_spending_building_construction;تشييد المباني في $name$: ?R$cost$?W
alice_spending_factory_construction;بناء المصنع في $name$: ?R$cost$?W
alice_spending_unit;إجمالي الإنفاق على هذه الوحدة بـ $name$: ?R$cost$?W
alice_spending_unit_1;إجمالي الإنفاق على هذه الوحدة: ?R$cost$?W
alice_spending_total;?Yالإجمالي المنفق: ?W
alice_spending_commodity;?R$cost$?W - يحتاج إلى $need$ من $name$ ($val$)
alice_spending_commodity_2;?R$cost$?W - شراء $need$ من $name$ (بسعر $val$ x وحدة). التقدم: $x$/$y$
alice_recommended_build;?يوصى ببناء هذا المصنع؟د
alice_factory_bonus;سنتلقى مكافأة قدرها ?Y$x$?W إذا:
alice_factory_inputs;المدخلات المطلوبة:
alice_factory_input_item;?R$cost$?W - يحتاج إلى $need$ من $name$ ($val$)
alice_factory_base_workforce;القوى العاملة الأساسية ?Y$x$?W
alice_factory_total_bonus;هذا المبلغ إلى حوالي ?Y$x$?W
alice_slider_controls;?YLeft-Click?W للزيادة بمقدار ?Y$value$?W\n?YSHIFT-النقر الأيسر?W للزيادة بمقدار ?Y$x$?W\n?YSHIFT-النقر بزر الماوس الأيمن?W لزيادة إلى الحد الأقصى
alice_slider_controls_2;?YLeft-Click?W للتقليل بمقدار ?Y$value$?W\n?YSHIFT-النقر الأيسر?W للتناقص بمقدار ?Y$x$?W\n?YSHIFT-النقر بزر الماوس الأيمن?W للتناقص إلى الحد الأدنى
explain_colonial_points;القوى الثانوية والعظمى تراكم النقاط الاستعمارية.
alice_lobby_back;العودة إلى الردهة
alice_lobby_back_tt_1;أنت بالفعل في الردهة اللعينة
alice_lobby_back_tt_2;يمكن للمضيف فقط العودة إلى الردهة
reopen_with_tab;يمكنك إعادة فتح هذه النافذة باستخدام YTAB؟W
alice_topbar_tab_1;فتح أو إغلاق علامة التبويب هذه
alice_topbar_tab_2;افتح أو أغلق علامة تبويب السكان
colonial_points_from_technology;من التقنيات:
colonial_points_from_naval_bases;من القواعد البحرية:
colonial_points_from_ships;من السفن:
used_colonial_maintenance;الحفاظ على المستعمرات الموجودة:
topbar_pause_speed;توقف اللعبة مؤقتًا، انقر مرة أخرى لإلغاء الإيقاف المؤقت
att_call_will_accept;سوف ينضم $x$ إلى حربك
att_call_will_decline;لن ينضم $x$ إلى حربك
att_call_is_human;قد ينضم $x$ إلى حربك
att_call_no_allies;ليس لديك أي حلفاء!
domestic_investment_label;الاستثمار المحلي:
modifier_min_domestic_investment;الحد الأدنى لمعدل الاستثمار المحلي
modifier_max_domestic_investment;الحد الأقصى لمعدل الاستثمار المحلي
mouse_left_click_mode_label;انقر فوق تعليق الإصدار
alice_supply_limit_desc;حد العرض: $x$
alice_factory_worker_1;العاملين: ?G$x$?W
alice_factory_worker_2;عاطل عن العمل: ?R$x$?W
alice_rgo_unemployment_country_alert;الولايات التالية لديها منظمات إقليمية عاطلة عن العمل:
pop_promote_info_on_sel_2;$val$ المتوقع تغيير $who$ في $where$ خلال الشهر المقبل.
alice_readme;?مرحبًا بك في Project Alice!?W\nProject Alice هو محاكاة (وليس محاكاة!) للعبة الفيديو المفضلة لديك من العصر الفيكتوري، وبعبارة أخرى، نقوم بتعديل بعض الآليات لتسهيل فهمها للاعبين الجدد، بينما نقوم أيضًا بتعديلها جعل العالم أكثر ديناميكية وترفيهية، وإصلاح الأخطاء القديمة (كما هو الحال في الأزمات) وتنفيذ ميزات جديدة لجودة الحياة.\n?Gميزات جديدة!?W\n?YGlobe?W: ?Gأحبها?W من قبل الكثيرين, ?مكروه? بالنسبة للبعض، قم بإيقاف تشغيله إذا كان ذلك يزعجك!\n?YTech queue:?W SHIFT-انقر بزر الماوس الأيمن لإضافة تقنيات إلى قائمة انتظار التكنولوجيا! (انقر بزر الماوس الأيمن لإلغاء القائمة)\n?Yالاستثمار المحلي:?W بدلاً من الاستثمار في مشاريع فردية، افعل ذلك دفعة واحدة\n?Yالأداء:?W تكون علامات التجزئة في الثانية (وليس FPS) أسرع بـ 10 مرات على الأقل\n? YLinter:?W احصل على أخطاء التغطية والتحذيرات في تعديلاتك، واكتشف الأخطاء والأخطاء المطبعية بسهولة\n?YMacro builder:?W قم ببناء وحدات بتركيبات مختلفة باستخدام منشئ الماكرو الخاص بنا\n?أوضاع الخرائط الجديدة Y11:?W الدين، الحصن، التوظيف، إلخ\n?Yالإنشاء في البلد بأكمله:?W SHIFT انقر بزر الماوس الأيمن للإنشاء في البلد بأكمله!\n?GControls:?W\n?YTAB?W: فتح نافذة الدردشة\n?YESC?W: فتح القائمة الرئيسية و قائمة الإعدادات\n?YTilde (`)?W أو ?YTilde (~)?W: فتح وحدة التحكم\n?Gاستمتع باللعبة! =^ث^=?د
alice_nf_controls;?Yانقر بزر الماوس الأيسر?W للتحديد أو الاستبدال\n?Yانقر بزر الماوس الأيمن?W للإزالة
unit_controls_tooltip_1;?Yنقر بزر الماوس الأيسر?W تحديد (إلغاء تحديد كل شيء آخر)\n?YSHIFT-نقر بزر الماوس الأيسر?W إضافة إلى التحديد
unit_controls_tooltip_2;?Yانقر بزر الماوس الأيمن على المقاطعة؟W التراجع الجزئي (؟Gcycling/التناوب؟W) إلى المقاطعة
unit_control_group_tooltip;اضغط على YCTRL-1?W حتى YCTRL-9?W لتعيين/إلغاء تعيين هذه الوحدة إلى مجموعة تحكم، والتي يمكنك بعد ذلك الضغط على ?Y1?W حتى ?Y9?W للاختيار
console_button_tooltip;افتح وحدة التحكم بالأوامر
demobilize;تسريح
mobilize;تعبئة
alice_cb_creation_detail_none;الرجاء تحديد سبب للحرب لبدء التصنيع ضد $country$.
alice_cb_creation_detail;يمكننا اختلاق سبب للحرب ضد $country$ بسبب ?Y$type$?W. قد تستغرق هذه العملية تقريبًا حوالي ?Y$days$?W، والتكاليف المحتملة الناتجة عن اكتشافها ستمنحنا العار.R$badboy$?W.
alice_mob_controls;?Yانقر بزر الماوس الأيمن?W لإعادة التعبئة
alice_mw_create_1;أضف عام
alice_mw_create_2;أضف الأدميرال
alice_mw_create_lpb;سيتم استخدام نقاط YLeadership W تلقائيًا لإنشاء جنرالات أو أميرالات عند الوصول إلى الحد الأقصى
alice_mw_create_lp;نحن بحاجة إلى ?R$x$?W؟نقاط القيادة؟W لإضافتها
alice_mw_controls_1;?Yانقر بزر الماوس الأيمن?W إنشاء ?Gall?W ممكن كجنرالات
alice_mw_controls_2;?Yانقر بزر الماوس الأيمن?W قم بإنشاء ?Gall?W ممكن كأميرال
alice_daily_leadership_tt;يوفر $poptype$ نقاط قيادة ?G$value$?W (?Y$fraction$?W من السكان، ?Y$optimal$?W هو الأمثل). سيتم إنفاق نقاط القيادة الإضافية تلقائيًا على إنشاء جنرالات جدد.
unit_current_supply;تلقت هذه الوحدة ?Y$val$%?W من الإمدادات المطلوبة في اليوم الأخير.\nكان المبلغ الذي يمكننا الحصول عليه من استهلاك الإمدادات الحالي لدينا هو:
unit_current_supply_high;$what$: ?Y$val$?W/?Y$value$؟! ?l(?W?G$total$%?W?l أطلب الرضا)
unit_current_supply_mid;$what$: ?Y$val$؟!/?Y$value$؟! ?l(?O$total$%?W?l أطلب الرضا)
unit_current_supply_low;$what$: ?Y$val$؟!/?Y$value$؟! ?l(?R$total$%?W?l أطلب الرضا)
alice_crisis_inactive;لا توجد أزمة نشطة الحالية
alice_crisis_finding_attacker;العثور على مهاجم للأزمة الحالية
alice_crisis_finding_defender;العثور على مدافع للأزمة الحالية
alice_crisis_heating_up;الأزمة تسخن في درجة الحرارة، حاليًا عند ?R$درجة الحرارة$?W
alice_last_crisis;حدثت الأزمة الأخيرة في $date$ (هناك مهلة $time$ شهر بين الأزمات)
alice_crisis_par_1;?المهاجمون?W:
alice_crisis_par_2;?BDefenders?W:
alice_crisis_par_3;?Yفقط مهتم (ليس هناك جانب)?W:
alice_commodity_cprice;السعر الحالي: $x$
alice_commodity_cost;التكلفة: $×$
alice_commodity_eprice;السعر الفعلي: $x$
alice_trade_top_producers;أهم منتجي ?Y$value$?W:
alice_trade_no_producers;هل لا أحد ينتج هذه السلعة؟د
alice_political_party_trigger;متاح فقط من ?Y$date_long_0$?W إلى ?Y$date_long_1$?W، ويلبي المشغل التالي:
alice_political_party_no_trigger;متاح فقط من ?Y$date_long_0$?W إلى ?Y$date_long_1$?W
alice_ai_decision;ستعتمد فرصة الذكاء الاصطناعي في اختيار هذا القرار على:
alice_mobilized_is_ai_controlled;أيًا كانت الوحدات المعبأة، فسيتم التحكم فيها تلقائيًا بواسطة الذكاء الاصطناعي
alice_ai_controlled_unit;تمكين/تعطيل تحكم الذكاء الاصطناعي في هذه الوحدة، ستقوم الوحدة بما يلي:\n- تعزيز الخطوط الأمامية تلقائيًا\n- الحصار تلقائيًا عندما يكون ذلك آمنًا\n- مطاردة المتمردين\n- تشكيل موقع دفاعي ضد الدول التي من المحتمل أن نهاجمها (هذا وفقًا لتقدير الذكاء الاصطناعي، وفي وقت السلم فقط)\nإذا كنت تريد جعل هذه الوحدة تستهدف دولة أو منطقة معينة، فقم أولاً بتحريكها بالقرب من تلك المنطقة أو تلك الدولة، ثم قم بتشغيل التحكم في الذكاء الاصطناعي - لأن الذكاء الاصطناعي سوف يتجاوز جميع أوامرك حتى تقوم بإيقاف تشغيلها مرة أخرى
alice_navy_allocation_tt;مع سفن ?Y$curr$?W، نجمع إجمالي إنتاجية العرض البالغة ?Y$tot$?W، مما يتطلب ?Y$req$?W لأساطيلنا. ملخص تفصيلي لاستهلاك كل أسطول بحري:
alice_navy_allocation_2;$name$: ?Y$value$?W (?Y$perc$?W)
alice_wg_condition_1;ليس لديه الوضع الراهن كمدافع
alice_wg_condition_2;في حرب معنا
alice_wg_condition_3;هدف حربي فريد (ليس نسخة مكررة من هدف حربي آخر)
alice_wg_condition_4;ليس على نفس الجانب مثلنا
alice_wg_condition_5;يرضي محفزات الهدف الحربي
alice_wg_condition_6;كفى شوفينية (يحتاج $need$، وله $value$)
alice_wg_condition_7;هو هدف حربي قابل للبناء
alice_tt_wg_infamy_limit;هل سيتجاوز هذا الهدف الحربي حد العار؟د
alice_wg_usage_trigger;لا يمكن استخدامه إلا في حالة استيفاء المشغل التالي:
province_id;معرف المقاطعة
nation_tag;علامة الأمة
alice_rgo_trade_prod_1;الإنتاج الزراعي RGO: $x$ ($y$)
alice_rgo_trade_prod_2;إنتاج التعدين RGO: $x$ ($y$)
alice_rgo_trade_prod_3;إنتاج شركة RGO لسك العملة: $x$ ($y$)
alice_artisan_trade_prod;الإنتاج الحرفي: $x$ ($y$)
alice_factory_trade_prod;إنتاج المصنع: $x$ ($y$)
alice_all_trade_prod;إجمالي الإنتاج: $x$
alice_interested_in_alliance;(ينطبق فقط على دول الذكاء الاصطناعي) ضع علامة على أننا مهتمون بالتحالف مع هذه الدولة، وسنقبل عروض التحالف على الفور
alice_merge_rally_point_why;تم إهمال نقاط التجمع المدمجة، وسيتم الآن دمج نقاط التجمع تلقائيًا
alice_mvcap_1;ينقل العاصمة إلى هذه المحافظة
alice_mvcap_2;لا توجد أزمة مستمرة
alice_mvcap_3;في سلام
alice_mvcap_4;ليس رأس المال بالفعل
alice_mvcap_5;ليست استعمارية
alice_mvcap_6;في نفس القارة التي يوجد بها رأس المال الحالي
alice_mvcap_7;الثقافة المقبولة المهيمنة
alice_mvcap_8;هذه المقاطعة ليست محاصرة
alice_mvcap_9;العاصمة الحالية ليست محاصرة
alice_mvcap_10;مملوكة لك
alice_mvcap_11;يتم التحكم بها من قبلك
alice_mvcap_12;هو جوهر المالك
alice_pnt_pops;?Yالسكان:؟! $x$
alice_pnt_rpops;?Yالطبقات الغنية:؟! $x$ ($y$)
alice_pnt_mpops;?Yالطبقات الوسطى:؟! $x$ ($y$)
alice_pnt_ppops;?Y الطبقات الفقيرة:؟! $x$ ($y$)
alice_pnt_culture;?الثقافة:؟! $x$
alice_pnt_religion;؟الدين:؟! $x$
alice_pnt_dominant_religion;؟الدين المهيمن:؟! $x$
alice_pnt_dominant_ideology;?الأيديولوجية المهيمنة:؟! $x$
ledger_ppp_gdp;الناتج المحلي الإجمالي (تعادل القوة الشرائية)
ledger_ppp_gdp_per_capita;الناتج المحلي الإجمالي (تعادل القوة الشرائية) لكل مليون شخص
