support_for_blank;$text$ támogatása
alice_spending_commodity_2;?R$cost$?W - $need$ vásárlása $name$ ($érték$ x egységnél). Haladás: $x$/$y$
alice_recommended_build;?GEzt a gyárat ajánlott megépíteni?W
alice_factory_bonus;?Y$x$?W bónuszt kapunk, ha:
alice_factory_inputs;Szükséges bemenetek:
alice_factory_input_item;?R$cost$?W – $need$ szükséges $name$ ($val$)
alice_factory_base_workforce;Alapmunkaerő ?Y$x$?W
alice_factory_total_bonus;Ez körülbelül ?Y$x$?W
alice_slider_controls;?YBal kattintás?W az ?Y$érték$ értékkel történő növeléshez?W\n?YSHIFT-Bal kattintás?W ?Y$x$-val történő növeléshez?W\n?YSHIFT-Jobb-kattintás?W a maximális érték növeléséhez
alice_slider_controls_2;?YBal kattintás?W ?Y$érték$-val csökkentéséhez?W\n?YSHIFT-Bal kattintás?W ?Y$x$-val csökkentéséhez
explain_colonial_points;A másodlagos és nagyhatalmak gyarmati pontokat halmoznak fel.
alice_lobby_back;Vissza az előcsarnokba
alice_lobby_back_tt_1;Már a kibaszott előcsarnokban vagy
alice_lobby_back_tt_2;Csak a házigazda mehet vissza az előcsarnokba
reopen_with_tab;Ezt az ablakot újra megnyithatja az ?YTAB?W segítségével
alice_topbar_tab_1;Nyissa meg vagy zárja be ezt a lapot
alice_topbar_tab_2;Nyissa meg vagy zárja be a népesség lapot
colonial_points_from_technology;A technológiákból:
colonial_points_from_naval_bases;Haditengerészeti bázisokról:
colonial_points_from_ships;Hajókról:
used_colonial_maintenance;A meglévő kolóniák fenntartása:
topbar_pause_speed;Szünetelteti a játékot, kattintson újra a szüneteltetés feloldásához
att_call_will_accept;$x$ csatlakozik a háborúdhoz
att_call_will_decline;$x$ nem csatlakozik a háborúdhoz
att_call_is_human;$x$ csatlakozhat a háborúdhoz
att_call_no_allies;Nincsenek szövetségesei!
domestic_investment_label;Belföldi befektetés:
modifier_min_domestic_investment;Minimális hazai beruházási ráta
modifier_max_domestic_investment;Max hazai beruházási ráta
mouse_left_click_mode_label;Kattintson a felfüggesztés feloldására
alice_supply_limit_desc;Ellátási korlát: $x$
alice_factory_worker_1;Alkalmazott: ?G$x$?W
alice_factory_worker_2;Munkanélküli: ?R$x$?W
alice_rgo_unemployment_country_alert;A következő államokban vannak munkanélküli RGO-k:
pop_promote_info_on_sel_2;$val$ várható változás a $who$-ban a $where$-ban a következő hónapban.
alice_readme;?GÜdvözlünk a Project Alice-ben!?W\nA Project Alice a kedvenc viktoriánus kori videojátékod emulációja (nem szimulátora!), más szóval néhány mechanikát módosítunk, hogy az újabb játékosok számára könnyebben érthető legyen. a világ dinamikusabbá és szórakoztatóbbá tétele, a régi hibák kijavítása (például válságok esetén) és új életminőségi funkciók bevezetése.\n?GÚj funkciók!?W\n?YGlobe?W: ?Sokan szeretik?W, ?Rhated? W egyesek, kapcsolják ki, ha zavar!\n?YTech queue:?W SHIFT-Kattintson a jobb gombbal, hogy technológiákat adjon a tech sorhoz! (Jobb kattintás a sorból való kilépéshez)\n?YHazai befektetés:?W Ahelyett, hogy egyedi projektekre fektetne be, tegye meg egy lépésben\n?YTeljesítmény:?W A másodpercenkénti ketyegés (nem FPS) legalább x10-szer gyorsabb\n? YLinter:?W Lefedettségi hibákat és figyelmeztetéseket kaphat a modjaiban, könnyen elkaphatja a hibákat és az elírási hibákat\n?YMakróépítő:?W Építhet különböző összetételű egységeket makrókészítőnkkel\n?Y11 új térképmódjai:?W Vallás, erőd, foglalkoztatás, stb\n?YBuild az egész országban:?W SHIFT Kattintson a jobb gombbal az egész országban való építkezéshez!\n?GControls:?W\n?YTAB?W: Csevegőablak megnyitása\n?YESC?W: Nyissa meg a főmenüt és beállítások menü\n?YTilde (`)?W vagy ?YTilde (~)?W: Nyissa meg a konzolt\n?Élvezzétek a játékot! =^w^=?W
alice_nf_controls;?Ybal gombbal?W kijelöléséhez vagy cseréjéhez\n?Yjobb gombbal?W eltávolításához
unit_controls_tooltip_1;?YBal kattintás?W kijelölés (minden más kijelölésének törlése)\n?YSHIFT-Bal kattintás?W hozzáadás a kijelöléshez
unit_controls_tooltip_2;?Y jobb gombbal kattintson egy tartományra? R részleges visszavonulás (? Kerékpározás/forgás? W) tartományba
unit_control_group_tooltip;Nyomja meg az ?YCTRL-1?W - ?YCTRL-9?W gombot az egység vezérlőcsoporthoz való hozzárendeléséhez, illetve hozzárendelésének megszüntetéséhez, majd nyomja meg az ?Y1?W - ?Y9?W gombot a kiválasztásához.
console_button_tooltip;Nyissa meg a parancskonzolt
demobilize;Leszerelés
mobilize;Mobilizálni
alice_cb_creation_detail_none;Kérjük, válasszon egy casus bellit, hogy elkezdhesse a gyártást $country$ ellenében.
alice_cb_creation_detail;Készíthetünk casus bellit $ország$ ellen ?Y$type$?W indoklással. Ez a folyamat nagyjából ?Y$napot$?W eltarthat, és a felfedezésből eredő lehetséges költségek ?R$badboy$?W hírhedtséget okoznak nekünk.
alice_mob_controls;?Yjobb gombbal?W az újramobilizáláshoz
alice_mw_create_1;Általános hozzáadása
alice_mw_create_2;Add hozzá admirálist
alice_mw_create_lpb;?YVezetői pont?
alice_mw_create_lp;?R$x$?W ?Yleadership pont?W kell hozzá
alice_mw_controls_1;?YJobb kattintás?W létrehozhat? Gall?W lehetséges tábornokként
alice_mw_controls_2;?YJobb kattintás?W létrehozhat? Gall?W lehetséges admirálisként
alice_daily_leadership_tt;A $poptype$ ?G$value$?W vezetőpontot biztosít (?Y$töredék$?W a populációból, ?Y$optimális$?W az optimális). Az extra vezetői pontokat automatikusan új tábornokok létrehozására fordítjuk.
unit_current_supply;Ez az egység ?Y$val$%?W-ot kapott az elmúlt napon szükséges készletekből.\nA jelenlegi fogyasztási mennyiségünkből a következő volt:
unit_current_supply_high;$mi $: ?Y$val$?W/?Y$value$?! ?l(?W?G$összesen$%?W?l kereslet kielégítése)
unit_current_supply_mid;$mi $: ?Y$val$?!/?Y$value$?! ?l(?O$összesen$%?W?l kereslet kielégítése)
unit_current_supply_low;$mi $: ?Y$val$?!/?Y$value$?! ?l(?R$összesen$%?W?l kereslet kielégítése)
alice_crisis_inactive;Jelenleg nincs aktív válság
alice_crisis_finding_attacker;Támadó keresése a jelenlegi válságra
alice_crisis_finding_defender;Védőt találni a jelenlegi válságra
alice_crisis_heating_up;A válság felmelegszik, jelenleg ?R$hőmérséklet$?W
alice_last_crisis;A legutóbbi válság $date$-ban következett be (a válságok között $time$ hónapos lehűlés van)
alice_crisis_par_1;?RAttackers?W:
alice_crisis_par_2;?BDefenders?W:
alice_crisis_par_3;?YCsak érdekel (nincs oldal)?W:
alice_commodity_cprice;Jelenlegi ára: $x $
alice_commodity_cost;Költség: $x $
alice_commodity_eprice;Érvényes ár: $x$
alice_trade_top_producers;Legjobb ?Y$érték$?W gyártók:
alice_trade_no_producers;?Senki sem gyártja ezt az árut?W
alice_political_party_trigger;Csak ?Y$date_long_0$?W és ?Y$date_long_1$?W között érhető el, és teljesíti a következő triggert:
alice_political_party_no_trigger;Csak ?Y$date_long_0$?W és ?Y$date_long_1$?W között érhető el
alice_ai_decision;Az AI esélye, hogy ezt a döntést választja, a következőktől függ:
alice_mobilized_is_ai_controlled;Függetlenül attól, hogy a mozgósított egységek automatikusan mesterséges intelligencia által irányítottakká válnak
alice_ai_controlled_unit;Engedélyezi/letiltja az egység mesterséges intelligenciájú vezérlését, az egység:\n- Automatikusan megerősíti a frontvonalakat\n- Automatikusan ostromolja, amikor biztonságosan megteheti\n- Lázadókra vadászik\n- Védelmi pozíciót alakít ki azokkal a nemzetekkel szemben, amelyeket valószínűleg megtámadunk. (ezt a mesterséges intelligencia dönti el, és csak békeidőben)\nHa azt szeretné, hogy ez az egység egy adott nemzetet vagy régiót célozzon meg, először vigye közel ahhoz a régióhoz vagy nemzethez, majd kapcsolja be az AI-vezérlést – mert az AI felülírja az összes parancsot, amíg újra ki nem kapcsolja
alice_navy_allocation_tt;Az ?Y$curr$?W hajókkal ?Y$tot$?W összteljesítményt halmozunk fel, ami ?Y$req$?W-t igényel flottánk számára. Az egyes haditengerészeti flották fogyasztásának részletes összefoglalása:
alice_navy_allocation_2;$name$: ?Y$value$?W (?Y$perc$?W)
alice_wg_condition_1;Védőként nincs status quo
alice_wg_condition_2;Háborúban áll velünk
alice_wg_condition_3;Egyedi hadicél (nem egy másik hadicél másolata)
alice_wg_condition_4;Nem ugyanazon az oldalon, mint mi
alice_wg_condition_5;Kielégíti a hadicél kiváltó okait
alice_wg_condition_6;Elég dzsingoizmus ($need$ kell, $értéke$ van)
alice_wg_condition_7;Konstruálható hadicél
alice_tt_wg_infamy_limit;?REz a hadicél túllépi a hírhedt határt?W
alice_wg_usage_trigger;Csak akkor használható, ha a következő trigger teljesül:
province_id;Tartomány Id
nation_tag;Nemzet címke
alice_rgo_trade_prod_1;RGO mezőgazdasági termelés: $x$ ($y$)
alice_rgo_trade_prod_2;RGO bányászati ​​termelés: $x$ ($y$)
alice_rgo_trade_prod_3;RGO pénzverés gyártás: $x$ ($y$)
alice_artisan_trade_prod;Kézműves gyártás: $x$ ($y$)
alice_factory_trade_prod;Gyári gyártás: $x$ ($y$)
alice_all_trade_prod;Teljes termelés: $x $
alice_interested_in_alliance;(Csak mesterséges intelligencia nemzetekre vonatkozik) Jelölje meg, hogy szövetségre vagyunk kíváncsiak ezzel az országgal, és azonnal elfogadjuk a szövetségi ajánlatokat
alice_merge_rally_point_why;A gyülekezési pontok összevonása elavult, a gyülekezési pontok mostantól automatikusan egyesülnek
alice_mvcap_1;A fővárost ebbe a tartományba költözteti
alice_mvcap_2;Nincs folyamatos válság
alice_mvcap_3;Békében
alice_mvcap_4;Már nem a főváros
alice_mvcap_5;Nem gyarmati
alice_mvcap_6;Ugyanazon a kontinensen, mint a jelenlegi főváros
alice_mvcap_7;Domináns elfogadott kultúra
alice_mvcap_8;Ezt a tartományt nem ostromolják
alice_mvcap_9;A jelenlegi fővárost nem ostromolják
alice_mvcap_10;Az Ön tulajdonában van
alice_mvcap_11;Te irányítod
alice_mvcap_12;A tulajdonos magja
alice_pnt_pops;?YNépesség:?! $x$
alice_pnt_rpops;?Gazdag rétegek:?! $x$ ($y$)
alice_pnt_mpops;?YKözépső rétegek:?! $x$ ($y$)
alice_pnt_ppops;?YSzegény réteg:?! $x$ ($y$)
alice_pnt_culture;?YKultúra:?! $x$
alice_pnt_religion;?Y Vallás:?! $x$
alice_pnt_dominant_religion;?YDománs vallás:?! $x$
alice_pnt_dominant_ideology;?YDománs ideológia:?! $x$
ledger_ppp_gdp;GDP (PPP)
ledger_ppp_gdp_per_capita;1 millió főre jutó GDP (PPP).
