support_for_blank;obsługa $text$
alice_budget_scaled_16;Zainteresowanie dyplomatyczne: ?G$value$
alice_budget_scaled_17;Produkcja złota: ?G$value$
alice_budget_scaled_net;Przychód netto: ?Y$wartość$
alice_budget_setting_percent;Ustaw na $perc$.
alice_spending_land_construction;Budowa gruntu w $name$: ?R$cost$?W
alice_spending_naval_construction;Budowa marynarki wojennej w $name$: ?R$cost$?W
alice_spending_building_construction;Budownictwo w $name$: ?R$cost$?W
alice_spending_factory_construction;Budowa fabryki w $name$: ?R$cost$?W
alice_spending_unit;Całkowite wydatki na to urządzenie w $name$: ?R$cost$?W
alice_spending_unit_1;Całkowite wydatki na to urządzenie: ?R$koszt$?W
alice_spending_total;? Całkowite wydatki:? W
alice_spending_commodity;?R$cost$?W - Potrzebuje $need$ z $name$ ($val$)
alice_spending_commodity_2;?R$koszt$?W - Kupowanie $potrzeba$ $name$ (przy $val$ x jednostka). Postęp: $x$/$y$
alice_recommended_build;?GTa fabryka jest zalecana do budowy?W
alice_factory_bonus;Otrzymamy premię ?Y$x$?W jeśli:
alice_factory_inputs;Wymagane dane wejściowe:
alice_factory_input_item;?R$cost$?W - Potrzebuje $need$ z $name$ ($val$)
alice_factory_base_workforce;Podstawowa siła robocza ?Y$x$?W
alice_factory_total_bonus;To daje około ?Y$x$?W
alice_slider_controls;?YLewy przycisk myszy?W, aby zwiększyć o ?Y$wartość$?W\n?YSHIFT-Kliknięcie lewym przyciskiem?W, aby zwiększyć o ?Y$x$?W\n?YSHIFT-Kliknięcie prawym przyciskiem?W, aby zwiększyć do maksimum
alice_slider_controls_2;?YLewy przycisk myszy?W, aby zmniejszyć o ?Y$wartość$?W\n?YSHIFT-Kliknięcie lewym przyciskiem?W, aby zmniejszyć o ?Y$x$?W\n?YSHIFT-Kliknięcie prawym przyciskiem?W, aby zmniejszyć do minimum
explain_colonial_points;Mocarstwa drugorzędne i wielkie gromadzą punkty kolonialne.
alice_lobby_back;Powrót do lobby
alice_lobby_back_tt_1;Jesteś już w pieprzonym lobby
alice_lobby_back_tt_2;Tylko gospodarz może wrócić do lobby
reopen_with_tab;Możesz ponownie otworzyć to okno za pomocą ?YTAB?W
alice_topbar_tab_1;Otwórz lub zamknij tę kartę
alice_topbar_tab_2;Otwórz lub zamknij kartę populacji
colonial_points_from_technology;Z technologii:
colonial_points_from_naval_bases;Z baz morskich:
colonial_points_from_ships;Ze statków:
used_colonial_maintenance;Utrzymanie istniejących kolonii:
topbar_pause_speed;Wstrzymuje grę. Kliknij ponownie, aby wznowić grę
att_call_will_accept;$x$ dołączy do twojej wojny
att_call_will_decline;$x$ nie dołączy do twojej wojny
att_call_is_human;$x$ może dołączyć do Twojej wojny
att_call_no_allies;Nie masz żadnych sojuszników!
domestic_investment_label;Inwestycje krajowe:
modifier_min_domestic_investment;Minimalna stopa inwestycji krajowych
modifier_max_domestic_investment;Maksymalna stopa inwestycji krajowych
mouse_left_click_mode_label;Kliknij i przytrzymaj zwolnienie
alice_supply_limit_desc;Limit dostaw: $x$
alice_factory_worker_1;Zatrudniony: ?G$x$?W
alice_factory_worker_2;Bezrobotny: ?R$x$?W
alice_rgo_unemployment_country_alert;W następujących stanach działają bezrobotne organizacje pozarządowe:
pop_promote_info_on_sel_2;$val$ oczekiwana zmiana $who$ w $where$ w ciągu następnego miesiąca.
alice_readme;„GWitamy w Project Alice!? W\nProject Alice to emulacja (nie symulator!) Twojej ulubionej gry wideo z epoki wiktoriańskiej. Innymi słowy, poprawiamy pewne mechaniki, aby była łatwiejsza do zrozumienia dla nowszych graczy, a jednocześnie uczynienie świata bardziej dynamicznym i rozrywkowym, naprawianie starych błędów (takich jak kryzysy) i wdrażanie nowych funkcji poprawiających jakość życia.\n?GNowe funkcje!?W\n?YGlobe?W: ?Pokochany?W przez wielu, ?Rhated? W niektórych, wyłącz to, jeśli ci to przeszkadza!\n?YKolejka technologii:?W SHIFT – kliknij prawym przyciskiem myszy, aby dodać technologie do kolejki technologii! (Kliknij prawym przyciskiem myszy, aby usunąć z kolejki)\n?YInwestycje krajowe:?W Zamiast inwestować w pojedyncze projekty, zrób to za jednym razem\n?YWydajność:?W Liczba taktów na sekundę (nie FPS) jest co najmniej x10 razy większa\n? YLinter:?W Uzyskaj błędy i ostrzeżenia w swoich modach, łatwo wyłapuj błędy i literówki\n?YKreator makr:?W Twórz jednostki o różnym składzie za pomocą naszego kreatora makr\n?Y11 nowych trybów map:?W Religia, fort, zatrudnienie, itp\n?YBuduj w całym kraju:?W SHIFT Kliknij prawym przyciskiem myszy, aby budować w całym kraju!\n?GSterowanie:?W\n?YTAB?W: Otwórz okno czatu\n?YESC?W: Otwórz menu główne i menu ustawień\n?YTilde (`)?W lub ?YTilde (~)?W: Otwórz konsolę\n?GCiesz się grą! =^w^=?W
alice_nf_controls;?YKliknij lewym przyciskiem?W, aby wybrać lub zastąpić\n?YKliknij prawym przyciskiem?W, aby usunąć
unit_controls_tooltip_1;?YLewy przycisk myszy?W zaznaczenie (odznaczenie wszystkiego innego)\n?YSHIFT-kliknięcie lewym przyciskiem?Dodaj do zaznaczenia
unit_controls_tooltip_2;?YKliknij prawym przyciskiem myszy prowincję?W częściowy odwrót (?Gcykl/rotacja?W) do prowincji
unit_control_group_tooltip;Naciśnij ?YCTRL-1?W do ?YCTRL-9?W, aby przypisać/cofnąć przypisanie tego urządzenia do grupy kontrolnej, którą możesz następnie nacisnąć ?Y1?W do ?Y9?W, aby wybrać
console_button_tooltip;Otwórz konsolę poleceń
demobilize;Demobilizować
mobilize;Zmobilizować
alice_cb_creation_detail_none;Wybierz casus belli, aby rozpocząć produkcję przeciwko $country$.
alice_cb_creation_detail;"Możemy sfabrykować casus belli przeciwko $country$ z powodu „Y$type$?W. Proces ten może zająć mniej więcej około Y$dni$?W, a potencjalne koszty wykrycia przysporzą nam ""R$badboy$?W niesławy."
alice_mob_controls;?YKliknij prawym przyciskiem myszy?W, aby ponownie się zmobilizować
alice_mw_create_1;Dodaj ogólne
alice_mw_create_2;Dodaj admirała
alice_mw_create_lpb;„YPunkty przywódcze” zostaną automatycznie wykorzystane do stworzenia generałów lub admirałów po osiągnięciu limitu
alice_mw_create_lp;Potrzebujemy ?R$x$?W?Punktów przywódczych?W do dodania
alice_mw_controls_1;?YKliknij prawym przyciskiem myszy?Utwórz ?Galę? Jest to możliwe jako generałowie
alice_mw_controls_2;?YKliknij prawym przyciskiem? Stwórz ?Gall? Jest to możliwe jako admirałowie
alice_daily_leadership_tt;$poptype$ zapewnia ?G$value$?W punktów przywództwa (?Y$ułamek$?W populacji, ?Y$optymalne$?W jest optymalne). Dodatkowe punkty przywództwa zostaną automatycznie wydane na tworzenie nowych generałów.
unit_current_supply;Ta jednostka otrzymała ?Y$val$%?W zapasów potrzebnych ostatniego dnia.\nIlość, jaką mogliśmy uzyskać z naszego bieżącego zużycia zapasów, wynosiła:
unit_current_supply_high;$co$: ?Y$val$?W/?Y$wartość$?! ?l(?W?G$total$%?W?l żądam satysfakcji)
unit_current_supply_mid;$co$: ?Y$val$?!/?Y$wartość$?! ?l(?O$total$%?W?l żądam satysfakcji)
unit_current_supply_low;$co$: ?Y$val$?!/?Y$wartość$?! ?l(?R$total$%?W?l żądam satysfakcji)
alice_crisis_inactive;Brak aktywnego kryzysu
alice_crisis_finding_attacker;Znalezienie napastnika na obecny kryzys
alice_crisis_finding_defender;Znalezienie obrońcy na obecny kryzys
alice_crisis_heating_up;Kryzys nagrzewa się w temperaturze, obecnie na poziomie „R$temperatura$?W
alice_last_crisis;Ostatni kryzys miał miejsce w $date$ (pomiędzy kryzysami obowiązuje miesięczny okres odnowienia wynoszący $time$)
alice_crisis_par_1;„RAtakowcy” W:
alice_crisis_par_2;„BDefenders” W:
alice_crisis_par_3;?Jesteś zainteresowany (bez strony)?W:
alice_commodity_cprice;Obecna cena: $x$
alice_commodity_cost;Koszt: $x$
alice_commodity_eprice;Efektywna cena: $x$
alice_trade_top_producers;Najlepsi producenci ?Y$value$?W:
alice_trade_no_producers;„Nikt nie produkuje tego towaru?” W
alice_political_party_trigger;Dostępne tylko od ?Y$date_long_0$?W do ?Y$date_long_1$?W i spełniające następujący warunek:
alice_political_party_no_trigger;Dostępne tylko od ?Y$date_long_0$?W do ?Y$date_long_1$?W
alice_ai_decision;Szansa AI na podjęcie tej decyzji będzie zależała od:
alice_mobilized_is_ai_controlled;Niezależnie od tego, czy zmobilizowane jednostki automatycznie staną się kontrolowane przez sztuczną inteligencję
alice_ai_controlled_unit;Włącz/wyłącz kontrolę AI nad tą jednostką. Jednostka będzie:\n- Automatycznie wzmacniała linie frontu\n- Automatycznie oblegała, gdy będzie to bezpieczne\n- Polowała na rebeliantów\n- Utworzyła pozycję obronną przeciwko narodom, które prawdopodobnie zaatakujemy (decyduje o tym AI i tylko w czasie pokoju)\nJeśli chcesz, aby ta jednostka obrała za cel konkretny kraj lub region, najpierw przesuń ją blisko tego regionu lub narodu, a następnie włącz kontrolę AI – ponieważ AI to zastąpi wszystkie polecenia, dopóki nie wyłączysz go ponownie
alice_navy_allocation_tt;Dzięki statkom „Y$curr$?W gromadzimy łączną przepustowość dostaw wynoszącą „Y$tot$?W, co wymaga „Y$req$?W dla naszych flot. Szczegółowe podsumowanie zużycia każdej floty morskiej:
alice_navy_allocation_2;$name$: ?Y$wartość$?W (?Y$perc$?W)
alice_wg_condition_1;Jako obrońca nie ma status quo
alice_wg_condition_2;Jest z nami w stanie wojny
alice_wg_condition_3;Unikalny cel wojenny (nie jest duplikatem innego celu wojennego)
alice_wg_condition_4;Nie po tej samej stronie co my
alice_wg_condition_5;Spełnia wyzwalacze celu wojennego
alice_wg_condition_6;Dość szowinizmu (potrzebuje $potrzebuje$, ma $wartość$)
alice_wg_condition_7;Jest celem wojennym, który można zbudować
alice_tt_wg_infamy_limit;„Ten cel wojenny przekroczy limit niesławy?” W
alice_wg_usage_trigger;Można użyć tylko wtedy, gdy spełniony jest następujący wyzwalacz:
province_id;Identyfikator prowincji
nation_tag;Etykieta narodu
alice_rgo_trade_prod_1;Produkcja rolnicza RGO: $x$ ($y$)
alice_rgo_trade_prod_2;Produkcja górnicza RGO: $x$ ($y$)
alice_rgo_trade_prod_3;Produkcja mięty RGO: $x$ ($y$)
alice_artisan_trade_prod;Produkcja rzemieślnicza: $x$ ($y$)
alice_factory_trade_prod;Produkcja fabryczna: $x$ ($y$)
alice_all_trade_prod;Całkowita produkcja: $x$
alice_interested_in_alliance;(Dotyczy tylko krajów AI) Zaznacz, że jesteśmy zainteresowani sojuszem z tym krajem i natychmiast przyjmiemy oferty sojuszu
alice_merge_rally_point_why;Scalanie punktów zbiórki zostało wycofane. Punkty zbiórki będą teraz automatycznie łączone
alice_mvcap_1;Przenosi stolicę do tej prowincji
alice_mvcap_2;Żadnego ciągłego kryzysu
alice_mvcap_3;W pokoju
alice_mvcap_4;Już nie stolica
alice_mvcap_5;Nie kolonialny
alice_mvcap_6;Na tym samym kontynencie, co obecna stolica
alice_mvcap_7;Dominująca kultura akceptowana
alice_mvcap_8;Ta prowincja nie jest oblężona
alice_mvcap_9;Obecna stolica nie jest oblężona
alice_mvcap_10;Jest Twoją własnością
alice_mvcap_11;Jest kontrolowany przez Ciebie
alice_mvcap_12;Jest rdzeniem właściciela
alice_pnt_pops;?Populacja:?! $x$
alice_pnt_rpops;?YBogate warstwy:?! $x$ ($y$)
alice_pnt_mpops;?Średnia warstwa:?! $x$ ($y$)
alice_pnt_ppops;?YBiedna warstwa:?! $x$ ($y$)
alice_pnt_culture;?Kultura:?! $x$
alice_pnt_religion;?YReligia:?! $x$
alice_pnt_dominant_religion;?Dominująca religia:?! $x$
alice_pnt_dominant_ideology;?Dominująca ideologia:?! $x$
ledger_ppp_gdp;PKB (PPP)
ledger_ppp_gdp_per_capita;PKB(PPP) na 1 milion osób
