alice_save_exit;保存并退出
alice_unit_relative_attrition;$m$ $n$/$x$/$y$ = §R$val$§W attrition
ol_unit_standing_text;$m$ $n$/$x$/$y$
unit_moving_text;$m$ $n$/$x$/$y$ -> $prov$ ($date$) - §R$cost$§W ($attunit$/$defunit$)
unit_standing_text;$m$ $n$/$x$/$y$ - §R$cost$§W ($attunit$/$defunit$)
disarmed_pop;a member of a disarmed nation
cancel_fac_construction;Cancel factory construction
cancel_fac_upgrade;Cancel factory upgrade
kierkegaard_1;Either
kierkegaard_2;Or
open_and_sub;Subsidize & Reopen Factory
o_set_national_flag;Set national flag $text$ for the owner
o_add_modifier_until;Owner of the province gets $text$ until $date$
o_add_modifier;Owner of the province gets $text$
o_relations_with;Owner of the province's relation with $text$
o_add_to_treasury; for the owner of the province
w_rgo_prod;Global RGO production: $x$
w_artisan_prod;Global artisan production: $x$
w_artisan_profit;National artisan profit: $x$
w_artisan_distribution;National artisan distribution: $x$
w_fac_prod;Global factory production: $x$
alice_lose_gp;We are losing §YGreat Power§W status!
alice_state_select_title;Select state
alice_state_select_2;(Press ESC to cancel)
fort_build_tt_1;The province is under your control
fort_build_tt_2;The province is not under siege
fort_build_tt_3;The current level
nb_build_tt_1;The province is coastal
nb_build_tt_2;No other naval base has been built or is under construction in the state
rr_build_tt_1;Our ruling party allows the government to construct rail roads
tech_ol_tt;§G$x$§! from your overlord having this technology
tech_year_tt;§G$x$§! from the current year
disband_all;Disband all selected units
alice_play_checksum_host;Checksum mismatch with host
alice_play_save_stream;Host is streaming a save to you
ai_will_accept_po;The AI will accept this offer
ai_will_not_accept_po;The AI will NOT accept this offer
close_and_del;Close & Delete Factory
cb_conditions_header;Conditions to use:
as_a_vassal;as a vassal
change_state_name_to;change state name to $text$
alice_join_crisis_offer;$ACTOR$ will give us the following if we join their side in the current crisis:
alice_unit_disable_rebel_hunt;Stop hunting rebels
alice_regiment_battle_info;$m$ $name$ §Y$type$§W\nOrganisation: §Y$organisation$§W\nStrength: §Y$strength$§W
alice_understaffed_regiment;§RThis regiment is understaffed and will only have $value$ soldiers!§W
alice_tech_queue_info;Press §YSHIFT§W to add to queue
alice_province_building_build;§YSHIFT§W to build on the entire §Gstate§W.\n§YSHIFT-Right-click§W to build on the entire §Gcountry§W.
alice_commodity_shortage;§RThere is a shortage of this commodity
alice_commodity_surplus;§GThere is a surplus of this commodity
alice_trade_flow_produced;§YDomestic production:
alice_trade_flow_consumed;§YDomestic consumption:
alice_trade_flow_label;Market overview:
alice_trade_flow_piechart_producers;Producers
alice_trade_flow_piechart_consumers;Consumers
alice_trade_flow_piechart_workforce;Investors
alice_diplo_release_subject;Release subject
alice_diplo_release_subject_desc;Releases one of our subjects
alice_diplo_release_subject_0;Is our subject
e_kill_leader;Kill leader
e_annex_null;becomes unowned
meets_the_conditions_of;meets the conditions of 
does_not_meet_the_conditions_of;does not meet the conditions of 
fab_finish_date;CB fabrication is expected to finish on $date$
fab_is_paused;CB fabrication is currently paused
att_call_will_accept;$x$ will join your war
att_call_will_decline;$x$ will not join your war
att_call_is_human;$x$ may join your war
aml_civ_s1;Civilized
aml_civ_s2;Uncolonized
aml_civ_s3;100% Westernized
aml_civ_s4;0% Westernized
aml_civ_s5;Colony
macro_builder;Macro-builder
macro_total_desc;Total unit stats:
macro_remove_template;Delete
macro_switch_type_land;Build army
macro_switch_type_naval;Build navy
macro_save_template;Save template
macro_new_template;New template
macro_warn_overseas;§RCan't build this unit overseas!§W
macro_warn_culture;§RCan only build using primary culture POPs!§W
macro_warn_unlocked;§RUsing units not unlocked yet!§W
macro_select_province;Please select a province on the map
macro_warn_insuff;§RCan't build $x$ $name$ (only $y$)§W
macro_warn_invalid_province;§RProvince not part of a region§W
macro_apply_template;Apply
aml_col_s1;Potential
aml_col_s2;NA
aml_col_s3;Can Invest
aml_col_s4;Colonizing
aml_dip_s1;Viewpoint
aml_dip_s2;Ally
aml_dip_s3;Enemy
aml_dip_s4;Puppet
aml_dip_s5;Sphere
aml_dip_s6;Other
aml_dip_s7;Core
aml_dip_s8;Non Core
aml_dip_s9;Union Core
aml_rr_s1;Level 0
aml_rr_s2;Level 6
aml_rr_s3;Upgrading
aml_rr_s4;Max level
aml_rr_s5;Blocked
aml_nav_s1;No base
aml_nav_s2;Max level
aml_nav_s3;Upgrading
aml_nav_s4;Upgradeable
aml_nav_s5;Constructible
aml_rank_s1;Great
aml_rank_s2;Secondary
aml_rank_s3;Civ
aml_rank_s4;Unciv
aml_rec_s1;Available
aml_rec_s2;All used
aml_rec_s3;None
alice_shortcut_tooltip;Shortcut: §Y$x$§!
alice_filter_all;Show §Yall§! relevant nations.
alice_filter_allies;Filter by nations we have an §Yalliance§! with.
alice_filter_allies_right;§YRight-click§! to filter by nations which want to ally us.
alice_filter_enemies;Filter by nations that are either §Yenemies or at war with us§!.
alice_filter_sphere;Filter by nations that are within our §Ysphere of influence§!.
alice_filter_sphere_right;§YRight-click§! to filter by nations which we are influencing but not on our sphere.
alice_filter_neighbors;Filter by nations we share a §Yborder§! with.
alice_filter_neighbors_right;§YRight-click§! to filter by nations we share a §Yborder§! and are not §Yvassals§!.
alice_filter_best_guess;Filter using a §Ybest guess§! by relevancy
alice_warn_war_ends_for_us;§RThis will end the war for everyone on our side§!.
alice_invention_chance;The chance of discovering this §Yinvention§! are as follows:
is_primary_culture;§Y$NAME$§! is the primary culture.
is_primary_religion;§Y$NAME$§! is the primary religion.
tt_can_use_nation;The conditions needed to allow the use of this wargoal:
et_on_add;The effects executed from adding this wargoal to a war:
et_on_po_accepted;The effects executed from accepting a peace offer with this wargoal:
alice_no_possible_units;No possible units can be built
alice_debt_spending;Enable/disable debt spending
alice_loan_size;Our current maximum loan is $x$. Debt greater than that will cause us to go bankrupt
alice_currently_bankrupt;We are bankrupt (until $x$)
alice_no_loans_possible;We are currently unable to take loans
alice_rf_demands_enforced_trigger;The rebels will only enforce their demands if:
alice_rf_demands_enforced_effect;Once the rebels enforce their demands they will apply the following effect:
alice_rf_siege_won_trigger;If a rebel wins a siege
alice_rf_siege_won_effect;And if all of the above was true
may_month_name;May
alice_ca_cant_influence;We currently are unable to increase or decrease the opinion of other nations at the moment
alice_gp_status_regain_expiration;If we don't become rank §Y$x$§W or higher
alice_mil_decay_description;Natural decay §G-$x$
alice_con_decay_description;Natural decay §R-$x$
alice_x_from_y;$x$ from $y$
alice_reinforce_rate;This regiment can reinforce up to $x$ soldiers per month.
alice_reinforce_rate_none;This regiment cannot currently be reinforced.
alice_domestic_investment_button;Investing in individual projects is §Rdeprecated§W
alice_domestic_investment_pops;We have $x$ capitalists we can indirectly give generous donations to
alice_domestic_investment_needs;They require $x$ each day to satisfy their luxurious lifestyle
alice_budget_scaled_inc;Income: §G$value$
alice_budget_scaled_1;Poor tax: §G$value$
alice_budget_scaled_2;Middle tax: §G$value$
alice_budget_scaled_3;Rich tax: §G$value$
alice_budget_scaled_4;Tariffs: §G$value$
alice_budget_scaled_exp;Expenses: §R$value$
alice_budget_scaled_5;Army maintanance: §R$value$
alice_budget_scaled_6;Navy maintanance: §R$value$
alice_budget_scaled_7;Construction: §R$value$
alice_budget_scaled_8;Education: §R$value$
alice_budget_scaled_9;Administration: §R$value$
alice_budget_scaled_10;Social spending: §R$value$
alice_budget_scaled_11;Military spending: §R$value$
alice_budget_scaled_12;Domestic investments: §R$value$
alice_budget_scaled_13;Overseas spending: §R$value$
alice_budget_scaled_14;Stockpile filling: §R$value$
alice_budget_scaled_15;War subsidies: §R$value$
alice_budget_scaled_16;Diplomatic interest: §G$value$
alice_budget_scaled_17;Gold production: §G$value$
alice_budget_scaled_net;Net revenue: §Y$value$
alice_budget_setting_percent;Set at $perc$.
alice_spending_land_construction;Land construction in $name$: §R$cost$§W
alice_spending_naval_construction;Naval construction in $name$: §R$cost$§W
alice_spending_building_construction;Building construction in $name$: §R$cost$§W
alice_spending_factory_construction;Factory construction in $name$: §R$cost$§W
alice_spending_unit;Total spent on this unit in $name$: §R$cost$§W
alice_spending_unit_1;Total spent on this unit: §R$cost$§W
alice_spending_total;§YTotal spent:§W
alice_spending_commodity;§R$cost$§W - Needs $need$ of $name$ ($val$)
alice_spending_commodity_2;§R$cost$§W - Buying $need$ of $name$ (at $val$ x unit). Progress: $x$/$y$
alice_recommended_build;§GThis factory is recommended to be built§W
alice_factory_bonus;We will receive a §Y$x$§W bonus if:
alice_factory_inputs;Inputs required:
alice_factory_input_item;§R$cost$§W - Needs $need$ of $name$ ($val$)
alice_factory_base_workforce;Base workforce §Y$x$§W
alice_factory_total_bonus;This sums to about §Y$x$§W
alice_slider_controls;§YLeft-Click§W to increment by §Y$value$§W\n§YSHIFT-Left-Click§W to increment by §Y$x$§W\n§YSHIFT-Right-Click§W to increment to maximum
alice_slider_controls_2;§YLeft-Click§W to decrement by §Y$value$§W\n§YSHIFT-Left-Click§W to decrement by §Y$x$§W\n§YSHIFT-Right-Click§W to decrement to minimum
explain_colonial_points;Secondary and Great Powers accumulate colonial points.
alice_lobby_back;Back to lobby
alice_lobby_back_tt_1;You're already in the fucking lobby
alice_lobby_back_tt_2;Only the host may go back to lobby
alice_lobby_close;Close
alice_lobby_close_tt;You can reopen this window with §YTAB§W
alice_topbar_tab_1;Open or close this tab
alice_topbar_tab_2;Open or close the population tab
colonial_points_from_technology;From technologies:
colonial_points_from_naval_bases;From naval bases:
colonial_points_from_ships;From ships:
used_colonial_maintenance;Maintaining existing colonies:
topbar_pause_speed;Pauses the game
topbar_date_leap;We're on a §Yleap§! year
topbar_date_not_leap;We're on a §Ynormal§! year
topbar_date_season_nh;Northern hemisphere season: §Y$x$§!
topbar_date_season_sh;Southern hemisphere season: §Y$x$§!
topbar_date_season_spring;Spring
topbar_date_season_summer;Summer
topbar_date_season_fall;Fall
topbar_date_season_winter;Winter
att_call_no_allies;You don't have any allies!
att_truce_with;Truce with $text$ until §Y$y$§!
domestic_investment_label;Domestic investment:
att_call_allies_effect;Call allies of this nation into its current wars
modifier_min_domestic_investment;Minimum domestic investment rate
modifier_max_domestic_investment;Maximum domestic investment rate
mouse_left_click_mode_label;Mouse click hold release
alice_supply_limit_desc;Supply limit: $x$
alice_factory_worker_1;Employed: §G$x$§W
alice_factory_worker_2;Unemployed: §R$x$§W
alice_rgo_unemployment_country_alert;The following states have unemployed RGOs:
pop_promote_info_on_sel_2;$val$ expected change of $who$ in $where$ over the next month.
black_map_font_label;Black map font
edge_scrolling_label;Edge scrolling
alice_info_box_1;§GWelcome to Project Alice!§W
alice_info_box_2;Project Alice is an emulation (not a simulator!) of your favourite victorian-era video game
alice_info_box_3;§GNew features!§W
alice_info_box_4;§YGlobe§W: §GLoved§W by many
alice_info_box_5;§YTech queue:§W SHIFT-Right click to add technologies to the tech queue! (Right click to unqueue)
alice_info_box_6;§YDomestic investment:§W Instead of investing on individual projects
alice_info_box_7;§YPerformance:§W The ticks per second (not FPS) are atleast
alice_info_box_8;§YLinter:§W Get coverage errors and warnings in your mods
alice_info_box_9;§YMacro builder:§W Build units with varying compositions using our macro builder
alice_info_box_10;§Y11 new mapmodes:§W Religion
alice_info_box_11;§YBuild in entire country:§W SHIFT Right-click to build in the entire country!
alice_info_box_12;§GControls:§W
alice_info_box_13;§YTAB§W: Open chat window
alice_info_box_14;§YESC§W: Open main menu and settings menu
alice_info_box_15;§YTilde (`)§W or §YTilde (~)§W: Open console
alice_info_box_16;§GEnjoy the game! =^w^=§W
alice_nf_controls;§YLeft-click§W to select or replace\n§YRight-click§W to remove
alice_utt_controls_1;§YLeft-click§W select (deselecting everything else)
alice_utt_controls_2;§YSHIFT-Left-click§W add to selection
alice_utt_controls_3;§YRight-click on a province§W partial retreat (§Gcycling/rotation§W) to province
button_console_tt;Open the command console
alice_demobilize;Demobilize
alice_mobilize;Mobilize
alice_cb_creation_detail_none;Please select a casus belli to start fabricating against $country$.
alice_cb_creation_detail;We can fabricate a casus belli against $country$ with the reason of §Y$type$§W. This process may take roughly about §Y$days$§W
alice_mob_controls;§YRight-click§W to remobilize
alice_mw_create_1;Add general
alice_mw_create_2;Add admiral
alice_mw_create_lpb;§YLeadership points§W will automatically be used to create generals or admirals when hitting the cap
alice_mw_create_lp;We need §R$x$§W §Yleadership points§W to add
alice_mw_controls_1;§YRight-click§W create §Gall§W possible as generals
alice_mw_controls_2;§YRight-click§W create §Gall§W possible as admirals
alice_daily_leadership_tt;$poptype$ provides §G$value$§W leadership points (§Y$fraction$§W of the population
current_supply_text;This unit received §Y$val$%§W of the supplies needed in the last day.
current_supply_text2;The amount we could get of our current supply consumption was:
current_supply_text_commodity;$what$: §Y$val$§W/§Y$value$§W §l(§W§G$total$%§W§l demand satisfaction)§W
current_supply_text_commodity_orange_satisfaction;$what$: §Y$val$§W/§Y$value$§W §l(§W§O$total$%§W§l demand satisfaction)§W
current_supply_text_commodity_red_satisfaction;$what$: §Y$val$§W/§Y$value$§W §l(§W§R$total$%§W§l demand satisfaction)§W
alice_crisis_inactive;No current active crisis
alice_crisis_finding_attacker;Finding an attacker for the current crisis
alice_crisis_finding_defender;Finding a defender for the current crisis
alice_crisis_heating_up;Crisis is heating up in temperature
alice_last_crisis;Last crisis ocurred in $date$ (there is a $time$ month cooldown between crises)
alice_crisis_par_1;§RAttackers§W:
alice_crisis_par_2;§BDefenders§W:
alice_crisis_par_3;§YMerely interested (no side)§W:
alice_commodity_cprice;Current price: $x$
alice_commodity_cost;Cost: $x$
alice_commodity_eprice;Effective price: $x$
alice_trade_top_producers;Top §Y$value$§W producers:
alice_trade_no_producers;§RNobody is producing this commodity§W
alice_political_party_trigger;Only available from §Y$date_long_0$§W to §Y$date_long_1$§W
alice_political_party_no_trigger;Only available from §Y$date_long_0$§W to §Y$date_long_1$§W
alice_ai_decision;AI's chance of choosing this decision will depend on:
alice_ctrl_group;Press §YCTRL-1§W thru §YCTRL-9§W to assign/unassign this unit to a control group
alice_mobilized_is_ai_controlled;Whetever mobilized units will automatically become AI controlled
alice_ai_controlled_unit;Enable/Disable AI control of this unit
alice_navy_allocation_tt;With §Y$curr$§W ships
alice_navy_allocation_2;$name$: §Y$value$§W (§Y$perc$§W)
alice_wg_condition_1;Does not have status quo as a defender
alice_wg_condition_2;Is in a war with us
alice_wg_condition_3;Unique wargoal (isn't a duplicate of another wargoal)
alice_wg_condition_4;Not on the same side as us
alice_wg_condition_5;Satisfies triggers for wargoal
alice_wg_condition_6;Enough jingoism (needs $need$
alice_wg_condition_7;Is constructable wargoal
alice_tt_wg_infamy_limit;§RThis wargoal will exceed the infamy limit§W
alice_wg_usage_trigger;Can only use if the following trigger is satisfied:
alice_pvid_id;Province Id:
alice_pvid_tag;Tag:
alice_rgo_trade_prod_1;RGO Farming Production: $x$ ($y$)
alice_rgo_trade_prod_2;RGO Mining Production: $x$ ($y$)
alice_rgo_trade_prod_3;RGO Minting Production: $x$ ($y$)
alice_artisan_trade_prod;Artisan Production: $x$ ($y$)
alice_factory_trade_prod;Factory Production: $x$ ($y$)
alice_all_trade_prod;Total Production: $x$
alice_interested_in_alliance;(Only applies to AI nations) Mark that we're interested in an alliance with this country
alice_merge_rally_point_why;Merge rally points are deprecated
alice_mvcap_1;Moves the capital to this province
alice_mvcap_2;No ongoing crisis
alice_mvcap_3;At peace
alice_mvcap_4;Not the capital already
alice_mvcap_5;Not colonial
alice_mvcap_6;On the same continent as current capital
alice_mvcap_7;Dominant accepted culture
alice_mvcap_8;This province is not being sieged
alice_mvcap_9;The current capital not being sieged
alice_mvcap_10;Is owned by you
alice_mvcap_11;Is controlled by you
alice_mvcap_12;Is owner core
alice_pnt_pops;§YPopulation:§W $x$
alice_pnt_rpops;§YRich strata:§W $x$ ($y$)
alice_pnt_mpops;§YMiddle strata:§W $x$ ($y$)
alice_pnt_ppops;§YPoor strata:§W $x$ ($y$)
alice_pnt_culture;§YCulture:§W $x$
alice_pnt_religion;§YReligion:§W $x$
alice_pnt_dominant_religion;§YDominant religion:§W $x$
alice_pnt_dominant_ideology;§YDominant Ideology:§W $x$
FRA;法国
