PROV1;Ситка
PROV2403;Кашуэйра
PROV2404;Тефе
PROV2405;Борба
PROV2406;Кокосовые острова
PROV2407;Табатинга
PROV2408;Ориксимина
PROV2409;Сент-Винсент
PROV2410;Белен
PROV2411;Сантарен
PROV2412;Обидуш
PROV2413;Мараба
PROV2414;Амапа
PROV2415;Макапа
PROV2416;Дурадос
PROV2417;Вилла Бела
PROV2418;Куяба
PROV2419;Корумба
PROV2420;Игуатеми
PROV2421;Вила Боа
PROV2422;Аганья
PROV2423;Пальмас
PROV2424;Сан-Луис
PROV2425;Чапада
PROV2426;Терезина
PROV2427;Оэйрас
PROV2428;Параиба
PROV2429;Форталеза
PROV2430;Крато
PROV2431;Натал
PROV2432;Ресифи
PROV2433;Кабробо
PROV2434;Масейо
PROV2435;Аракажу
PROV2436;Сальвадор де Баия
PROV2437;Жуазейро
PROV2438;Вила-ду-Барра
PROV2439;Порту-Сегуру
PROV2440;Витория да Конкиста
PROV2441;Ору-Прету
PROV2442;Сабара
PROV2443;Януария
PROV2444;Паракату
PROV2445;Убераба
PROV2446;Сан-Жуан-дель-Рей
PROV2447;Рио де Жанейро
PROV2448;Кампос
PROV2449;Витория
PROV2450;Сан-Паулу
PROV2451;Сантос
PROV2452;Кампинас
PROV2453;Ассис
PROV2454;Фиджи
PROV2455;Игуапе
PROV2456;Араракуара
PROV2457;Куритиба
PROV2458;Гуарапуава
PROV2459;Лажес
PROV2460;Кастро
PROV2461;Дестерро
PROV2462;Сан-Мигель
PROV2463;Порту-Алегри
PROV2464;Пелотас
PROV2465;Пассо Фундо
PROV2466;Санта Мария
PROV2467;Алегрете
PROV2468;Сидней
PROV2469;Ньюкасл
PROV2470;Порт-Маккуори
PROV2471;Офир
PROV2472;Эдем
PROV2473;Вагга Вагга
PROV2474;Мори
PROV2475;Брокен-Хилл
PROV2476;Мельбурн
PROV2477;Вармамбул
PROV2478;Балларат
PROV2479;Распродажа
PROV2480;Бичворт
PROV2481;Лебединая горка
PROV2482;Тасмания
PROV2483;Брисбен
PROV2484;Гладстон
PROV2485;Клермон
PROV2486;Тувумба
PROV2487;Таунсвилл
PROV2488;Куктаун
PROV2489;Лонгрич
PROV2490;Шарлевиль
PROV2491;Аделаида
PROV2492;Порт-Линкольн
PROV2493;Халат
PROV2494;Порт-Огаста
PROV2495;Уднадатта
PROV2496;Таркула
PROV2497;Перт
PROV2498;Кожёнуп
PROV2499;Джералдтон
PROV2500;Калгурли
PROV2501;Брум
PROV2502;более демпфер
PROV2503;Вилуна
PROV2504;Эсперанс
PROV2505;Пальмерстон
PROV2506;Теннант Крик
PROV2507;Алис-Спрингс
PROV2508;Остров Норфолк
PROV2509;Окленд
PROV2510;Нью-Плимут
PROV2511;Нэпьер
PROV2512;Веллингтон
PROV2513;Данидин
PROV2514;Хокитика
PROV2515;Крайстчерч
PROV2516;Нельсон
PROV2517;Гуам
PROV2518;Палау
PROV2519;Яп
PROV2520;Тавеуни
PROV2521;Сайпан
PROV2522;Маршалловы острова
PROV2523;Науру
PROV2524;Будить
PROV2525;Маркус
PROV2526;Пальмира
PROV2527;Острова Гилберта
PROV2528;Порт-Морсби
PROV2529;Керема
PROV2530;Лаэ
PROV2531;Маданг
PROV2532;Форте Сан-Жоаким
PROV2533;Тыргу-Муреш
PROV2534;Соломоновы острова
PROV2535;Новые Гебриды
PROV2536;Острова Санта-Крус
PROV2537;Новая Британия
PROV2538;Нови Сад
PROV2539;Бугенвиль
PROV2540;Тонга
PROV2541;Острова Эллис
PROV2542;Уоллис и Футуна
PROV2543;Апиа
PROV2544;Паго-Паго
PROV2545;Раротонга
PROV2546;Тонгарева
PROV2547;Токелау
PROV2548;Ниуэ
PROV2549;Тарауака
PROV2550;Форте-ду-Принсипи
PROV2551;Маркизские острова
PROV2552;Питкэрн
PROV2553;Туамотус
PROV2554;Посадас
PROV2555;Августа
PROV2556;Эшвилл
PROV2557;Эсбьерг
PROV2558;Де Аар
PROV2559;Сухадж
PROV2560;Дармштадт
PROV2561;Зигбург
PROV2562;Тайнань
PROV2563;Сафи
PROV2564;Салима
PROV2565;Себу
PROV2566;Агартала
PROV2567;Гаэта
PROV2568;Лугано
PROV2569;Никшич
PROV2570;Бове
PROV2571;Тауранга
PROV2572;Нэн
PROV2573;Мбул
PROV2574;Мочуди
PROV2575;Ипох
PROV2576;Натуна
PROV2577;Плевля
PROV2578;Такна
PROV2579;Трук
PROV2580;Старая Ладога
PROV2581;Матака
PROV2582;Котор
PROV2583;Цетинье
PROV2584;Бельско
PROV2585;Матан как Сара
PROV2586;Аль-Ахса
PROV2587;Кола
PROV2588;Онега
PROV2589;Шойна
PROV2590;Угольное
PROV2591;Гольстейнсборг
PROV2592;Унгава
PROV2593;Форт Джордж
PROV2594;Соленый огурец
PROV2595;Нунавут
PROV2596;Форт Резолюция
PROV2597;Форт Вермилион
PROV2598;Форт Лиард
PROV2599;Фэрбенкс
PROV2600;Альтамира
PROV2601;Песчаная пустыня
PROV2602;Робурн
PROV2603;Танами
PROV2604;Нормантон
PROV2605;Пустыня Гибсона
PROV2606;Жамбыл
PROV2607;Лоп Нур
PROV2608;Хатгал
PROV2609;Арауан
PROV2610;Уральск
PROV2611;Тургай
PROV2612;Акташ
PROV2613;Нида
PROV2614;Мордияха
PROV2615;Красноселькуп
PROV2616;Тиличики
PROV2617;Сагалян Оула
PROV2618;Талая
PROV2619;Абий
PROV2620;Сясир
PROV2621;Среднеколымск
PROV2622;Марково
PROV2623;Остров Мидуэй
PROV2624;Лоанго
PROV2625;Порт-Хоуп Симпсон
PROV2626;Порт-Харрисон
PROV2627;Форт Чимо
PROV2628;Аттавапискат
PROV2629;Биттон Ривер
PROV2630;Кордова
PROV2631;Уналакит
PROV2632;Аммассалик
PROV2633;Оссора
PROV2634;Рассвет
PROV2635;Кариба
PROV2636;Эгедесминде
PROV2637;Ново Мариинск
PROV2638;Омсукчан
PROV2639;Сусуман
PROV2640;Зирянка
PROV2641;Аян
PROV2642;Усть-Нера
PROV2643;Хонуу
PROV2644;Олекминск
PROV2645;Чилчи
PROV2646;Асес Иган
PROV2647;Янск
PROV2648;Якутск
PROV2649;Жиганск
PROV2650;Нюрба
PROV2651;Уданчный
PROV2652;Кулар
PROV2653;Саскила
PROV2654;Хатанга
PROV2655;Тура
PROV2656;Тайимба
PROV2657;Светлогорск
PROV2658;Хета
PROV2659;Напалково
PROV2660;Березовка
PROV2661;Нижнеколымск
PROV2662;Черский
PROV2663;Каменское
PROV2664;Оётуни
PROV2665;Чокурдах
PROV2666;Певек
PROV2667;Булун
PROV2668;Верхоянск
PROV2669;Амга
PROV2670;Тикси
PROV2671;Жилинда
PROV2672;Покровск
PROV2673;Оленёк
PROV2674;Эссей
PROV2675;Йеконда
PROV2676;Киренск
PROV2677;Доткон
PROV2678;Булган
PROV2679;Ховд
PROV2680;Дудинка
PROV2681;Киккиакки
PROV2682;Аксарка
PROV2683;Бакчар
PROV2684;Яр Продажа
PROV2685;Мужи
PROV2686;Ишим
PROV2687;Амдерма
PROV2688;Инта
PROV2689;Мулда
PROV2690;Верхний Уфалей
PROV2691;Воргово
PROV2692;Костино
PROV2693;Учами
PROV2694;Ванавара
PROV2695;Мухтуя
PROV2696;Алдан
PROV2697;Магдагачи
PROV2698;Славгород
PROV2699;Ижма
PROV2700;Усогорск
PROV2701;Суринда
PROV2702;Аральск
PROV3246;Ян Майен
PROV2703;Венерн
PROV2704;Веттерн
PROV2705;Ботнический залив
PROV2706;Острова Хав
PROV2707;Финский залив
PROV2708;Западная часть Балтийского моря
PROV2709;Рижский залив
PROV2710;Южное Балтийское море
PROV2711;Эресунн
PROV2712;Каттегат
PROV2713;Чудское озеро Ярв
PROV2714;Ладога
PROV2715;Онега
PROV2716;белое море
PROV2717;Лофотенское море
PROV2718;Северное Норвежское море
PROV2719;Южное Норвежское море
PROV2720;Скагеррак
PROV2721;Гельголандская бухта
PROV2722;Побережье Голландии
PROV2723;Доггер Банк
PROV2724;Дуврский пролив
PROV2725;Канал
PROV2726;Конец земли
PROV2727;Побережье Бретани
PROV2728;Киберон Бэй
PROV2729;Кот-д'Аржан
PROV2730;Бискайский залив
PROV2731;Кантабрийское море
PROV2732;Тайн
PROV2733;Ферт-оф-Форт
PROV2734;Северное море
PROV2735;Морэй Ферт
PROV2736;Северный канал
PROV2737;ирландское море
PROV2738;Канал Святого Георгия
PROV2739;Донегол Бэй
PROV2740;Дингл Бэй
PROV2741;Кельтское море
PROV2742;Западные подходы
PROV2743;Финистерре Бэй
PROV2744;Лузитанское море
PROV2745;Кадисский залив
PROV2746;Гибралтарский пролив
PROV2747;Залив Альмерия
PROV2748;Валенсийский залив
PROV2749;Львиный залив
PROV2750;Лазурный берег
PROV2751;Лигурийское море
PROV2752;Залив Майорки
PROV2753;Западное Средиземноморье
PROV2754;Берберийское побережье
PROV2755;Мыс Бон
PROV2756;Тирренское море
PROV2757;Неаполитанский залив
PROV2758;Залив Габес
PROV2759;Мальтийский канал
PROV2760;Мессинский пролив
PROV2761;Венецианский залив
PROV2762;Адриатическое море
PROV2763;Пролив Отранто
PROV2764;Залив Таранто
PROV2765;Ионическое море
PROV2766;Сиртский залив
PROV2767;Залив Тобрук
PROV2768;Александрийский залив
PROV2769;Палестинское побережье
PROV2770;Кипрский залив
PROV2771;Критское море
PROV2772;Эгейское море
PROV2773;Мраморное море
PROV2774;Варненский залив
PROV2775;Одесский залив
PROV2776;Азовское море
PROV2777;Восточное Черное море
PROV2778;Озеро Балатон
PROV2779;Каспийское море
PROV2780;Аральское море
PROV2781;Суэцкий залив
PROV2782;красное море
PROV2783;Пролив Обокк
PROV2784;Бал-эль-Мандеб
PROV2785;Побережье Маскате
PROV2786;Маскатское побережье
PROV2787;Ормузский пролив
PROV2788;Персидский залив
PROV2789;Индский залив
PROV2790;Гуджаратский залив
PROV2791;Острова Лакедив
PROV2792;Побережье Малабара
PROV2793;Мыс Коморин
PROV2794;Берег Карамандели
PROV2795;Побережье Ориссы
PROV2796;Дельта Ганга
PROV2797;Акьяб Бэй
PROV2798;Дельта Иравади
PROV2799;Андаманское море
PROV2800;Архипелаг Мергуи
PROV2801;Малаккский пролив
PROV2802;Никобарские острова
PROV2803;Побережье Атье
PROV2804;Побережье Суматры
PROV2805;Зондский пролив
PROV2806;Побережье Явы
PROV2807;Побережье Сурабаи
PROV2808;Пролив Ломбок
PROV2809;Тиморское море
PROV2810;Молуккские острова
PROV2811;Яванское море
PROV2812;Макассарский пролив
PROV2813;Каримата пролив
PROV2814;Пролив Джохора
PROV2815;Малайское море
PROV2816;Побережье Саравака
PROV2817;Дельта Меконга
PROV2818;Сиамский залив
PROV2819;Камрань Бэй
PROV2820;Южно-Китайское море
PROV2821;Побережье Брунея
PROV2822;Побережье Аннама
PROV2823;Тонкинский залив
PROV2824;Гуанчжоу Бэй
PROV2825;Тайваньский пролив
PROV2826;Дельта Ян Цзе
PROV2827;Желтое море
PROV2828;Корейский залив
PROV2829;Южно-Корейское море
PROV2830;Северокорейское море
PROV2831;Берег Ольги
PROV2832;Татарский пролив
PROV2833;Дельта Амура
PROV2834;Залив Аян
PROV2835;Коменская бухта
PROV2836;Побережье Камчатки
PROV2837;Охотское море
PROV2838;Побережье Сахалина
PROV2839;Соевый пролив
PROV2840;Пролив Цугару
PROV2841;Японское море
PROV2842;Море Амакуса
PROV2843;Сетто Внутреннее море
PROV2844;Токайское море
PROV2845;Острова Рюкю
PROV2846;Лусонский пролив
PROV2847;Парасельские острова
PROV2848;Манила Бэй
PROV2849;Побережье Лусона
PROV2850;Залив Лейте
PROV2851;Сулу Море
PROV2852;Море Целебеса
PROV2853;Море Тернате
PROV2854;Море Банда
PROV2855;Филиппинское море
PROV2856;Острова Палау
PROV2857;Биак Бэй
PROV2858;Вилианский пролив
PROV2859;Тробрианские острова
PROV2860;Торресов пролив
PROV2861;Арафуамское море
PROV2862;Колепом Бэй
PROV2863;Залив Карпентария
PROV2864;Большой Барьерный риф
PROV2865;Каприкорн Бэй
PROV2866;Кейп-Хау
PROV2867;Бассовый пролив
PROV2868;Остров Кенгуру
PROV2869;Большой Австралийский залив
PROV2870;Мыс Леувин
PROV2871;Шарк Бэй
PROV2872;Северо-Западный Кейп
PROV2873;Кинг Саунд
PROV2874;Тасманское плато
PROV2875;Туги Ридж
PROV2876;Пролив Кука
PROV2877;Северное Тасманово море
PROV2878;Мыс Прощания
PROV2879;Побережье Новой Зеландии
PROV2880;Южное Тасманово море
PROV2881;Кентербери-Байт
PROV2882;Новокаледонское море
PROV2883;Коралловое море
PROV2884;Гилберт Си
PROV2885;Соломоново море
PROV2886;Остров Науру
PROV2887;Меланезийское море
PROV2888;Микронезийское море
PROV2889;Филиппинский желоб
PROV2890;Филиппинский бассейн
PROV2891;Тинианское море
PROV2892;Иводзимское море
PROV2893;Тайхэй Океан
PROV2894;Курилы
PROV2895;залив Ука
PROV2896;Бухта Олют
PROV2897;Анадырский залив
PROV2898;Екатерина Плейнс
PROV2899;Африканский рог
PROV2900;Берег перца
PROV2901;Занзибарский пролив
PROV2902;Мозамбикский канал
PROV2903;Диего Суарес Бэй
PROV2904;Западное Аравийское море
PROV2905;Восточное Аравийское море
PROV2906;Сейшельские острова
PROV2907;Побережье Таматаве
PROV2908;Маскареньи
PROV2909;Залив Замбезе
PROV2910;Побережье Натала
PROV2911;Берег Транскея
PROV2912;Побережье Сискей
PROV2913;мыс Доброй надежды
PROV2914;Побережье Намибии
PROV2915;Побережье Анголы
PROV2916;Залив Конго
PROV2917;Побережье Камеруна
PROV2918;Бухта Бенина
PROV2919;Золотое побережье
PROV2920;Кот-д'Ивуар
PROV2921;Побережье Гвинеи
PROV2922;Побережье Сенегамбии
PROV2923;Мавританское побережье
PROV2924;Канарское море
PROV2925;Побережье Марокко
PROV2926;Ян-Майенское море
PROV2927;Шпицбергское море
PROV2928;Исландское море
PROV2929;Шетландский пролив
PROV2930;Побережье Исландии
PROV2931;Северо-Восточная Атлантика
PROV2932;Роколл
PROV2933;Датский пролив
PROV2934;Восточное побережье Гренландии
PROV2935;Западное побережье Гренландии
PROV2936;Лабрадорский пролив
PROV2937;Баффин Бэй
PROV2938;Гудзонов пролив
PROV2939;Джеймс Бэй
PROV2940;Западный Гудзонов залив
PROV2941;Восточная часть Гудзонова залива
PROV2942;Бассейн Фокс
PROV2943;Залив Святого Лаврентия
PROV2944;Пролив Кабот
PROV2945;Залив Фанди
PROV2946;Пролив Бель-Айл
PROV2947;Фортуна Бэй
PROV2948;Нотр-Дам Бэй
PROV2949;Лабрадорское море
PROV2950;Гренландское море
PROV2951;Подводная гора Гекала
PROV2952;Массачусетский залив
PROV2953;Chesapeake залив
PROV2954;Мыс Хаттерас
PROV2955;Побережье Каролины
PROV2956;Побережье Флориды
PROV2957;Побережье Багамских островов
PROV2958;Флоридский пролив
PROV2959;Апалачи Бэй
PROV2960;Мобил Бэй
PROV2961;Галвестон Бэй
PROV2962;Тампико Бэй
PROV2963;Юкатанское море
PROV2964;Мексиканский залив
PROV2965;Юкатанский канал
PROV2966;Белиз Бэй
PROV2967;Москитный берег
PROV2968;Дариенский залив
PROV2969;Ямайский канал
PROV2970;Центральный Карибский бассейн
PROV2971;Северо-Западный Карибский бассейн
PROV2972;Венесуэльский залив
PROV2973;Венесуэльское море
PROV2974;Восточная часть Карибского бассейна
PROV2975;Наветренные острова
PROV2976;Малые Антильские острова
PROV2977;Море Тёркс и Кайкос
PROV2978;Побережье Кубы
PROV2979;Побережье Эспаньолы
PROV2980;Побережье Гайаны
PROV2981;Побережье Амапы
PROV2982;Залив Амазонас
PROV2983;Побережье Бразилии
PROV2984;Побережье Ресифи
PROV2985;Побережье Пернамбуку
PROV2986;Тодос-ус-Сантос Бэй
PROV2987;Рио де Жанейро
PROV2988;Бая Паранагуа
PROV2989;Рио-де-ла-Плата
PROV2990;Баия Бланка
PROV2991;Побережье Патагонии
PROV2992;Магелланов пролив
PROV2993;Южное побережье Чили
PROV2994;Побережье Чили
PROV2995;Побережье Атакамы
PROV2996;Побережье Антофагаста
PROV2997;Арекипа Бэй
PROV2998;Побережье Перу
PROV2999;Гуаякиль Бэй
PROV3000;Побережье Эквадора
PROV3001;Панамский залив
PROV3002;Залив Коста-Рики
PROV3003;Акапулько Бэй
PROV3004;Мансанилья Бэй
PROV3005;Масатлан ​​Бэй
PROV3006;Калифорнийский залив
PROV3007;Побережье Бахи
PROV3008;Побережье Калифорнии
PROV3009;Острова Санта-Каталина
PROV3010;Побережье Орегона
PROV3011;Побережье Колумбии
PROV3012;Пролив Гекаты
PROV3013;Залив Аляски
PROV3014;Побережье Аляски
PROV3015;Кусковим Бэй
PROV3016;Хаттон Банк
PROV3017;Восточный перелом Гиббса
PROV3018;Западный перелом Гиббса
PROV3019;Иберийский шельф
PROV3020;Азорское море
PROV3021;Угловые подводные горы
PROV3022;Подводные горы Новой Англии
PROV3023;Банк острова Сейбл
PROV3024;Плато Блейк
PROV3025;Западно-Бермудское море
PROV3026;Восточное Бермудское море
PROV3027;Канарское течение
PROV3028;Бассейн Северной Гвианы
PROV3029;Гвианский бассейн
PROV3030;Бассейн Южной Гвианы
PROV3031;Канарский подход
PROV3032;Подход Кабо-Верде
PROV3033;Крейсер Настольный
PROV3034;Зона разлома Барракуды
PROV3035;Восточная часть Саргассова моря
PROV3036;Центральное Саргассово море
PROV3037;Романш Гап
PROV3038;Бассейн Восточной Гвинеи
PROV3039;Бассейн Западной Гвинеи
PROV3040;Аргентинское море
PROV3041;Аргентинский подъем
PROV3042;Корнет Банк
PROV3043;Канал Вема
PROV3044;Южно-Бразильский бассейн
PROV3045;Равнина Сапиола
PROV3046;Аргентинский бассейн
PROV3047;Фолклендское плато
PROV3048;Побережье Фолклендских островов
PROV3049;Острова Фернанду-ди-Норонья
PROV3050;Северный Бразильский бассейн
PROV3051;Бассейн Сьерра-Леоне
PROV3052;Мартин Ваз Ридж
PROV3053;Западное побережье Вознесения
PROV3054;Восточное побережье Вознесения
PROV3055;Уолфиш-Ридж
PROV3056;Кейп-Плейн
PROV3057;Остров Гоф
PROV3058;Побережье Тристан-да-Кунья
PROV3059;Сан-Марин-Гэп
PROV3060;Южные Сандвичевы острова
PROV3061;Недоступный остров
PROV3062;Остров Буве
PROV3063;Мыс Штормов
PROV3064;Бенгальский залив
PROV3065;Северный Бенгальский залив
PROV3066;Южный Бенгальский залив
PROV3067;Цейлонское море
PROV3068;Побережье Мальдив
PROV3069;Восьмиградусный канал
PROV3070;Мэдингли Райз
PROV3071;Аравийский бассейн
PROV3072;Канал полутора градусов
PROV3073;Архипелаг Чагос
PROV3074;Кокосовый бассейн
PROV3075;Желоб Южной Суматры
PROV3076;Берег Килингса
PROV3077;Яванский желоб
PROV3078;Острова Принца Эдуарда
PROV3079;Дель Кано Райз
PROV3080;Мыс Сент-Мари
PROV3081;Остров Крозе
PROV3082;Маскаренская равнина
PROV3083;Остров Родригес
PROV3084;Юго-западный Индийский бассейн
PROV3085;Острова Кергелен
PROV3086;Остров Святого Павла
PROV3087;Брокен-Ридж
PROV3088;Южно-Австралийский бассейн
PROV3089;Зона разлома Эгерии
PROV3090;Зона Арго
PROV3091;Бассейн Кювье
PROV3092;Плато Уоллаби
PROV3093;Девяносто Ист-Ридж
PROV3094;Роа Райз
PROV3095;Подводные горы Венинг-Мейнес
PROV3096;Уортонский бассейн
PROV3097;Плато Северного Кокоса
PROV3098;Плато Южного Кокоса
PROV3099;Остров Амстердам
PROV3100;Зона разлома Марии-Селесты
PROV3101;Озеро Чад
PROV3102;Озеро Виктория
PROV3103;Озеро Танганьика
PROV3104;Озеро Малави
PROV3105;Подводная гора Гульден-Драак
PROV3106;Озеро Балчаш
PROV3107;Озеро Байкал
PROV3108;Озеро Дунтин
PROV3109;Озеро Титикака
PROV3110;Озеро Никарагуа
PROV3111;Бассейн Седны
PROV3112;Озеро Онтарио
PROV3113;Озеро Эри
PROV3114;Озеро Гурон
PROV3115;озеро Мичиган
PROV3116;Озеро Верхнее
PROV3117;Озеро Нипигон
PROV3118;Озеро Виннипег
PROV3119;Корскиев ущелье
PROV3120;Орсова Банк
PROV3121;Новарская равнина
PROV3122;Сорвская равнина
PROV3123;Ямара Галч
PROV3124;Северо-западный Тихоокеанский бассейн
PROV3125;Севранс Шолс
PROV3126;Побережье острова Маркус
PROV3127;Побережье Марианских островов
PROV3128;Мэйсдейл Флэтс
PROV3129;Изамо Дроп
PROV3130;Север Берингова моря
PROV3131;Южное Берингово море
PROV3132;Западные Алеутские острова
PROV3133;Острова Прибылова
PROV3134;Восточные Алеутские острова
PROV3135;Уминакский перевал
PROV3136;Западное Алеутское море
PROV3137;Подводная гора Бейкер
PROV3138;Аляска-Плейн
PROV3139;Восточное Алеутское море
PROV3140;Исследователь Траншеи
PROV3141;Безлунные подводные горы
PROV3142;Бассейн Чинук
PROV3143;Бассейн Ульчи
PROV3144;Бассейн Дзингу
PROV3145;Чинук Корыто
PROV3146;Стэнли Подводная гора
PROV3147;Откос Мендосино
PROV3148;Калифорнийская подводная гора
PROV3149;Зона разлома Мюррея
PROV3150;Побережье Гавайских островов
PROV3151;Подводная гора Арго
PROV3152;Музыканты Подводная гора
PROV3153;Побережье острова Мидуэй
PROV3154;Кеплер Равнина
PROV3155;Равнина Галуа
PROV3156;О'Горман Райз
PROV3157;Побережье Галапагосских островов
PROV3158;Лапира Равнины
PROV3159;Побережье островов Кука
PROV3160;Остров Клиппертон
PROV3161;Подводная гора Хендерсон
PROV3162;Мадиджера Ридж
PROV3163;Бассейн Бауэра
PROV3164;Северо-восточный Тихоокеанский бассейн
PROV3165;Подводная гора Первооткрыватель
PROV3166;Тасавулу Флэтс
PROV3167;Гавайская арка
PROV3168;Бассейн Рэдфорд
PROV3169;Острова Северной Лайн
PROV3170;Побережье островов Общества
PROV3171;Перуанский бассейн
PROV3172;Бассейн Юпанки
PROV3173;Северансские равнины
PROV3174;Альтамирские равнины
PROV3175;Острова Южной Лайн
PROV3176;Центрально-Тихоокеанский бассейн
PROV3177;Побережье Самоа
PROV3178;Атолл Джонстон
PROV3179;Побережье Тонги
PROV3180;Побережье Маркизских островов
PROV3181;Квартиры разрешения
PROV3182;Побережье Туамоту
PROV3183;Титус Ридж
PROV3184;Острова Чатем
PROV3185;Юго-западный Тихоокеанский бассейн
PROV3186;Людовико Галч
PROV3187;Побережье острова Питкэрн
PROV3188;Бассейн Рогевен
PROV3189;Зона разлома Менара
PROV3190;Побережье острова Пасхи
PROV3191;Побережье островов Эллис
PROV3192;Бассейн Новой Каледонии
PROV3193;Острова Хуан Фернандес
PROV3194;Селкирк Райз
PROV3195;Карасевские равнины
PROV3196;Тимкин Плейн
PROV3197;Сирусовый риф
PROV3198;Гумбольдтские равнины
PROV3199;Вальдивия Квартиры
PROV3200;Побережье Южной Георгии
PROV3201;Аргентинская равнина
PROV3202;Подводная гора Сапиола
PROV3203;Западное побережье острова Святой Елены
PROV3204;Зона разлома Мура
PROV3205;Западная равнина Демерара
PROV3206;Восточная равнина Демерара
PROV3207;Бассейн Кабо-Верде
PROV3208;Равнина Нэрс
PROV3209;Багамский бассейн
PROV3210;Западное Саргассово море
PROV3211;Бермудские острова приближаются
PROV3212;Цейлонская равнина
PROV3213;Зондский желоб
PROV3214;Жёлоб Северной Суматры
PROV3215;Центрально-Индийский бассейн
PROV3216;Бассейн Фиджи
PROV3217;Квартиры Утешения
PROV3218;Писаросский перевал
PROV3219;Побережье Фиджи
PROV3220;Побережье острова Норфолк
PROV3221;Побережье островов Гилберта
PROV3222;Риф Майну
PROV3223;Тусей Банк
PROV3224;Озеро Тана
PROV3225;Большое Соленое озеро
PROV3226;Южно-Австралийская равнина
PROV3227;Большое Невольничье озеро
PROV3228;Озеро Атабаска
PROV3229;Оленье озеро
PROV3230;Обская губа
PROV3231;Озеро Ван
PROV3232;Озеро Урмия
PROV3233;Иссык-Куль
PROV3234;Озеро Цинхай
PROV3235;Озеро Поянгу
PROV3236;Озеро Рудольф
PROV3237;Сомская равнина
PROV3238;Озеро Мверу
PROV3239;Озеро Шамплейн
PROV3240;Озеро Поопо
PROV3241;Арктический океан
PROV3242;Морской канал Мори
PROV3243;Юго-восточный Тихоокеанский бассейн
PROV3244;Джалуит Пассаж
PROV3245;Марковские равнины
PROV3247;Западные Гавайи
PROV3248;Западный Магелланов пролив
