PROV1;Sitka
PROV2450;Săo Paulo
PROV2451;Santos
PROV2452;Campinas
PROV2453;Assis
PROV2454;Fiji
PROV2455;Iguape
PROV2456;Araraquara
PROV2457;Curitiba
PROV2458;Guarapuava
PROV2459;Lajes
PROV2460;Castro
PROV2461;Desterro
PROV2462;Săo Miguel
PROV2463;Porto Alegre
PROV2464;Pelotas
PROV2465;Passo Fundo
PROV2466;Santa Maria
PROV2467;Alegrete
PROV2468;Sydney
PROV2469;Newcastle
PROV2470;Port Macquarie
PROV2471;Ophir
PROV2472;Eden
PROV2473;Wagga Wagga
PROV2474;Moree
PROV2475;Broken Hill
PROV2476;Melbourne
PROV2477;Warmambool
PROV2478;Ballarat
PROV2479;Sale
PROV2480;Beechworth
PROV2481;Swan Hill
PROV2482;Tasmania
PROV2483;Brisbane
PROV2484;Gladstone
PROV2485;Clermont
PROV2486;Toowoomba
PROV2487;Townsville
PROV2488;Cooktown
PROV2489;Longreach
PROV2490;Charleville
PROV2491;Adelaide
PROV2492;Port Lincoln
PROV2493;Robe
PROV2494;Port Augusta
PROV2495;Oodnadatta
PROV2496;Tarcoola
PROV2497;Perth
PROV2498;Kojonup
PROV2499;Geraldton
PROV2500;Kalgoorlie
PROV2501;Broome
PROV2502;Dampier
PROV2503;Wiluna
PROV2504;Esperance
PROV2505;Palmerston
PROV2506;Tennant Creek
PROV2507;Alice Springs
PROV2508;Norfolk Island
PROV2509;Auckland
PROV2510;New Plymouth
PROV2511;Napier
PROV2512;Wellington
PROV2513;Dunedin
PROV2514;Hokitika
PROV2515;Christchurch
PROV2516;Nelson
PROV2517;Guam
PROV2518;Palau
PROV2519;Yap
PROV2520;Taveuni
PROV2521;Saipan
PROV2522;Marshall Islands
PROV2523;Nauru
PROV2524;Wake
PROV2525;Marcus
PROV2526;Palmyra
PROV2527;Gilbert Islands
PROV2528;Port Moresby
PROV2529;Kerema
PROV2530;Lae
PROV2531;Madang
PROV2532;Forte Săo Joaquim
PROV2533;Targu Mures
PROV2534;Solomon Islands
PROV2535;New Hebrides
PROV2536;Santa Cruz Islands
PROV2537;New Britain
PROV2538;Novi Sad
PROV2539;Bougainville
PROV2540;Tonga
PROV2541;Ellice Islands
PROV2542;Wallis and Futuna
PROV2543;Apia
PROV2544;Pago Pago
PROV2545;Rarotonga
PROV2546;Tongareva
PROV2547;Tokelau
PROV2548;Niue
PROV2549;Tarauacá
PROV2550;Forte do Príncipe
PROV2551;Marquesas
PROV2552;Pitcairn
PROV2553;Tuamotus
PROV2554;Posadas
PROV2555;Augusta
PROV2556;Asheville
PROV2557;Esbjerg
PROV2558;De Aar
PROV2559;Suhaj
PROV2560;Darmstadt
PROV2561;Siegburg
PROV2562;Tainan
PROV2563;Safi
PROV2564;Salima
PROV2565;Cebu
PROV2566;Agartala
PROV2567;Gaeta
PROV2568;Lugano
PROV2569;Niksic
PROV2570;Beauvais
PROV2571;Tauranga
PROV2572;Nan
PROV2573;Mboul
PROV2574;Mochudi
PROV2575;Ipoh
PROV2576;Natuna
PROV2577;Pljevlja
PROV2578;Tacna
PROV2579;Truk
PROV2580;Stara Ladoga
PROV2581;Mataka
PROV2582;Kotor
PROV2583;Cetinje
PROV2584;Bielsko
PROV2585;Matan as Sarah
PROV2586;Al-Ahsa
PROV2587;Kola
PROV2588;Onega
PROV2589;Shoyna
PROV2590;Ugolnoye
PROV2591;Holsteinsborg
PROV2592;Ungava
PROV2593;Fort George
PROV2594;Pickle
PROV2595;Nunavut
PROV2596;Fort Resolution
PROV2597;Fort Vermilion
PROV2598;Fort Liard
PROV2599;Fairbanks
PROV2600;Altamira
PROV2601;Sandy Desert
PROV2602;Roebourne
PROV2603;Tanami
PROV2604;Normanton
PROV2605;Gibson's Desert
PROV2606;Zhambyl
PROV2607;Lop Nur
PROV2608;Khatgal
PROV2609;Araouane
PROV2610;Uralsk
PROV2611;Turgay
PROV2612;Aktash
PROV2613;Nyda
PROV2614;Mordiyakha
PROV2615;Krasnoselkup
PROV2616;Tilichiki
PROV2617;Saghalian Oula
PROV2618;Talaya
PROV2619;Abiy
PROV2620;Syasir
PROV2621;Srednekolymsk
PROV2622;Markovo
PROV2623;Midway Island
PROV2624;Loango
PROV2625;Port Hope Simpson
PROV2626;Port Harrison
PROV2627;Fort Chimo
PROV2628;Attawapiskat
PROV2629;Beatton River
PROV2630;Cordova
PROV2631;Unalakeet
PROV2632;Ammassalik
PROV2633;Ossora
PROV2634;Rassvet
PROV2635;Kariba
PROV2636;Egedesminde
PROV2637;Novo Mariinsk
PROV2638;Omsukchan
PROV2639;Susuman
PROV2640;Ziryanka
PROV2641;Ayan
PROV2642;Ust Nera
PROV2643;Honuu
PROV2644;Olyekminsk
PROV2645;Chilchi
PROV2646;Ases Igan
PROV2647;Yansk
PROV2648;Yakutsk
PROV2649;Zhigansk
PROV2650;Nyurba
PROV2651;Udanchniy
PROV2652;Kular
PROV2653;Saskylah
PROV2654;Khatanga
PROV2655;Tura
PROV2656;Tayimba
PROV2657;Svetlogorsk
PROV2658;Kheta
PROV2659;Napalkovo
PROV2660;Bereyezovka
PROV2661;Nizhnekolymsk
PROV2662;Cherskiy
PROV2663;Kamenskoye
PROV2664;Oyotuni
PROV2665;Chokurdakh
PROV2666;Pevek
PROV2667;Bulun
PROV2668;Verkhoyansk
PROV2669;Amga
PROV2670;Tiksi
PROV2671;Zhilinda
PROV2672;Pokrovsk
PROV2673;Olenyok
PROV2674;Essey
PROV2675;Yekonda
PROV2676;Kirensk
PROV2677;Dotkon
PROV2678;Bulgan
PROV2679;Khovd
PROV2680;Dudinka
PROV2681;Kikkiakki
PROV2682;Aksarka
PROV2683;Bakchar
PROV2684;Yar Sale
PROV2685;Muzhi
PROV2686;Ishim
PROV2687;Amderma
PROV2688;Inta
PROV2689;Mulda
PROV2690;Verkhniy Ufaley
PROV2691;Vorgovo
PROV2692;Kostino
PROV2693;Uchami
PROV2694;Vanavara
PROV2695;Mukhtuya
PROV2696;Aldan
PROV2697;Magdagachi
PROV2698;Slavgorod
PROV2699;Izhma
PROV2700;Usogorsk
PROV2701;Surinda
PROV2702;Aralsk
PROV3246;Jan Mayen
PROV2703;Vänern
PROV2704;Vättern
PROV2705;Gulf of Bothnia
PROV2706;Ĺlands Hav
PROV2707;Gulf of Finland
PROV2708;Western Baltic Sea
PROV2709;Gulf of Riga
PROV2710;Southern Baltic Sea
PROV2711;Öresund
PROV2712;Kattegat
PROV2713;Peipsi Järv
PROV2714;Ladoga
PROV2715;Onega
PROV2716;White Sea
PROV2717;Lofoten Sea
PROV2718;Northern Norwegian Sea
PROV2719;Southern Norwegian Sea
PROV2720;Skagerrack
PROV2721;Helgoland Bight
PROV2722;Coast of Holland
PROV2723;Dogger Bank
PROV2724;Straits of Dover
PROV2725;The Channel
PROV2726;Lands End
PROV2727;Coast of Britanny
PROV2728;Quiberon Bay
PROV2729;Cote D'Argent
PROV2730;Bay of Biscay
PROV2731;Cantabrian Sea
PROV2732;Tyne
PROV2733;Firth of Forth
PROV2734;The North Sea
PROV2735;Moray Firth
PROV2736;North Channel
PROV2737;Irish Sea
PROV2738;St. George's Channel
PROV2739;Donegal Bay
PROV2740;Dingle Bay
PROV2741;Celtic Sea
PROV2742;Western Approaches
PROV2743;Finisterre Bay
PROV2744;Lusitanian Sea
PROV2745;Gulf of Cadiz
PROV2746;Straits of Gibraltar
PROV2747;Gulf of Almería
PROV2748;Gulf of Valencia
PROV2749;Gulf of Lion
PROV2750;Cote D'Azur
PROV2751;Ligurian Sea
PROV2752;Gulf of Mallorca
PROV2753;Western Mediterranean
PROV2754;Barbary Coast
PROV2755;Cape Bon
PROV2756;Tyrrhenian Sea
PROV2757;Bay of Naples
PROV2758;Gulf of Gabes
PROV2759;Malta Channel
PROV2760;Straits of Messina
PROV2761;Gulf of Venice
PROV2762;Adriatic Sea
PROV2763;Straits of Otranto
PROV2764;Gulf of Taranto
PROV2765;Ionian Sea
PROV2766;Gulf of Sirte
PROV2767;Gulf of Tobruk
PROV2768;Bay of Alexandria
PROV2769;Palestinian Coast
PROV2770;Gulf of Cyprus
PROV2771;Sea of Crete
PROV2772;Aegean Sea
PROV2773;Sea of Marmara
PROV2774;Gulf of Varna
PROV2775;Gulf of Odessa
PROV2776;Sea of Azov
PROV2777;Eastern Black Sea
PROV2778;Lake Balaton
PROV2779;Caspian Sea
PROV2780;Aral Sea
PROV2781;Gulf of Suez
PROV2782;Red Sea
PROV2783;Straits of Obokk
PROV2784;Bal el Mandeb
PROV2785;Coast of Mascate
PROV2786;Mascate Coast
PROV2787;Straits of Hormuz
PROV2788;Persian Gulf
PROV2789;Gulf of Indus
PROV2790;Gulf of Gujarat
PROV2791;Laquedive Islands
PROV2792;Coast of Malabar
PROV2793;Comorin Cape
PROV2794;Coast of Caramandel
PROV2795;Coast of Orissa
PROV2796;Ganges Delta
PROV2797;Akyab Bay
PROV2798;Irrawady Delta
PROV2799;Andaman Sea
PROV2800;Mergui Archipelago
PROV2801;Straits of Malacca
PROV2802;Nicobar Isles
PROV2803;Coast of Atjeh
PROV2804;Coast of Sumatra
PROV2805;Sunda Strait
PROV2806;Coast of Java
PROV2807;Coast of Surabaya
PROV2808;Straits of Lombok
PROV2809;Timor Sea
PROV2810;The Moluccas
PROV2811;Java Sea
PROV2812;Straits of Makassar
PROV2813;Karimata Strait
PROV2814;Straits of Johore
PROV2815;Malayan Sea
PROV2816;Coast of Sarawak
PROV2817;Mekong Delta
PROV2818;Gulf of Siam
PROV2819;Cam Ranh Bay
PROV2820;South China Sea
PROV2821;Coast of Brunei
PROV2822;Coast of Annam
PROV2823;Gulf of Tonkin
PROV2824;Guangzhou Bay
PROV2825;Taiwan Strait
PROV2826;Yang Tse Delta
PROV2827;Yellow Sea
PROV2828;Korea Bay
PROV2829;South Korean Sea
PROV2830;North Korean Sea
PROV2831;Coast of Olga
PROV2832;Tatar Straits
PROV2833;Amur Delta
PROV2834;Bay of Ayan
PROV2835;Bay of Komenskoie
PROV2836;Coast of Kamchatska
PROV2837;Okhotsk Sea
PROV2838;Coast of Sakhalin
PROV2839;Soya Strait
PROV2840;Tsugaru Strait
PROV2841;Sea of Japan
PROV2842;Amakusa Sea
PROV2843;Setto Inland Sea
PROV2844;Tokai Sea
PROV2845;Ryukyu Islands
PROV2846;Luzon Strait
PROV2847;Paracel Islands
PROV2848;Manila Bay
PROV2849;Coast of Luzon
PROV2850;Gulf of Leyte
PROV2851;Sulu Sea
PROV2852;Sea of Celebes
PROV2853;Sea of Ternate
PROV2854;Sea of Banda
PROV2855;Philippine Sea
PROV2856;Palau Islands
PROV2857;Biak Bay
PROV2858;Vilian Strait
PROV2859;Trobrian Islands
PROV2860;Torres Strait
PROV2861;Arafuam Sea
PROV2862;Kolepom Bay
PROV2863;Gulf of Carpentaria
PROV2864;Great Barrier Reef
PROV2865;Capricorn Bay
PROV2866;Cape Howe
PROV2867;Bass Strait
PROV2868;Kangaroo Island
PROV2869;Great Australian Bight
PROV2870;Cape Leeuwin
PROV2871;Shark Bay
PROV2872;Northwest Cape
PROV2873;King Sound
PROV2874;Tasman Plateau
PROV2875;Toogee Ridge
PROV2876;Cook Strait
PROV2877;Northern Tasman Sea
PROV2878;Cape Farewell
PROV2879;Coast of New Zealand
PROV2880;Southern Tasman Sea
PROV2881;Canterbury Bight
PROV2882;New Caledonian Sea
PROV2883;Coral Sea
PROV2884;Gilbert Sea
PROV2885;Solomon Sea
PROV2886;Nauru Island
PROV2887;Melanesia Sea
PROV2888;Micronesia Sea
PROV2889;Philippine Trench
PROV2890;Philippine Basin
PROV2891;Tinian Sea
PROV2892;Iwo Jima Sea
PROV2893;Taihei Ocean
PROV2894;The Kuriles
PROV2895;Bay of Uka
PROV2896;Bay of Oljut
PROV2897;Bay of Anadyr
PROV2898;Yekaterina Plains
PROV2899;Horn of Africa
PROV2900;Coast of Pepper
PROV2901;Zanzibar Strait
PROV2902;Mozambique Channel
PROV2903;Diego Suarez Bay
PROV2904;Western Arabian Sea
PROV2905;Eastern Arabian Sea
PROV2906;The Seychelles
PROV2907;Coast of Tamatave
PROV2908;The Mascareignes
PROV2909;Gulf of Zambeze
PROV2910;Coast of Natal
PROV2911;Coast of Transkei
PROV2912;Coast of Ciskei
PROV2913;Cape of Good Hope
PROV2914;Coast of Namibia
PROV2915;Coast of Angola
PROV2916;Gulf of Kongo
PROV2917;Coast of Cameroon
PROV2918;Bight of Benin
PROV2919;Gold Coast
PROV2920;Ivory Coast
PROV2921;Coast of Guinea
PROV2922;Coast of Senegambia
PROV2923;Mauritanian Coast
PROV2924;Canarian Sea
PROV2925;Coast of Morocco
PROV2926;Jan Mayen Sea
PROV2927;Spitzberg Sea
PROV2928;Icelandic Sea
PROV2929;Shetland Straits
PROV2930;Coast of Iceland
PROV2931;Northeastern Atlantic
PROV2932;Rockall
PROV2933;Denmark Strait
PROV2934;Eastern Coast of Greenland
PROV2935;Western Coast of Greenland
PROV2936;Labrador Strait
PROV2937;Baffin Bay
PROV2938;Hudson Straits
PROV2939;James Bay
PROV2940;Western Hudson Bay
PROV2941;Eastern Hudson Bay
PROV2942;Foxe Basin
PROV2943;Gulf of St. Lawrence
PROV2944;Cabot Strait
PROV2945;Bay of Fundy
PROV2946;Strait of Belle Isle
PROV2947;Fortune Bay
PROV2948;Notre Dame Bay
PROV2949;Labrador Sea
PROV2950;Greenland Sea
PROV2951;Hecala Seamount
PROV2952;Massachusetts Bay
PROV2953;Chesapeake Bay
PROV2954;Cape Hatteras
PROV2955;Coast of Carolina
PROV2956;Coast of Florida
PROV2957;Coast of the Bahamas
PROV2958;Florida Straits
PROV2959;Apalachee Bay
PROV2960;Mobile Bay
PROV2961;Galveston Bay
PROV2962;Tampico Bay
PROV2963;Yucatan Sea
PROV2964;Gulf of Mexico
PROV2965;Yucatan Channel
PROV2966;Belize Bay
PROV2967;Mosquito Coast
PROV2968;Gulf of Darien
PROV2969;Jamaica Channel
PROV2970;Central Caribbean
PROV2971;Northwestern Caribbean
PROV2972;Venezuelan Gulf
PROV2973;Venezuelan Sea
PROV2974;Eastern Caribbean
PROV2975;Windward Islands
PROV2976;Lesser Antilles
PROV2977;Turks & Caicos Sea
PROV2978;Coast of Cuba
PROV2979;Coast of Hispaniola
PROV2980;Guyana Coast
PROV2981;Coast of Amapá
PROV2982;Amazonas Gulf
PROV2983;Coast of Brazil
PROV2984;Coast of Recife
PROV2985;Coast of Pernambuco
PROV2986;Todos os Santos Bay
PROV2987;Rio De Janeiro
PROV2988;Baia Paranaguá
PROV2989;Rio De La Plata
PROV2990;Bahia Blanca
PROV2991;Coast of Patagonia
PROV2992;Magellan Strait
PROV2993;South Chilean Coast
PROV2994;Coast of Chile
PROV2995;Atacama Coast
PROV2996;Antofagasta Coast
PROV2997;Arequipa Bay
PROV2998;Coast of Peru
PROV2999;Guayaquil Bay
PROV3000;Coast of Ecuador
PROV3001;Gulf of Panama
PROV3002;Bay of Costa Rica
PROV3003;Acapulco Bay
PROV3004;Manzanilla Bay
PROV3005;Mazatlan Bay
PROV3006;Gulf of California
PROV3007;Coast of Baja
PROV3008;Coast of California
PROV3009;Santa Catalina Islands
PROV3010;Coast of Oregon
PROV3011;Coast of Columbia
PROV3012;Hecate Strait
PROV3013;Gulf of Alaska
PROV3014;Coast of Alaska
PROV3015;Kuskowim Bay
PROV3016;Hatton Bank
PROV3017;Eastern Gibbs Fracture
PROV3018;Western Gibbs Fracture
PROV3019;Iberian Shelf
PROV3020;Sea of Azores
PROV3021;Corner Seamounts
PROV3022;New England Seamounts
PROV3023;Sable Island Bank
PROV3024;Blake Plateau
PROV3025;West Bermuda Sea
PROV3026;East Bermuda Sea
PROV3027;Canary Current
PROV3028;Northern Guiana Basin
PROV3029;Guiana Basin
PROV3030;Southern Guiana Basin
PROV3031;Canary Approach
PROV3032;Cape Verde Approach
PROV3033;Cruiser Tablemount
PROV3034;Barracuda Fracture Zone
PROV3035;Eastern Sargasso Sea
PROV3036;Central Sargasso Sea
PROV3037;Romanche Gap
PROV3038;East Guinea Basin
PROV3039;West Guinea Basin
PROV3040;Argentine Sea
PROV3041;Argentine Rise
PROV3042;Cornet Bank
PROV3043;Vema Channel
PROV3044;South Brazil Basin
PROV3045;Zapiola Plain
PROV3046;Argentine Basin
PROV3047;Falkland Plateau
PROV3048;Coast of Falklands
PROV3049;Fernando de Noronha Islands
PROV3050;North Brazil Basin
PROV3051;Sierra Leone Basin
PROV3052;Martin Vaz Ridge
PROV3053;West Coast of Ascension
PROV3054;East Coast of Ascension
PROV3055;Walvis Ridge
PROV3056;Cape Plain
PROV3057;Gough Island
PROV3058;Coast of Tristan da Cunha
PROV3059;San Marin Gap
PROV3060;South Sandwich Islands
PROV3061;Inaccessible Island
PROV3062;Bouvet Island
PROV3063;Cape of Storms
PROV3064;Gulf of Bengal
PROV3065;Northern Bay of Bengal
PROV3066;Southern Bay of Bengal
PROV3067;Ceylon Sea
PROV3068;Coast of Maldives
PROV3069;Eight Degree Channel
PROV3070;Madingley Rise
PROV3071;Arabian Basin
PROV3072;One and a Half Degree Channel
PROV3073;Chagos Archipelago
PROV3074;Cocos Basin
PROV3075;Southern Sumatra Trench
PROV3076;Coast of the Keelings
PROV3077;Java Trench
PROV3078;Prince Edward Islands
PROV3079;Del Cano Rise
PROV3080;Cape Sainte Marie
PROV3081;Crozet Island
PROV3082;Mascarene Plain
PROV3083;Rodrigues Island
PROV3084;Southwest Indian Basin
PROV3085;Kerguelen Islands
PROV3086;St Paul Island
PROV3087;Broken Ridge
PROV3088;South Australian Basin
PROV3089;Egeria Fracture Zone
PROV3090;Argo Zone
PROV3091;Cuvier Basin
PROV3092;Wallaby Plateau
PROV3093;Ninety East Ridge
PROV3094;Roa Rise
PROV3095;Vening-Meinesz Seamounts
PROV3096;Wharton Basin
PROV3097;Northern Cocos Plateau
PROV3098;Southern Cocos Plateau
PROV3099;Amsterdam Island
PROV3100;Marie-Celeste Fracture Zone
PROV3101;Lake Tchad
PROV3102;Lake Victoria
PROV3103;Lake Tanganyika
PROV3104;Lake Malawi
PROV3105;Gulden-Draak Seamount
PROV3106;Lake Balchasj
PROV3107;Lake Bajkal
PROV3108;Lake Dongting
PROV3109;Lake Titicaca
PROV3110;Lake Nicaragua
PROV3111;Sedna Basin
PROV3112;Lake Ontario
PROV3113;Lake Erie
PROV3114;Lake Huron
PROV3115;Lake Michigan
PROV3116;Lake Superior
PROV3117;Lake Nipigon
PROV3118;Lake Winnipeg
PROV3119;Korskiyev Gulch
PROV3120;Orsova Bank
PROV3121;Novarsk Plain
PROV3122;Sorvskiya Plains
PROV3123;Yamara Gulch
PROV3124;Northwest Pacific Basin
PROV3125;Sevrance Shoals
PROV3126;Coast of Marcus Island
PROV3127;Coast of the Mariana Islands
PROV3128;Maysdale Flats
PROV3129;Izamo Drop
PROV3130;North Bering Sea
PROV3131;South Bering Sea
PROV3132;Western Aleutian Islands
PROV3133;Pribilof Islands
PROV3134;Eastern Aleutian Islands
PROV3135;Uminak Pass
PROV3136;Western Aleutian Sea
PROV3137;Baker Seamount
PROV3138;Alaska Plain
PROV3139;Eastern Aleutian Sea
PROV3140;Explorer Trench
PROV3141;Moonless Seamounts
PROV3142;Chinook Basin
PROV3143;Ulchi Basin
PROV3144;Jingu Basin
PROV3145;Chinook Trough
PROV3146;Stanley Seamount
PROV3147;Mendocino Escarpment
PROV3148;California Seamount
PROV3149;Murray Fracture Zone
PROV3150;Coast of Hawaii
PROV3151;Argo Seamount
PROV3152;Musicians Seamount
PROV3153;Coast of Midway Island
PROV3154;Kepler Plain
PROV3155;Galois Plain
PROV3156;O'Gorman Rise
PROV3157;Coast of the Galapagos Islands
PROV3158;Lapira Plains
PROV3159;Coast of the Cook Islands
PROV3160;Clipperton Island
PROV3161;Henderson Seamount
PROV3162;Madijera Ridge
PROV3163;Bauer Basin
PROV3164;Northeast Pacific Basin
PROV3165;Discoverer Seamount
PROV3166;Tasavulu Flats
PROV3167;Hawaiian Arch
PROV3168;Radford Basin
PROV3169;Northern Line Islands
PROV3170;Coast of the Society Islands
PROV3171;Peru Basin
PROV3172;Yupanqui Basin
PROV3173;Severance Plains
PROV3174;Altamira Plains
PROV3175;Southern Line Islands
PROV3176;Central Pacific Basin
PROV3177;Coast of Samoa
PROV3178;Johnston Atoll
PROV3179;Coast of Tonga
PROV3180;Coast of the Marquesas
PROV3181;Resolution Flats
PROV3182;Coast of the Tuamotus
PROV3183;Titus Ridge
PROV3184;Chatham Islands
PROV3185;Southwest Pacific Basin
PROV3186;Ludovico Gulch
PROV3187;Coast of Pitcairn Island
PROV3188;Rogeveen Basin
PROV3189;Menard Fracture Zone
PROV3190;Coast of Easter Island
PROV3191;Coast of the Ellice Islands
PROV3192;New Caledonia Basin
PROV3193;Juan Fernandez Islands
PROV3194;Selkirk Rise
PROV3195;Karasev Plains
PROV3196;Timkin Plain
PROV3197;Syrus Reef
PROV3198;Humboldt Plains
PROV3199;Valdivia Flats
PROV3200;Coast of South Georgia
PROV3201;Argentine Plain
PROV3202;Zapiola Seamount
PROV3203;West Coast of Saint Helena
PROV3204;Moore Fracture Zone
PROV3205;West Demerara Plain
PROV3206;East Demerara Plain
PROV3207;Cape Verde Basin
PROV3208;Nares Plain
PROV3209;Bahamas Basin
PROV3210;Western Sargasso Sea
PROV3211;Bermuda Approaches
PROV3212;Ceylon Plain
PROV3213;Sunda Trench
PROV3214;Northern Sumatra Trench
PROV3215;Central Indian Basin
PROV3216;Fiji Basin
PROV3217;Solace Flats
PROV3218;Pisaros Pass
PROV3219;Coast of Fiji
PROV3220;Coast of Norfolk Island
PROV3221;Coast of the Gilbert Islands
PROV3222;Mainu Reef
PROV3223;Tusei Bank
PROV3224;Lake Tana
PROV3225;Great Salt Lake
PROV3226;South Australian Plain
PROV3227;Great Slave Lake
PROV3228;Lake Athabasca
PROV3229;Reindeer Lake
PROV3230;Gulf of Ob
PROV3231;Lake Van
PROV3232;Lake Urmia
PROV3233;Issyk Kul
PROV3234;Qinghai Lake
PROV3235;Lake Poyang
PROV3236;Lake Rudolf
PROV3237;Sohm Plain
PROV3238;Lake Mweru
PROV3239;Lake Champlain
PROV3240;Lake Poopo
PROV3241;Arctic Ocean
PROV3242;Maury Sea Channel
PROV3243;Southeast Pacific Basin
PROV3244;Jaluit Passage
PROV3245;Markov Plains
PROV3247;West Hawaii
PROV3248;West Magellan Strait
